precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
100,18,19,469,33,322,861,2.09%,2.21%,54.47%,3.83%,37.40%
101,16,103,611,3,449,1182,1.35%,8.71%,51.69%,0.25%,37.99%
102,8,24,436,20,638,1126,0.71%,2.13%,38.72%,1.78%,56.66%
103,53,157,1284,51,1732,3277,1.62%,4.79%,39.18%,1.56%,52.85%
104,10,54,435,11,497,1007,0.99%,5.36%,43.20%,1.09%,49.35%
108,12,100,917,4,541,1574,0.76%,6.35%,58.26%,0.25%,34.37%
111,29,412,1337,0,1410,3188,0.91%,12.92%,41.94%,0.00%,44.23%
201,23,129,914,0,758,1816,1.27%,7.10%,50.33%,0.00%,41.74%
202,28,131,927,29,978,2093,1.34%,6.26%,44.29%,1.39%,46.73%
203,15,138,994,39,1130,2316,0.65%,5.96%,42.92%,1.68%,48.79%
204,12,69,798,72,1288,2239,0.54%,3.08%,35.64%,3.22%,57.53%
205,3,19,66,4,341,433,0.69%,4.39%,15.24%,0.92%,78.75%
206,20,291,1159,29,661,2160,0.93%,13.47%,53.66%,1.34%,30.60%
300,12,370,1109,0,376,1865,0.64%,19.84%,59.46%,0.00%,20.16%
301,10,49,1053,47,842,2001,0.50%,2.45%,52.62%,2.35%,42.08%
302,30,86,1366,17,547,2046,1.47%,4.20%,66.76%,0.83%,26.74%
303,21,58,1091,19,610,1799,1.17%,3.22%,60.64%,1.06%,33.91%
305,6,33,352,25,475,891,0.67%,3.70%,39.51%,2.81%,53.31%
306,27,43,2070,9,424,2573,1.05%,1.67%,80.45%,0.35%,16.48%
400,15,74,1159,21,476,1745,0.86%,4.24%,66.42%,1.20%,27.28%
401,19,222,1356,0,357,1940,0.98%,11.44%,69.90%,0.00%,18.40%
402,36,184,1635,8,505,2368,1.52%,7.77%,69.05%,0.34%,21.33%
404,19,91,3514,26,774,4424,0.43%,2.06%,79.43%,0.59%,17.50%
405,2,76,416,36,429,959,0.21%,7.92%,43.38%,3.75%,44.73%
