precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,2,159,35,40,615,851,0.24%,18.68%,4.11%,4.70%,72.27%
2,17,134,91,92,1399,1733,0.98%,7.73%,5.25%,5.31%,80.73%
3,7,125,57,45,611,845,0.83%,14.79%,6.75%,5.33%,72.31%
4,6,207,13,12,420,658,0.91%,31.46%,1.98%,1.82%,63.83%
5,7,166,29,32,662,896,0.78%,18.53%,3.24%,3.57%,73.88%
6,11,385,36,27,798,1257,0.88%,30.63%,2.86%,2.15%,63.48%
7,20,520,28,21,493,1082,1.85%,48.06%,2.59%,1.94%,45.56%
8,12,176,23,21,799,1031,1.16%,17.07%,2.23%,2.04%,77.50%
9,6,60,27,32,475,600,1.00%,10.00%,4.50%,5.33%,79.17%
10,8,94,50,23,597,772,1.04%,12.18%,6.48%,2.98%,77.33%
