precinct,registered,ballots_cast,blank
bexar:2003,2161,,
bexar:2004,2984,,
bexar:2005,951,,
bexar:2006,22,,
bexar:2007,1726,,
bexar:2008,1117,,
bexar:2009,2358,,
bexar:2011,2071,,
bexar:2013,1183,,
bexar:2014,1231,,
bexar:2025,2506,,
bexar:2026,2208,,
bexar:2027,1262,,
bexar:2028,2275,,
bexar:2045,2061,,
bexar:2046,2092,,
bexar:2047,1646,,
bexar:2048,1809,,
bexar:2059,2360,,
bexar:2060,1520,,
bexar:2075,1142,,
bexar:2081,904,,
bexar:2083,739,,
bexar:2091,3216,,
bexar:2096,2580,,
bexar:2103,329,,
bexar:2105,610,,
bexar:2111,1266,,
bexar:2113,108,,
bexar:2119,319,,
bexar:2122,1803,,
bexar:2124,620,,
bexar:2134,1675,,
bexar:2142,733,,
bexar:2148,4028,,
bexar:2149,2405,,
bexar:2153,425,,
bexar:2156,1427,,
bexar:3002,2463,,
bexar:3010,702,,
bexar:3015,1043,,
bexar:3019,785,,
bexar:3024,0,,
bexar:3029,1286,,
bexar:3035,856,,
bexar:3036,4419,,
bexar:3056,2368,,
bexar:3058,3767,,
bexar:3065,68,,
bexar:3095,3280,,
bexar:3107,1715,,
bexar:3109,3382,,
bexar:3112,1695,,
bexar:3113,1201,,
bexar:3116,1558,,
bexar:3129,3357,,
bexar:3134,3056,,
bexar:3135,994,,
bexar:3140,414,,
bexar:3141,1581,,
bexar:3142,557,,
bexar:3143,1567,,
bexar:3146,3577,,
bexar:3149,3393,,
bexar:3152,1955,,
bexar:3172,604,,
bexar:3195,2378,,
bexar:3200,0,,
