precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,37,981,955,83,3219,5275,0.70%,18.60%,18.10%,1.57%,61.02%
2,18,17,87,82,1567,1771,1.02%,0.96%,4.91%,4.63%,88.48%
3,5,222,51,58,604,940,0.53%,23.62%,5.43%,6.17%,64.26%
4,26,237,274,50,1553,2140,1.21%,11.07%,12.80%,2.34%,72.57%
5,4,3,21,42,771,841,0.48%,0.36%,2.50%,4.99%,91.68%
6,6,20,55,42,882,1005,0.60%,1.99%,5.47%,4.18%,87.76%
7,3,16,91,43,610,763,0.39%,2.10%,11.93%,5.64%,79.95%
9,6,24,88,64,1037,1219,0.49%,1.97%,7.22%,5.25%,85.07%
10,27,97,593,201,3179,4097,0.66%,2.37%,14.47%,4.91%,77.59%
11,28,146,452,233,3074,3933,0.71%,3.71%,11.49%,5.92%,78.16%
12,7,18,112,57,1531,1725,0.41%,1.04%,6.49%,3.30%,88.75%
13,20,22,110,50,999,1201,1.67%,1.83%,9.16%,4.16%,83.18%
15,15,41,118,65,1169,1408,1.07%,2.91%,8.38%,4.62%,83.03%
16,8,10,10,18,398,444,1.80%,2.25%,2.25%,4.05%,89.64%
18,77,471,812,243,4129,5732,1.34%,8.22%,14.17%,4.24%,72.03%
19,32,303,389,124,2320,3168,1.01%,9.56%,12.28%,3.91%,73.23%
