precinct,party,candidate,votes
396,,Under Votes,39
396,DEM,Raul Camacho,571
396,REP,Terry M. Wilson,934
397,,Over Votes,0
397,,Under Votes,37
397,DEM,Raul Camacho,596
397,REP,Terry M. Wilson,1285
410,,Over Votes,0
410,,Under Votes,68
410,DEM,Raul Camacho,851
410,REP,Terry M. Wilson,1115
412,,Over Votes,0
412,,Under Votes,31
412,DEM,Raul Camacho,183
412,REP,Terry M. Wilson,710
470,,Over Votes,0
470,,Under Votes,52
470,DEM,Raul Camacho,815
470,REP,Terry M. Wilson,1037
471,,Over Votes,0
471,,Under Votes,5
471,DEM,Raul Camacho,36
471,REP,Terry M. Wilson,119
472,,Over Votes,0
472,,Under Votes,8
472,DEM,Raul Camacho,78
472,REP,Terry M. Wilson,261
