precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
101,4,111,430,5,711,1261,0.32%,8.80%,34.10%,0.40%,56.38%
102,9,73,1094,27,1190,2393,0.38%,3.05%,45.72%,1.13%,49.73%
201,17,116,1127,9,585,1854,0.92%,6.26%,60.79%,0.49%,31.55%
202,4,4,466,15,321,810,0.49%,0.49%,57.53%,1.85%,39.63%
301,35,148,1803,0,672,2646,1.32%,5.59%,68.14%,0.00%,25.40%
401,9,88,1531,0,836,2462,0.37%,3.57%,62.19%,0.00%,33.96%
402,0,0,118,3,284,405,0.00%,0.00%,29.14%,0.74%,70.12%
