precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,21,635,414,46,815,1931,1.09%,32.88%,21.44%,2.38%,42.21%
2,12,456,262,28,1263,2021,0.59%,22.56%,12.96%,1.39%,62.49%
3,9,1402,318,10,729,2468,0.36%,56.81%,12.88%,0.41%,29.54%
4,50,695,637,19,1537,2938,1.70%,23.66%,21.68%,0.65%,52.31%
5,24,173,94,46,1544,1881,1.28%,9.20%,5.00%,2.45%,82.08%
6,18,449,67,41,1123,1698,1.06%,26.44%,3.95%,2.41%,66.14%
7,14,153,127,34,948,1276,1.10%,11.99%,9.95%,2.66%,74.29%
8,3,22,23,15,398,461,0.65%,4.77%,4.99%,3.25%,86.33%
9,3,30,41,19,480,573,0.52%,5.24%,7.16%,3.32%,83.77%
10,3,52,33,13,285,386,0.78%,13.47%,8.55%,3.37%,73.83%
11,3,21,4,6,123,157,1.91%,13.38%,2.55%,3.82%,78.34%
12,0,11,17,11,132,171,0.00%,6.43%,9.94%,6.43%,77.19%
14,0,9,32,7,289,337,0.00%,2.67%,9.50%,2.08%,85.76%
15,6,43,7,9,223,288,2.08%,14.93%,2.43%,3.12%,77.43%
16,4,8,30,24,333,399,1.00%,2.01%,7.52%,6.02%,83.46%
17,10,982,806,0,1065,2861,0.35%,34.32%,28.17%,0.00%,37.22%
18,1,36,14,12,114,177,0.56%,20.34%,7.91%,6.78%,64.41%
19,3,144,35,16,692,890,0.34%,16.18%,3.93%,1.80%,77.75%
20,0,10,24,10,258,302,0.00%,3.31%,7.95%,3.31%,85.43%
21,2,76,40,13,334,465,0.43%,16.34%,8.60%,2.80%,71.83%
22,0,55,46,13,272,386,0.00%,14.25%,11.92%,3.37%,70.47%
