precinct,registered,ballots_cast,blank
1,373,137,1
2,1250,405,1
3,1337,386,2
4,431,111,0
5,1499,613,0
6,1617,867,3
7,1675,792,1
8,2506,1293,0
9,2216,1146,0
10,867,383,1
11,618,188,1
12,1279,506,3
13,1488,469,2
14,1745,745,0
15,1722,879,0
16,2573,1295,1
17,1928,895,2
18,2082,918,0
19,1771,692,0
20,1589,613,0
21,297,154,32
22,1069,491,0
23,2881,1588,0
24,1625,731,0
25,1827,796,0
26,2318,1077,2
27,2075,1023,2
28,3079,1711,0
29,1165,477,0
30,1093,522,0
31,1925,873,0
32,1979,1049,0
33,1512,690,0
34,1615,747,0
