precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,8,291,54,49,1199,1601,0.50%,18.18%,3.37%,3.06%,74.89%
2,0,67,11,17,335,430,0.00%,15.58%,2.56%,3.95%,77.91%
3,3,28,11,35,684,761,0.39%,3.68%,1.45%,4.60%,89.88%
4,1,45,6,8,137,197,0.51%,22.84%,3.05%,4.06%,69.54%
5,5,33,25,14,474,551,0.91%,5.99%,4.54%,2.54%,86.03%
6,4,464,31,13,505,1017,0.39%,45.62%,3.05%,1.28%,49.66%
7,2,72,2,5,234,315,0.63%,22.86%,0.63%,1.59%,74.29%
8,2,182,20,17,526,747,0.27%,24.36%,2.68%,2.28%,70.41%
9,2,72,0,6,277,357,0.56%,20.17%,0.00%,1.68%,77.59%
10,3,14,19,2,475,513,0.58%,2.73%,3.70%,0.39%,92.59%
11,2,17,16,18,658,711,0.28%,2.39%,2.25%,2.53%,92.55%
12,1,20,4,11,243,279,0.36%,7.17%,1.43%,3.94%,87.10%
13,8,30,47,45,1164,1294,0.62%,2.32%,3.63%,3.48%,89.95%
14,0,197,8,13,147,365,0.00%,53.97%,2.19%,3.56%,40.27%
15,2,68,15,15,472,572,0.35%,11.89%,2.62%,2.62%,82.52%
16,0,79,17,15,315,426,0.00%,18.54%,3.99%,3.52%,73.94%
17,1,91,3,0,24,119,0.84%,76.47%,2.52%,0.00%,20.17%
18,1,21,3,2,352,379,0.26%,5.54%,0.79%,0.53%,92.88%
19,0,28,3,9,216,256,0.00%,10.94%,1.17%,3.52%,84.38%
20,0,153,0,3,47,203,0.00%,75.37%,0.00%,1.48%,23.15%
21,4,12,36,12,472,536,0.75%,2.24%,6.72%,2.24%,88.06%
22,1,269,13,12,293,588,0.17%,45.75%,2.21%,2.04%,49.83%
