precinct,registered,ballots_cast,blank
101,8400,5601,
104,1424,990,
105,12984,9120,
106,4846,3089,
107,470,349,
109,2851,2045,
110,8992,6336,
111,5375,3770,
113,10387,6724,
114,278,202,
116,0,0,
117,4558,2568,
120,319,264,
121,1620,958,
123,9304,7242,
125,2,2,
128,0,0,
129,3793,2351,
133,2806,1974,
135,8935,7068,
136,3411,2481,
137,13179,10257,
139,4681,2526,
141,647,417,
142,1660,1010,
146,3370,2434,
148,6035,3773,
153,6958,5045,
154,4827,3652,
156,8178,5150,
160,3038,1935,
161,2749,1736,
163,449,314,
200,6892,4739,
202,4149,2846,
203,2207,1535,
205,3524,2306,
207,6156,4222,
211,2472,1652,
212,4821,3918,
214,2822,2372,
215,2875,1932,
216,3446,1889,
218,8474,5677,
219,3793,2603,
221,1180,867,
225,5604,3721,
227,1561,865,
229,2236,1627,
232,8110,6483,
233,4688,3472,
234,2637,2163,
244,5054,3683,
245,1540,1056,
254,3684,2582,
258,2992,2171,
260,2212,1220,
266,559,457,
267,1830,1304,
268,1477,991,
274,3720,2297,
275,4358,2945,
301,1713,1318,
302,3986,3262,
303,3346,2732,
306,3930,3178,
307,1484,1219,
308,8496,6787,
309,3090,2417,
310,7690,5829,
312,2555,1877,
314,7281,5812,
315,4536,3687,
316,6106,5020,
317,3105,2576,
318,1019,813,
319,2814,2200,
320,2328,1864,
324,8027,6074,
326,2671,2250,
327,3138,2641,
328,4617,3284,
330,3307,2723,
331,2958,2387,
333,3255,2615,
334,3288,2698,
336,2353,1926,
337,4627,3671,
338,5787,4654,
339,2073,1655,
340,4660,3309,
341,513,370,
343,4481,2497,
346,6374,5221,
347,3018,2350,
349,6233,4792,
350,5014,3736,
351,2275,1571,
354,5104,4072,
356,2551,1679,
358,5523,4077,
359,6712,5078,
360,4887,3747,
361,1620,1196,
363,1653,1395,
364,3916,3249,
365,3256,2354,
366,5353,4394,
367,7244,6091,
368,466,362,
369,7044,5871,
370,2024,1361,
371,3823,2960,
372,2462,1717,
373,6944,5475,
374,7320,5714,
375,1133,844,
401,3344,2025,
402,4920,2800,
403,1843,1053,
404,5922,4414,
405,1876,1461,
406,3845,2731,
407,4414,2631,
408,4201,3073,
410,4215,2703,
411,2895,1975,
413,2769,1720,
414,4862,3374,
417,2665,1874,
421,3317,2378,
423,5471,2969,
424,3323,2217,
426,4102,2541,
427,3270,2157,
429,10000,5697,
431,8502,4796,
433,3591,2219,
435,6850,4954,
437,2820,2028,
441,5198,3438,
447,4881,3212,
448,3910,2099,
450,5778,3849,
463,4151,3053,
102,1354,872,
103,1740,1183,
108,1852,1270,
112,2417,1536,
115 A,0,0,
118,925,434,
119 A,0,0,
122,3737,2321,
124,6814,4238,
126,6762,4566,
127 A,0,0,
130,2420,1674,
131,0,2,
132,3539,2311,
134 A,0,0,
138 A,0,0,
140,2457,1475,
145,3050,2084,
149,2330,1651,
150,2377,1784,
151,2836,1997,
152,4276,3100,
164,2643,1283,
206,2236,1356,
208,5943,2990,
209,1511,819,
210,1852,1562,
213 A,0,0,
217,2704,1760,
220,1945,1640,
222,3405,2195,
223,874,479,
224,287,136,
226,3290,2156,
228,2350,1730,
231,2984,2533,
235,3854,2803,
236,3548,2824,
237,2236,1933,
238,3210,2488,
239,2638,2223,
240,1182,974,
241,2345,1866,
242,7094,5557,
243,2103,1670,
246,2056,1619,
247,858,725,
248,2980,2153,
249,3415,2706,
250,6510,4956,
251,3712,2847,
252,3077,2313,
253,3231,2696,
256,2284,1946,
259,3110,2450,
262,5395,3950,
263,3475,2557,
273,3431,2788,
277,9760,5660,
304,4586,3667,
305,8,7,
311,7304,4220,
313,542,322,
321,797,601,
323,2720,1897,
325,215,101,
329,7295,4434,
332,3225,2556,
335,2857,2198,
342,5541,4209,
344,2073,1550,
345 A,2,0,
352,4131,3028,
357,665,541,
362,3155,2542,
409,2513,1786,
412,179,113,
415,1418,1049,
416,843,576,
418,8,3,
419,628,448,
420,3667,2381,
422,2634,1882,
425,785,565,
428,2162,1517,
430,1827,1158,
432,2,2,
434 A,1,0,
436,547,316,
438,2340,1567,
439,4808,3179,
440,1539,993,
442,1945,1256,
443,4742,2498,
444,463,190,
446,1228,864,
451,4219,2696,
452,3331,1567,
454,2515,1757,
458,4336,3187,
460,3976,2844,
461,6260,4518,
