precinct,registered,ballots_cast,blank
gonzales:1,2728,,
gonzales:10,661,,
gonzales:11,224,,
gonzales:12,187,,
gonzales:13,364,,
gonzales:14,81,,
gonzales:15,362,,
gonzales:2,1914,,
gonzales:3,1716,,
gonzales:4/6,1579,,
gonzales:5,693,,
gonzales:7,462,,
gonzales:8,392,,
gonzales:9,1220,,
jackson:1,2153,1325,
jackson:2,2184,1503,
jackson:3,2022,1468,
jackson:4,359,246,
jackson:5,631,443,
jackson:6,716,398,
jackson:7,134,99,
jackson:8,565,377,
jackson:9,667,508,
lavaca:1,1065,834,
lavaca:11,350,284,
lavaca:12,381,301,
lavaca:15,181,148,
lavaca:16,486,389,
lavaca:17,296,258,
lavaca:19,452,331,
lavaca:2,1518,1123,
lavaca:20,110,84,
lavaca:23,1261,953,
lavaca:26,410,191,
lavaca:27,220,169,
lavaca:29,1281,980,
lavaca:30,1768,1173,
lavaca:31,1138,882,
lavaca:32,336,233,
lavaca:7,290,242,
lavaca:8,734,585,
lavaca:9,1424,1082,
nueces:1,1409,,
nueces:10,1128,,
nueces:100,1246,,
nueces:101,3201,,
nueces:102,1484,,
nueces:103,2528,,
nueces:104,860,,
nueces:105,1250,,
nueces:106,2265,,
nueces:107,4414,,
nueces:108,707,,
nueces:109,483,,
nueces:11,628,,
nueces:110,1443,,
nueces:111,1036,,
nueces:112,2100,,
nueces:113,456,,
nueces:114,685,,
nueces:115,2001,,
nueces:116,4202,,
nueces:117,3247,,
nueces:118,2583,,
nueces:119,3078,,
nueces:12,1300,,
nueces:120,2167,,
nueces:121,1507,,
nueces:122,3659,,
nueces:123,2033,,
nueces:124,3135,,
nueces:125,5678,,
nueces:126,3602,,
nueces:127,1564,,
nueces:13,1069,,
nueces:14,348,,
nueces:15,973,,
nueces:16,766,,
nueces:17,3072,,
nueces:18,3236,,
nueces:19,3294,,
nueces:2,2606,,
nueces:20,3052,,
nueces:21,435,,
nueces:22,422,,
nueces:23,2169,,
nueces:24,869,,
nueces:25,534,,
nueces:26,4472,,
nueces:27,789,,
nueces:28,227,,
nueces:29,3237,,
nueces:3,3579,,
nueces:30,244,,
nueces:31,623,,
nueces:32,2103,,
nueces:33,1184,,
nueces:34,537,,
nueces:35,887,,
nueces:36,859,,
nueces:37,1374,,
nueces:38,468,,
nueces:39,599,,
nueces:4,2478,,
nueces:40,4257,,
nueces:41,434,,
nueces:42,407,,
nueces:43,574,,
nueces:44,1021,,
nueces:45,580,,
nueces:46,366,,
nueces:47,457,,
nueces:48,1435,,
nueces:49,1014,,
nueces:5,1539,,
nueces:50,535,,
nueces:51,2136,,
nueces:52,874,,
nueces:53,754,,
nueces:54,1384,,
nueces:55,1013,,
nueces:56,1148,,
nueces:57,804,,
nueces:58,1171,,
nueces:59,1508,,
nueces:6,3582,,
nueces:60,1050,,
nueces:61,817,,
nueces:62,912,,
nueces:63,2317,,
nueces:64,863,,
nueces:65,3143,,
nueces:66,1505,,
nueces:67,4038,,
nueces:68,1039,,
nueces:69,1882,,
nueces:7,765,,
nueces:70,2698,,
nueces:71,1692,,
nueces:72,1645,,
nueces:73,1440,,
nueces:74,1705,,
nueces:75,2161,,
nueces:76,813,,
nueces:77,293,,
nueces:78,1630,,
nueces:79,1130,,
nueces:8,4969,,
nueces:80,1561,,
nueces:81,4273,,
nueces:82,671,,
nueces:83,1053,,
nueces:84,815,,
nueces:85,511,,
nueces:86,629,,
nueces:87,1423,,
nueces:88,2311,,
nueces:89,692,,
nueces:9,1992,,
nueces:90,851,,
nueces:91,3683,,
nueces:92,1889,,
nueces:93,2814,,
nueces:94,2017,,
nueces:95,809,,
nueces:96,907,,
nueces:97,1121,,
nueces:98,1692,,
nueces:99,586,,
victoria:1,622,,
victoria:10,1647,,
victoria:11,422,,
victoria:12,743,,
victoria:13,1807,,
victoria:14,1382,,
victoria:15,133,,
victoria:16,463,,
victoria:17,700,,
victoria:18,4044,,
victoria:19,2926,,
victoria:2,931,,
victoria:20,1415,,
victoria:21,3970,,
victoria:22,1637,,
victoria:23,1662,,
victoria:24,1481,,
victoria:25,4098,,
victoria:26,1128,,
victoria:27,1660,,
victoria:28,521,,
victoria:29,2570,,
victoria:3,1197,,
victoria:30,529,,
victoria:31,843,,
victoria:32,1524,,
victoria:33,4472,,
victoria:34,1318,,
victoria:35,596,,
victoria:4,1575,,
victoria:5,2608,,
victoria:6,356,,
victoria:7,2168,,
victoria:8,2304,,
victoria:9,1220,,
