precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
103,59,385,722,87,1525,2778,2.12%,13.86%,25.99%,3.13%,54.90%
110,45,54,951,91,2455,3596,1.25%,1.50%,26.45%,2.53%,68.27%
111,605,640,4796,113,3290,9444,6.41%,6.78%,50.78%,1.20%,34.84%
112,95,598,2524,137,4040,7394,1.28%,8.09%,34.14%,1.85%,54.64%
114,247,419,2098,83,3489,6336,3.90%,6.61%,33.11%,1.31%,55.07%
123,7,11,66,12,818,914,0.77%,1.20%,7.22%,1.31%,89.50%
131,19,42,520,150,2785,3516,0.54%,1.19%,14.79%,4.27%,79.21%
204,270,223,1093,121,4326,6033,4.48%,3.70%,18.12%,2.01%,71.71%
208,20,26,207,64,1593,1910,1.05%,1.36%,10.84%,3.35%,83.40%
216,142,203,623,44,1947,2959,4.80%,6.86%,21.05%,1.49%,65.80%
222,139,226,911,165,4612,6053,2.30%,3.73%,15.05%,2.73%,76.19%
227,264,113,560,101,3212,4250,6.21%,2.66%,13.18%,2.38%,75.58%
228,267,192,890,136,4957,6442,4.14%,2.98%,13.82%,2.11%,76.95%
230,100,279,1038,203,5038,6658,1.50%,4.19%,15.59%,3.05%,75.67%
301,16,18,193,96,1852,2175,0.74%,0.83%,8.87%,4.41%,85.15%
302,73,110,735,107,2987,4012,1.82%,2.74%,18.32%,2.67%,74.45%
305,51,148,984,182,3413,4778,1.07%,3.10%,20.59%,3.81%,71.43%
306,82,59,458,94,2560,3253,2.52%,1.81%,14.08%,2.89%,78.70%
307,17,16,175,48,1235,1491,1.14%,1.07%,11.74%,3.22%,82.83%
309,40,193,1412,265,4870,6780,0.59%,2.85%,20.83%,3.91%,71.83%
315,3,7,10,9,375,404,0.74%,1.73%,2.48%,2.23%,92.82%
317,4,11,95,5,194,309,1.29%,3.56%,30.74%,1.62%,62.78%
324,116,217,1113,194,5012,6652,1.74%,3.26%,16.73%,2.92%,75.35%
325,51,60,472,94,2117,2794,1.83%,2.15%,16.89%,3.36%,75.77%
332,44,36,532,103,2508,3223,1.37%,1.12%,16.51%,3.20%,77.82%
415,253,394,1837,134,3802,6420,3.94%,6.14%,28.61%,2.09%,59.22%
418,113,461,1325,131,3898,5928,1.91%,7.78%,22.35%,2.21%,65.76%
420,62,210,1022,143,3718,5155,1.20%,4.07%,19.83%,2.77%,72.12%
421,87,572,1619,155,4446,6879,1.26%,8.32%,23.54%,2.25%,64.63%
426,129,291,1348,163,4317,6248,2.06%,4.66%,21.57%,2.61%,69.09%
429,130,378,1254,141,4066,5969,2.18%,6.33%,21.01%,2.36%,68.12%
