precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,21,43,3300,10,702,4076,0.52%,1.05%,80.96%,0.25%,17.22%
2,14,67,3743,31,743,4598,0.30%,1.46%,81.40%,0.67%,16.16%
3,23,94,3216,30,1928,5291,0.43%,1.78%,60.78%,0.57%,36.44%
4,20,86,3666,0,860,4618,0.43%,1.86%,79.39%,0.00%,18.62%
