precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,46,43,586,83,2491,3249,1.42%,1.32%,18.04%,2.55%,76.67%
2,16,19,613,32,1195,1875,0.85%,1.01%,32.69%,1.71%,63.73%
3,36,26,606,25,1299,1992,1.81%,1.31%,30.42%,1.26%,65.21%
4,58,36,671,74,2699,3538,1.64%,1.02%,18.97%,2.09%,76.29%
5,4,24,281,77,1897,2283,0.18%,1.05%,12.31%,3.37%,83.09%
6,1,12,204,14,600,831,0.12%,1.44%,24.55%,1.68%,72.20%
7,22,32,886,86,2872,3898,0.56%,0.82%,22.73%,2.21%,73.68%
8,2,2,91,21,304,420,0.48%,0.48%,21.67%,5.00%,72.38%
9,1,2,25,5,169,202,0.50%,0.99%,12.38%,2.48%,83.66%
10,4,5,408,36,1144,1597,0.25%,0.31%,25.55%,2.25%,71.63%
12,11,21,806,79,2447,3364,0.33%,0.62%,23.96%,2.35%,72.74%
13,11,18,515,64,1990,2598,0.42%,0.69%,19.82%,2.46%,76.60%
15,1,5,74,21,777,878,0.11%,0.57%,8.43%,2.39%,88.50%
