precinct,registered,ballots_cast,blank
anderson,29334,14512,4
andrews,10382,3842,0
angelina,54026,24709,5
aransas,18896,9686,
armstrong,,903,0
atascosa,,,0
austin,20812,11265,4
bastrop,56010,29363,5
baylor,,1313,
bell,270664,88292,
bowie,60912,26691,10
briscoe,997,596,0
caldwell,25379,11417,
calhoun,12879,5668,47
cameron,227750,,18
childress,,1760,
coleman,5991,3242,
collin,696712,366150,255
colorado,,7640,6
crane,,,1
dallam,,,0
el-paso,506696,166898,23
ellis,131344,68079,
goliad,5776,3434,1
guadalupe,120065,57419,8
hartley,,1579,0
hemphill,2687,1522,0
henderson,58325,28124,4
hutchinson,,,3
jeff-davis,1581,1054,0
jones,,5007,
lamb,,3088,1
lampasas,15916,8280,1
leon,11960,6897,0
limestone,,6869,
midland,96743,40223,7
montague,,7881,0
moore,9943,3616,0
nolan,8768,3820,1
oldham,1327,772,0
orange,55026,25262,54
parmer,4453,1773,0
pecos,8220,3778,0
reeves,,2261,13
robertson,12016,6037,1
rockwall,,42982,4
scurry,9328,4153,0
smith,155069,76507,8
swisher,3875,1680,0
upton,,1087,0
washington,24639,14136,4
williamson,416327,226679,654
wilson,37073,19621,59
