precinct,registered,ballots_cast,blank
1,562,223,0
2,2637,744,1
3,2094,876,0
4,1578,558,1
5,1849,652,0
6,577,313,0
7,1440,806,0
8,1348,794,0
9,294,157,0
10,1415,534,1
11,2288,1233,0
12,913,454,0
13,727,233,0
14,1946,972,1
15,747,357,0
16,2243,709,0
17,1752,974,0
18,725,323,0
19,1470,860,0
20,2705,753,0
21,1116,534,0
22,1168,660,0
23,737,343,1
24,2804,1127,0
25,2508,1155,0
26,1701,996,0
27,364,205,0
28,1221,675,0
29,1589,784,0
30,1160,638,0
31,494,180,0
32,114,68,0
33,1405,795,0
34,2297,1200,0
35,1848,999,0
37,576,294,0
38,437,192,0
39,535,240,0
40,854,375,0
11B,1322,533,0
17B,466,191,0
