precinct,registered,ballots_cast,blank
guadalupe:113,1260,528,0
guadalupe:114,1217,452,0
guadalupe:116,2672,1392,2
guadalupe:117,2394,1174,0
guadalupe:128,3519,1873,0
guadalupe:129,3161,1561,1
guadalupe:303,1438,766,0
guadalupe:304,4220,2214,0
guadalupe:305,4630,2276,0
guadalupe:306,4190,2282,0
guadalupe:307,4932,2376,0
guadalupe:308,2236,1146,0
guadalupe:309,3947,1868,0
guadalupe:310,2120,842,0
guadalupe:311,3465,1331,1
guadalupe:401,2431,1313,1
guadalupe:404,4350,2068,2
guadalupe:405,2461,1288,0
guadalupe:406,1430,943,0
guadalupe:408,2013,969,0
guadalupe:409,3101,1430,0
guadalupe:410,174,110,0
guadalupe:412,3640,1629,0
guadalupe:414,4328,1912,0
guadalupe:415,5534,2343,1
