precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
2,16,34,363,135,2655,3203,0.50%,1.06%,11.33%,4.21%,82.89%
3,16,18,161,65,1664,1924,0.83%,0.94%,8.37%,3.38%,86.49%
4,1,9,187,51,906,1154,0.09%,0.78%,16.20%,4.42%,78.51%
5,23,24,257,70,1372,1746,1.32%,1.37%,14.72%,4.01%,78.58%
6,20,25,180,96,1168,1489,1.34%,1.68%,12.09%,6.45%,78.44%
7,1,5,102,71,1130,1309,0.08%,0.38%,7.79%,5.42%,86.33%
8,2,13,65,46,926,1052,0.19%,1.24%,6.18%,4.37%,88.02%
9,4,4,87,80,1393,1568,0.26%,0.26%,5.55%,5.10%,88.84%
10,12,24,386,64,1276,1762,0.68%,1.36%,21.91%,3.63%,72.42%
11,22,25,323,76,1258,1704,1.29%,1.47%,18.96%,4.46%,73.83%
12,0,4,25,21,158,208,0.00%,1.92%,12.02%,10.10%,75.96%
13,1,5,105,83,1104,1298,0.08%,0.39%,8.09%,6.39%,85.05%
14,2,4,12,24,295,337,0.59%,1.19%,3.56%,7.12%,87.54%
15,7,11,66,31,644,759,0.92%,1.45%,8.70%,4.08%,84.85%
16,2,1,42,14,393,452,0.44%,0.22%,9.29%,3.10%,86.95%
