Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
1,1842,34,265,2141,0.8603456329,0.0158804297,0.1237739374,Rep,3
2,764,21,281,1066,0.7166979362,0.0196998124,0.2636022514,Rep,3
3,114,0,5,119,0.9579831933,0.0000000000,0.0420168067,Rep,3
4,285,6,38,329,0.8662613982,0.0182370821,0.1155015198,Rep,3
5,1162,23,347,1532,0.7584856397,0.0150130548,0.2265013055,Rep,3
6,322,9,38,369,0.8726287263,0.0243902439,0.1029810298,Rep,3
7,429,12,106,547,0.7842778793,0.0219378428,0.1937842779,Rep,3
8,360,6,69,435,0.8275862069,0.0137931034,0.1586206897,Rep,3
9,312,6,75,393,0.7938931298,0.0152671756,0.1908396947,Rep,3
10,222,5,20,247,0.8987854251,0.0202429150,0.0809716599,Rep,3
11,237,9,175,421,0.5629453682,0.0213776722,0.4156769596,Rep,2
12,99,4,32,135,0.7333333333,0.0296296296,0.2370370370,Rep,3
13,234,4,20,258,0.9069767442,0.0155038760,0.0775193798,Rep,3
14,294,4,61,359,0.8189415042,0.0111420613,0.1699164345,Rep,3
15,205,4,30,239,0.8577405858,0.0167364017,0.1255230126,Rep,3
