COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM David Brignac,REP Mike Gould,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,116,PCT 116,4920,2748,0,1095,1521,0,132,REP Mike Gould,REP
COLL,117,PCT 117,4367,2120,1,984,1060,0,76,REP Mike Gould,REP
COLL,118,PCT 118,4315,2281,1,888,1304,0,89,REP Mike Gould,REP
COLL,119,PCT 119,2374,1411,0,643,713,0,55,REP Mike Gould,REP
COLL,120,PCT 120,3666,2126,0,808,1248,0,70,REP Mike Gould,REP
COLL,121,PCT 121,2837,1545,0,879,610,0,56,DEM David Brignac,DEM
COLL,122,PCT 122,5090,3024,0,876,2022,0,126,REP Mike Gould,REP
COLL,123,PCT 123,2023,1141,0,426,669,0,46,REP Mike Gould,REP
COLL,124,PCT 124,3253,1634,0,775,778,0,81,REP Mike Gould,REP
COLL,125,PCT 125,5196,2674,1,1381,1189,0,104,DEM David Brignac,DEM
COLL,126,PCT 126,4804,2521,0,1129,1319,0,73,REP Mike Gould,REP
COLL,127,PCT 127,3882,1912,0,874,960,0,78,REP Mike Gould,REP
COLL,128,PCT 128,3071,1999,0,453,1460,0,86,REP Mike Gould,REP
COLL,129,PCT 129,4501,2319,0,967,1277,0,75,REP Mike Gould,REP
COLL,130,PCT 130,3867,2138,0,1008,1048,0,82,REP Mike Gould,REP
COLL,131,PCT 131,3119,1647,0,542,1040,0,65,REP Mike Gould,REP
COLL,132,PCT 132,2834,1605,8,817,724,0,64,DEM David Brignac,DEM
COLL,133,PCT 133,2855,1177,0,474,647,0,56,REP Mike Gould,REP
COLL,134,PCT 134,4014,1906,0,976,876,0,54,DEM David Brignac,DEM
COLL,135,PCT 135,4223,2152,2,1073,999,0,80,DEM David Brignac,DEM
COLL,136,PCT 136,2003,1232,1,520,658,0,54,REP Mike Gould,REP
COLL,137,PCT 137,2003,1099,0,406,642,0,51,REP Mike Gould,REP
COLL,138,PCT 138,2101,1361,1,577,725,0,59,REP Mike Gould,REP
COLL,139,PCT 139,4196,2067,0,1084,918,0,65,DEM David Brignac,DEM
COLL,140,PCT 140,4861,2744,0,833,1814,0,97,REP Mike Gould,REP
COLL,141,PCT 141,3457,2026,0,953,996,0,77,REP Mike Gould,REP
COLL,142,PCT 142,2873,1741,15,854,808,0,79,DEM David Brignac,DEM
COLL,143,PCT 143,2158,1288,0,511,728,0,49,REP Mike Gould,REP
COLL,144,PCT 144,2874,1594,4,635,897,0,62,REP Mike Gould,REP
COLL,145,PCT 145,1731,896,1,461,406,0,29,DEM David Brignac,DEM
COLL,146,PCT 146,4877,2371,1,1085,1197,0,89,REP Mike Gould,REP
COLL,147,PCT 147,2253,980,0,440,503,0,37,REP Mike Gould,REP
COLL,148,PCT 148,661,405,1,143,237,0,25,REP Mike Gould,REP
COLL,149,PCT 149,4442,2460,0,918,1459,0,83,REP Mike Gould,REP
COLL,150,PCT 150,2788,1902,0,595,1245,0,62,REP Mike Gould,REP
COLL,151,PCT 151,1772,893,0,427,439,0,27,REP Mike Gould,REP
COLL,152,PCT 152,187,92,0,66,26,0,0,DEM David Brignac,DEM
COLL,153,PCT 153,4939,2503,6,990,1408,0,105,REP Mike Gould,REP
COLL,154,PCT 154,1939,1158,0,207,921,0,30,REP Mike Gould,REP
COLL,155,PCT 155,2911,1553,0,607,898,0,48,REP Mike Gould,REP
COLL,156,PCT 156,3726,1870,0,790,1009,0,71,REP Mike Gould,REP
COLL,157,PCT 157,4029,2164,0,992,1097,0,75,REP Mike Gould,REP
COLL,158,PCT 158,2781,1427,0,746,635,0,46,DEM David Brignac,DEM
COLL,159,PCT 159,3284,1445,1,656,727,0,62,REP Mike Gould,REP
COLL,160,PCT 160,434,283,0,27,247,0,9,REP Mike Gould,REP
COLL,161,PCT 161,292,152,0,43,104,0,5,REP Mike Gould,REP
COLL,162,PCT 162,328,229,0,39,182,0,8,REP Mike Gould,REP
COLL,163,PCT 163,2180,1028,0,407,596,0,25,REP Mike Gould,REP
COLL,164,PCT 164,2052,1392,100,550,724,0,118,REP Mike Gould,REP
COLL,165,PCT 165,934,557,0,176,362,0,19,REP Mike Gould,REP
COLL,166,PCT 166,4174,2127,5,886,1156,0,85,REP Mike Gould,REP
COLL,167,PCT 167,5051,2653,0,1416,1125,0,112,DEM David Brignac,DEM
COLL,168,PCT 168,1923,1113,1,279,772,0,62,REP Mike Gould,REP
COLL,169,PCT 169,3342,1772,0,850,859,0,63,REP Mike Gould,REP
COLL,170,PCT 170,1882,1007,3,356,597,0,54,REP Mike Gould,REP
COLL,171,PCT 171,2490,1222,1,557,615,0,50,REP Mike Gould,REP
COLL,172,PCT 172,6178,2987,0,950,1932,0,105,REP Mike Gould,REP
COLL,173,PCT 173,650,389,0,109,268,0,12,REP Mike Gould,REP
COLL,174,PCT 174,4497,2129,1,839,1206,0,84,REP Mike Gould,REP
COLL,175,PCT 175,1978,1116,0,403,661,0,52,REP Mike Gould,REP
COLL,176,PCT 176,4032,1467,0,806,615,0,46,DEM David Brignac,DEM
COLL,177,PCT 177,3203,1500,0,516,947,0,37,REP Mike Gould,REP
COLL,178,PCT 178,3002,1556,0,356,1147,0,53,REP Mike Gould,REP
COLL,179,PCT 179,4634,3237,0,751,2325,0,161,REP Mike Gould,REP
COLL,180,PCT 180,3313,1580,0,724,798,0,58,REP Mike Gould,REP
COLL,181,PCT 181,2563,1147,0,390,715,0,42,REP Mike Gould,REP
COLL,182,PCT 182,3909,2004,0,847,1075,0,82,REP Mike Gould,REP
COLL,183,PCT 183,115,46,0,10,34,0,2,REP Mike Gould,REP
COLL,184,PCT 184,3232,1307,1,662,598,0,47,DEM David Brignac,DEM
COLL,185,PCT 185,48,22,0,8,14,0,0,REP Mike Gould,REP
COLL,186,PCT 186,146,68,0,11,55,0,2,REP Mike Gould,REP
COLL,187,PCT 187,573,337,0,32,301,0,4,REP Mike Gould,REP
COLL,188,PCT 188,64,41,0,5,33,0,3,REP Mike Gould,REP
COLL,189,PCT 189,849,440,1,59,366,0,15,REP Mike Gould,REP
COLL,190,PCT 190,82,42,0,7,34,0,1,REP Mike Gould,REP
COLL,191,PCT 191,603,227,0,50,172,0,5,REP Mike Gould,REP
COLL,192,PCT 192,3404,1841,1,408,1370,0,63,REP Mike Gould,REP
COLL,193,PCT 193,1193,604,0,128,453,0,23,REP Mike Gould,REP
