COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Rochelle Mercedes Garza,LIB Mark Ash,REP Ken Paxton,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2737,1491,0,643,63,761,0,24,REP Ken Paxton,REP
COLL,2,PCT 002,4654,2084,0,991,77,980,0,36,DEM Rochelle Mercedes Garza,DEM
COLL,3,PCT 003,2834,835,0,535,38,228,0,34,DEM Rochelle Mercedes Garza,DEM
COLL,4,PCT 004,3016,1694,0,508,51,1110,0,25,REP Ken Paxton,REP
COLL,5,PCT 005,1029,576,0,195,24,341,0,16,REP Ken Paxton,REP
COLL,6,PCT 006,1616,744,1,403,31,301,0,9,DEM Rochelle Mercedes Garza,DEM
COLL,7,PCT 007,1549,790,0,385,34,353,0,18,DEM Rochelle Mercedes Garza,DEM
COLL,8,PCT 008,3617,1659,1,483,54,1090,0,32,REP Ken Paxton,REP
COLL,9,PCT 009,3379,1611,0,634,67,894,0,16,REP Ken Paxton,REP
COLL,10,PCT 010,803,455,0,67,12,372,0,4,REP Ken Paxton,REP
COLL,11,PCT 011,4555,2291,0,429,82,1742,0,38,REP Ken Paxton,REP
COLL,12,PCT 012,2149,1253,1,452,49,722,0,30,REP Ken Paxton,REP
COLL,13,PCT 013,2187,1358,0,358,36,954,0,10,REP Ken Paxton,REP
COLL,14,PCT 014,3268,1576,0,858,44,650,0,24,DEM Rochelle Mercedes Garza,DEM
COLL,15,PCT 015,1650,766,0,387,27,336,0,16,DEM Rochelle Mercedes Garza,DEM
COLL,16,PCT 016,4631,2465,1,776,96,1551,0,42,REP Ken Paxton,REP
COLL,17,PCT 017,4647,2290,0,849,78,1312,0,51,REP Ken Paxton,REP
COLL,18,PCT 018,937,457,1,78,18,353,0,8,REP Ken Paxton,REP
COLL,19,PCT 019,1644,1038,0,455,48,510,0,25,REP Ken Paxton,REP
COLL,20,PCT 020,995,655,0,140,22,484,0,9,REP Ken Paxton,REP
