COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Staci L. Weaver,Tamara Thomas,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,1,PCT 001,2645,717,0,282,204,0,231,Staci L. Weaver,Staci
COLLI,10,PCT 010,872,33,0,17,10,0,6,Staci L. Weaver,Staci
COLLI,101,PCT 101,4122,431,0,235,106,0,90,Staci L. Weaver,Staci
COLLI,102,PCT 102,2457,715,0,346,176,0,193,Staci L. Weaver,Staci
COLLI,103,PCT 103,1365,98,0,42,43,0,13,Tamara Thomas,Tamara
COLLI,104,PCT 104,2138,100,0,33,37,0,30,Tamara Thomas,Tamara
COLLI,106,PCT 106,1805,72,0,32,35,0,5,Tamara Thomas,Tamara
COLLI,107,PCT 107,3260,554,0,255,227,0,72,Staci L. Weaver,Staci
COLLI,108,PCT 108,2927,309,0,137,136,0,36,Staci L. Weaver,Staci
COLLI,109,PCT 109,4630,546,0,318,169,0,59,Staci L. Weaver,Staci
COLLI,11,PCT 011,4912,48,0,34,13,0,1,Staci L. Weaver,Staci
COLLI,110,PCT 110,2732,484,0,208,140,0,136,Staci L. Weaver,Staci
COLLI,111,PCT 111,2994,370,0,212,71,0,87,Staci L. Weaver,Staci
COLLI,112,PCT 112,3081,414,0,198,156,0,60,Staci L. Weaver,Staci
COLLI,113,PCT 113,3212,102,0,45,50,0,7,Tamara Thomas,Tamara
COLLI,114,PCT 114,4571,35,0,17,18,0,0,Tamara Thomas,Tamara
COLLI,115,PCT 115,2892,392,0,164,111,0,117,Staci L. Weaver,Staci
COLLI,116,PCT 116,4943,638,0,313,208,0,117,Staci L. Weaver,Staci
COLLI,117,PCT 117,4154,452,0,200,167,0,85,Staci L. Weaver,Staci
COLLI,118,PCT 118,4124,581,0,284,165,0,132,Staci L. Weaver,Staci
COLLI,119,PCT 119,2297,331,0,180,112,0,39,Staci L. Weaver,Staci
COLLI,12,PCT 012,2154,434,0,214,117,0,103,Staci L. Weaver,Staci
COLLI,120,PCT 120,3488,194,0,96,79,0,19,Staci L. Weaver,Staci
COLLI,121,PCT 121,2792,307,0,136,136,0,35,Tamara Thomas,Tamara
COLLI,122,PCT 122,4786,1042,0,529,228,0,285,Staci L. Weaver,Staci
COLLI,123,PCT 123,2000,214,0,100,80,0,34,Staci L. Weaver,Staci
COLLI,124,PCT 124,3092,301,0,135,124,0,42,Staci L. Weaver,Staci
COLLI,125,PCT 125,5126,750,0,275,241,0,234,Staci L. Weaver,Staci
COLLI,126,PCT 126,4824,717,0,326,297,0,94,Staci L. Weaver,Staci
COLLI,127,PCT 127,3831,455,0,230,139,0,86,Staci L. Weaver,Staci
COLLI,128,PCT 128,3073,868,0,382,116,0,370,Staci L. Weaver,Staci
COLLI,129,PCT 129,4378,667,0,307,211,0,149,Staci L. Weaver,Staci
COLLI,13,PCT 013,3378,217,0,123,47,0,47,Staci L. Weaver,Staci
COLLI,130,PCT 130,3851,225,0,74,130,0,21,Tamara Thomas,Tamara
COLLI,131,PCT 131,2976,601,0,278,154,0,169,Staci L. Weaver,Staci
COLLI,132,PCT 132,2725,322,0,131,103,0,88,Staci L. Weaver,Staci
COLLI,133,PCT 133,2867,140,0,89,23,0,28,Staci L. Weaver,Staci
COLLI,134,PCT 134,4030,439,0,206,157,0,76,Staci L. Weaver,Staci
COLLI,135,PCT 135,4083,390,0,162,182,0,46,Tamara Thomas,Tamara
COLLI,136,PCT 136,1901,304,0,105,96,0,103,Staci L. Weaver,Staci
COLLI,137,PCT 137,1951,225,0,144,58,0,23,Staci L. Weaver,Staci
COLLI,138,PCT 138,2381,275,0,121,129,0,25,Tamara Thomas,Tamara
COLLI,139,PCT 139,3814,383,0,163,171,0,49,Tamara Thomas,Tamara
COLLI,14,PCT 014,3240,238,0,108,95,0,35,Staci L. Weaver,Staci
COLLI,140,PCT 140,4611,938,0,457,282,0,199,Staci L. Weaver,Staci
COLLI,141,PCT 141,3441,508,0,221,234,0,53,Tamara Thomas,Tamara
COLLI,142,PCT 142,2675,444,0,184,135,0,125,Staci L. Weaver,Staci
COLLI,143,PCT 143,2043,203,0,104,65,0,34,Staci L. Weaver,Staci
COLLI,144,PCT 144,2846,499,0,271,153,0,75,Staci L. Weaver,Staci
COLLI,145,PCT 145,1706,75,0,27,40,0,8,Tamara Thomas,Tamara
COLLI,146,PCT 146,4694,521,0,255,173,0,93,Staci L. Weaver,Staci
COLLI,147,PCT 147,2102,56,0,30,22,0,4,Staci L. Weaver,Staci
COLLI,148,PCT 148,1208,256,0,60,109,0,87,Tamara Thomas,Tamara
COLLI,149,PCT 149,4479,919,0,429,287,0,203,Staci L. Weaver,Staci
COLLI,15,PCT 015,1574,164,0,93,62,0,9,Staci L. Weaver,Staci
COLLI,150,PCT 150,5542,329,0,144,148,0,37,Tamara Thomas,Tamara
COLLI,151,PCT 151,1825,66,0,23,34,0,9,Tamara Thomas,Tamara
COLLI,152,PCT 152,270,23,0,5,15,0,3,Tamara Thomas,Tamara
COLLI,153,PCT 153,5245,697,0,312,171,0,214,Staci L. Weaver,Staci
COLLI,154,PCT 154,2927,421,0,191,85,0,145,Staci L. Weaver,Staci
COLLI,155,PCT 155,2904,455,0,210,176,0,69,Staci L. Weaver,Staci
