COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Bill Cox,Scott Sanford,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,68,PCT 225,3841,509,0,0,0,0,0,Bill Cox,Bill
COLLI,69,PCT 226,4251,472,0,286,185,0,1,Bill Cox,Bill
COLLI,70,PCT 229,2351,157,0,0,0,0,0,Bill Cox,Bill
COLLI,71,PCT 230,4736,411,0,239,172,0,0,Bill Cox,Bill
COLLI,72,PCT 231,4159,646,0,349,297,0,0,Bill Cox,Bill
COLLI,73,PCT 234,3422,397,0,0,0,0,0,Bill Cox,Bill
COLLI,74,PCT 236,2910,665,0,344,319,0,2,Bill Cox,Bill
COLLI,75,PCT 238,3876,325,0,200,124,0,1,Bill Cox,Bill
COLLI,76,PCT 242,3479,474,0,257,217,0,0,Bill Cox,Bill
COLLI,77,PCT 244,3138,282,0,0,0,0,0,Bill Cox,Bill
COLLI,78,PCT 245,2599,115,0,0,0,0,0,Bill Cox,Bill
COLLI,79,PCT 248,2274,121,0,0,0,0,0,Bill Cox,Bill
COLLI,80,PCT 249,4441,173,0,0,0,0,0,Bill Cox,Bill
COLLI,81,PCT 250,4017,640,0,0,0,0,0,Bill Cox,Bill
COLLI,83,LB 01,0,0,0,0,0,0,0,Bill Cox,Bill
COLLI,84,LB 02,0,0,0,0,0,0,0,Bill Cox,Bill
COLLI,9,PCT 017,5950,146,0,0,0,0,0,Bill Cox,Bill
