COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,DEM Jay Kleberg,"GRN Alfred Molison, Jr",REP Dawn Buckingham,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2737,1491,0,2,590,18,838,0,43,REP Dawn Buckingham,REP
COLL,2,PCT 002,4654,2084,0,0,966,48,1032,0,38,REP Dawn Buckingham,REP
COLL,3,PCT 003,2834,835,0,2,527,20,239,0,47,DEM Jay Kleberg,DEM
COLL,4,PCT 004,3016,1694,0,0,467,13,1177,0,37,REP Dawn Buckingham,REP
COLL,5,PCT 005,1029,576,0,0,188,5,369,0,14,REP Dawn Buckingham,REP
COLL,6,PCT 006,1616,744,1,2,402,3,316,0,21,DEM Jay Kleberg,DEM
COLL,7,PCT 007,1549,790,0,0,371,8,385,0,26,REP Dawn Buckingham,REP
COLL,8,PCT 008,3617,1659,1,1,454,31,1129,0,44,REP Dawn Buckingham,REP
COLL,9,PCT 009,3379,1611,0,0,598,32,948,0,33,REP Dawn Buckingham,REP
COLL,10,PCT 010,803,455,0,0,66,3,378,0,8,REP Dawn Buckingham,REP
COLL,11,PCT 011,4555,2291,0,1,402,15,1818,0,55,REP Dawn Buckingham,REP
COLL,12,PCT 012,2149,1253,1,0,436,13,772,1,31,REP Dawn Buckingham,REP
COLL,13,PCT 013,2187,1358,0,0,325,4,1014,0,15,REP Dawn Buckingham,REP
COLL,14,PCT 014,3268,1576,0,0,808,20,719,0,29,DEM Jay Kleberg,DEM
COLL,15,PCT 015,1650,766,0,0,366,19,360,0,21,DEM Jay Kleberg,DEM
COLL,16,PCT 016,4631,2465,1,1,727,21,1659,0,57,REP Dawn Buckingham,REP
COLL,17,PCT 017,4647,2290,0,2,819,27,1377,0,65,REP Dawn Buckingham,REP
COLL,18,PCT 018,937,457,1,0,71,8,361,0,17,REP Dawn Buckingham,REP
COLL,19,PCT 019,1644,1038,0,0,440,15,551,0,32,REP Dawn Buckingham,REP
COLL,20,PCT 020,995,655,0,0,130,8,503,0,14,REP Dawn Buckingham,REP
COLL,21,PCT 021,4296,2537,1,1,1187,25,1264,0,60,REP Dawn Buckingham,REP
COLL,22,PCT 022,4400,2410,0,2,428,19,1915,0,46,REP Dawn Buckingham,REP
