COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Jeffrey Williams,REP Duncan Webb,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2737,1491,0,0,0,0,0,REP Duncan Webb,REP
COLL,2,PCT 002,4654,2084,0,0,0,0,0,REP Duncan Webb,REP
COLL,3,PCT 003,2834,835,0,0,0,0,0,REP Duncan Webb,REP
COLL,4,PCT 004,3016,1694,0,0,0,0,0,REP Duncan Webb,REP
COLL,5,PCT 005,1029,576,0,185,374,0,17,REP Duncan Webb,REP
COLL,6,PCT 006,1616,744,1,0,0,0,0,REP Duncan Webb,REP
COLL,7,PCT 007,1549,790,0,0,0,0,0,REP Duncan Webb,REP
COLL,8,PCT 008,3617,1659,1,0,0,0,0,REP Duncan Webb,REP
COLL,9,PCT 009,3379,1611,0,0,0,0,0,REP Duncan Webb,REP
COLL,10,PCT 010,803,455,0,0,0,0,0,REP Duncan Webb,REP
COLL,11,PCT 011,4555,2291,0,0,0,0,0,REP Duncan Webb,REP
COLL,12,PCT 012,2149,1253,1,0,0,0,0,REP Duncan Webb,REP
COLL,13,PCT 013,2187,1358,0,0,0,0,0,REP Duncan Webb,REP
COLL,14,PCT 014,3268,1576,0,0,0,0,0,REP Duncan Webb,REP
COLL,15,PCT 015,1650,766,0,361,365,0,40,REP Duncan Webb,REP
COLL,16,PCT 016,4631,2465,1,0,0,0,0,REP Duncan Webb,REP
COLL,17,PCT 017,4647,2290,0,0,0,0,0,REP Duncan Webb,REP
COLL,18,PCT 018,937,457,1,0,0,0,0,REP Duncan Webb,REP
COLL,19,PCT 019,1644,1038,0,435,552,0,51,REP Duncan Webb,REP
COLL,20,PCT 020,995,655,0,0,0,0,0,REP Duncan Webb,REP
COLL,21,PCT 021,4296,2537,1,1155,1277,0,105,REP Duncan Webb,REP
COLL,22,PCT 022,4400,2410,0,0,0,0,0,REP Duncan Webb,REP
COLL,23,PCT 023,3117,1022,1,0,0,0,0,REP Duncan Webb,REP
COLL,24,PCT 024,2375,927,5,567,322,0,38,DEM Jeffrey Williams,DEM
COLL,25,PCT 025,3943,2150,8,0,0,0,0,REP Duncan Webb,REP
COLL,26,PCT 026,1314,568,0,256,280,0,32,REP Duncan Webb,REP
COLL,27,PCT 027,2741,1317,0,0,0,0,0,REP Duncan Webb,REP
COLL,28,PCT 028,3618,2032,0,929,1009,0,94,REP Duncan Webb,REP
COLL,29,PCT 029,3981,2236,0,0,0,0,0,REP Duncan Webb,REP
COLL,30,PCT 030,4909,2597,0,0,0,0,0,REP Duncan Webb,REP
COLL,31,PCT 031,2058,1365,0,554,771,0,40,REP Duncan Webb,REP
COLL,32,PCT 032,2493,1546,0,615,863,0,68,REP Duncan Webb,REP
COLL,33,PCT 033,5001,2743,0,0,0,0,0,REP Duncan Webb,REP
COLL,34,PCT 034,4438,2448,0,0,0,0,0,REP Duncan Webb,REP
COLL,35,PCT 035,1733,887,0,0,0,0,0,REP Duncan Webb,REP
COLL,36,PCT 036,1985,1296,4,447,799,0,50,REP Duncan Webb,REP
COLL,37,PCT 037,2571,1392,1,0,0,0,0,REP Duncan Webb,REP
COLL,38,PCT 038,3167,1369,0,0,0,0,0,REP Duncan Webb,REP
COLL,39,PCT 039,3081,1510,0,814,640,0,56,DEM Jeffrey Williams,DEM
COLL,40,PCT 040,3635,2040,1,694,1265,0,81,REP Duncan Webb,REP
COLL,41,PCT 041,4334,2545,0,0,0,0,0,REP Duncan Webb,REP
COLL,42,PCT 042,1914,979,0,0,0,0,0,REP Duncan Webb,REP
COLL,43,PCT 043,3484,1467,0,0,0,0,0,REP Duncan Webb,REP
COLL,44,PCT 044,1722,664,0,0,0,0,0,REP Duncan Webb,REP
COLL,45,PCT 045,3462,1910,0,0,0,0,0,REP Duncan Webb,REP
COLL,46,PCT 046,3160,1253,1,0,0,0,0,REP Duncan Webb,REP
COLL,47,PCT 047,2594,1391,0,0,0,0,0,REP Duncan Webb,REP
COLL,48,PCT 048,3780,2160,0,0,0,0,0,REP Duncan Webb,REP
COLL,49,PCT 049,2367,1482,0,593,826,0,63,REP Duncan Webb,REP
COLL,50,PCT 050,3099,1174,0,0,0,0,0,REP Duncan Webb,REP
COLL,51,PCT 051,1727,645,0,0,0,0,0,REP Duncan Webb,REP
COLL,52,PCT 052,4417,1789,0,0,0,0,0,REP Duncan Webb,REP
COLL,53,PCT 053,2230,1413,0,594,754,0,65,REP Duncan Webb,REP
COLL,54,PCT 054,3547,1585,1,903,623,0,59,DEM Jeffrey Williams,DEM
COLL,55,PCT 055,4130,2101,0,0,0,0,0,REP Duncan Webb,REP
COLL,56,PCT 056,3326,1711,0,0,0,0,0,REP Duncan Webb,REP
COLL,57,PCT 057,5053,2489,0,0,0,0,0,REP Duncan Webb,REP
COLL,58,PCT 058,3704,1844,3,935,836,0,73,DEM Jeffrey Williams,DEM
COLL,59,PCT 059,4025,2078,0,0,0,0,0,REP Duncan Webb,REP
COLL,60,PCT 060,2967,1792,0,0,0,0,0,REP Duncan Webb,REP
COLL,61,PCT 061,1662,994,0,0,0,0,0,REP Duncan Webb,REP
COLL,62,PCT 062,2605,1419,1,725,632,0,62,DEM Jeffrey Williams,DEM
COLL,63,PCT 063,2039,1365,1,549,761,0,55,REP Duncan Webb,REP
COLL,64,PCT 064,2711,1446,0,701,683,0,62,DEM Jeffrey Williams,DEM
COLL,65,PCT 065,1265,721,0,335,362,0,24,REP Duncan Webb,REP
COLL,66,PCT 066,2193,1197,0,549,596,0,52,REP Duncan Webb,REP
COLL,67,PCT 067,2878,1486,0,688,736,0,62,REP Duncan Webb,REP
COLL,68,PCT 068,2014,930,1,0,0,0,0,REP Duncan Webb,REP
COLL,69,PCT 069,3793,2297,0,965,1238,0,94,REP Duncan Webb,REP
COLL,70,PCT 070,1916,1156,0,466,652,0,38,REP Duncan Webb,REP
COLL,71,PCT 071,1815,1111,0,499,561,0,51,REP Duncan Webb,REP
COLL,72,PCT 072,1562,919,0,368,514,0,37,REP Duncan Webb,REP
COLL,73,PCT 073,1999,906,3,540,324,0,42,DEM Jeffrey Williams,DEM
COLL,74,PCT 074,1930,1069,3,492,538,0,39,REP Duncan Webb,REP
COLL,75,PCT 075,2308,1334,0,480,797,0,57,REP Duncan Webb,REP
COLL,76,PCT 076,3323,1952,1,764,1100,0,88,REP Duncan Webb,REP
COLL,77,PCT 077,3740,1864,0,986,819,0,59,DEM Jeffrey Williams,DEM
COLL,78,PCT 078,4724,2246,1,0,0,0,0,REP Duncan Webb,REP
COLL,79,PCT 079,2787,1325,9,590,677,0,58,REP Duncan Webb,REP
COLL,80,PCT 080,3640,1854,0,0,0,0,0,REP Duncan Webb,REP
COLL,81,PCT 081,2865,1535,1,757,704,0,74,DEM Jeffrey Williams,DEM
COLL,82,PCT 082,2983,1390,0,0,0,0,0,REP Duncan Webb,REP
COLL,83,PCT 083,4036,2063,0,0,0,0,0,REP Duncan Webb,REP
COLL,84,PCT 084,2439,1317,9,560,710,0,47,REP Duncan Webb,REP
COLL,85,PCT 085,3183,1666,0,903,697,0,66,DEM Jeffrey Williams,DEM
COLL,86,PCT 086,2972,1728,0,744,929,0,55,REP Duncan Webb,REP
COLL,87,PCT 087,3017,1462,0,0,0,0,0,REP Duncan Webb,REP
COLL,88,PCT 088,2051,697,7,482,188,0,27,DEM Jeffrey Williams,DEM
COLL,89,PCT 089,3232,1783,0,0,0,0,0,REP Duncan Webb,REP
COLL,90,PCT 090,3267,1934,0,619,1244,0,71,REP Duncan Webb,REP
COLL,91,PCT 091,2319,1384,0,670,665,0,49,DEM Jeffrey Williams,DEM
COLL,92,PCT 092,4113,1733,0,0,0,0,0,REP Duncan Webb,REP
COLL,93,PCT 093,287,157,0,0,0,0,0,REP Duncan Webb,REP
COLL,94,PCT 094,4227,2445,0,0,0,0,0,REP Duncan Webb,REP
COLL,95,PCT 095,3101,1614,2,0,0,0,0,REP Duncan Webb,REP
COLL,96,PCT 096,1450,525,0,0,0,0,0,REP Duncan Webb,REP
COLL,97,PCT 097,1332,927,0,0,0,0,0,REP Duncan Webb,REP
COLL,98,PCT 098,1482,711,0,0,0,0,0,REP Duncan Webb,REP
COLL,99,PCT 099,291,126,0,0,0,0,0,REP Duncan Webb,REP
COLL,100,PCT 100,29,5,0,0,0,0,0,REP Duncan Webb,REP
COLL,101,PCT 101,4006,2022,0,0,0,0,0,REP Duncan Webb,REP
COLL,102,PCT 102,2552,1654,1,0,0,0,0,REP Duncan Webb,REP
COLL,103,PCT 103,1401,570,0,0,0,0,0,REP Duncan Webb,REP
COLL,104,PCT 104,2569,847,4,534,285,0,28,DEM Jeffrey Williams,DEM
COLL,105,PCT 105,33,4,0,2,2,0,0,REP Duncan Webb,REP
COLL,106,PCT 106,1937,1003,0,0,0,0,0,REP Duncan Webb,REP
COLL,107,PCT 107,3385,1951,0,937,940,0,74,REP Duncan Webb,REP
COLL,108,PCT 108,2970,1563,1,0,0,0,0,REP Duncan Webb,REP
COLL,109,PCT 109,4577,2453,0,963,1384,0,106,REP Duncan Webb,REP
COLL,110,PCT 110,2844,1563,1,0,0,0,0,REP Duncan Webb,REP
COLL,111,PCT 111,3027,1631,0,0,0,0,0,REP Duncan Webb,REP
COLL,112,PCT 112,3135,1872,0,809,997,0,66,REP Duncan Webb,REP
COLL,113,PCT 113,3416,1506,0,0,0,0,0,REP Duncan Webb,REP
COLL,114,PCT 114,2533,1396,0,0,0,0,0,REP Duncan Webb,REP
COLL,115,PCT 115,3012,1729,10,841,794,0,94,DEM Jeffrey Williams,DEM
