precinct,bg_geoid,weight
1,480850307022,0.600065
1,480850307023,0.999324
1,480850307024,0.51141
1,480850307025,0.924704
1,480850308021,0.318321
1,480850308022,0.998161
2,480850306063,0.009909
2,480850308011,1.0
2,480850308012,0.996142
2,480850308013,0.969465
2,480850308021,0.679256
2,480850308022,0.001839
2,480850308023,0.999536
2,480850308024,0.72966
2,480850309031,0.001448
3,480850307021,0.487332
3,480850307022,0.30183
3,480850308021,0.002422
3,480850308024,0.263193
3,480850309011,0.246083
3,480850309021,0.740129
3,480850309032,0.016117
3,480850309033,0.993932
3,480850309034,1.0
3,480850314202,0.015635
4,480850301011,0.058531
4,480850302011,0.629557
4,480850302012,0.524372
4,480850309011,0.001318
5,480850315071,0.00468
5,480850315081,0.002273
5,480850315082,0.531353
5,480850315111,0.822874
5,480850320131,0.001771
6,480850314131,0.370723
6,480850314132,0.792942
6,480850314133,0.007056
7,480850314222,0.00857
7,480850314241,0.967775
7,480850315111,0.140896
7,480850315112,0.006197
8,480850310062,0.543381
8,480850310071,0.76626
8,480850310081,1.0
8,480850310082,0.967861
8,480850311021,0.016407
8,480850312011,0.008085
8,480850313083,0.013065
9,480850310031,0.153747
9,480850310032,0.999274
9,480850310033,0.999525
10,480850301011,0.302686
10,480850310051,0.006581
10,480850310052,0.004799
10,480850311011,0.282986
11,480850311011,0.048073
11,480850311012,0.947319
11,480850311013,0.999837
11,480850311021,0.015748
11,480850311022,0.53775
12,480850305341,0.003766
12,480850305342,0.001242
12,480850305351,0.978079
12,480850305352,0.982239
12,480850305481,0.003372
13,480850303072,0.194241
13,480850303075,0.342595
14,480850305071,0.00114
14,480850316572,0.002024
14,480850316601,0.240376
14,480850316602,0.966742
14,480850316603,1.0
14,480850316611,0.996719
14,480850316612,0.988794
14,480850316621,0.001262
14,480850316622,0.001885
15,480850316241,0.979911
15,480850316242,0.995808
15,480850316243,0.770661
16,480850302021,0.002899
16,480850302022,0.983726
16,480850302023,0.001761
16,480850302052,0.132322
16,480850302061,0.99958
16,480850302062,0.999947
17,480850302021,0.084677
17,480850302041,0.999867
17,480850302042,0.957461
17,480850302043,0.999165
17,480850302071,0.001128
18,480850301021,0.553764
18,480850302071,0.001561
19,480850316251,0.998139
19,480850316252,0.999628
19,480850316253,0.046335
19,480850316811,0.007169
19,480850316812,0.01628
20,480850302021,0.35186
20,480850302023,0.062449
21,480850316221,0.991715
21,480850316222,1.0
21,480850316223,0.992439
21,480850316232,0.005829
21,480850316271,0.015332
21,480850316292,0.015778
21,480850316293,0.042175
21,480850316294,0.036223
22,480850303061,0.02531
22,480850303064,0.999894
22,480850303065,0.999926
22,480850303066,0.167867
22,480850303072,0.453364
22,480850303074,0.993301
22,480850303075,0.566168
23,480850319011,0.959369
23,480850319022,0.999622
23,480850320033,0.001005
23,480850320103,0.750181
23,480850320104,0.730814
23,480850320105,0.001074
23,480850320143,0.672179
23,480850320161,0.004364
