COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Cindy Cash,David K. Setzer,Eusebio (Joe) Trujillo III,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,250,PCT LB 97,0,188,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,251,PCT LB 98,0,9,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,252,PCT LB 99,0,0,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,253,PCT LB 100,0,5,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,254,PCT LB 101,0,0,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,255,PCT LB 102,0,2,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,256,PCT LB 103,0,1,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,257,PCT LB 104,0,5,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,258,PCT LB 105,0,16,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,259,PCT LB 106,0,0,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,260,PCT LB 107,0,2,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,261,PCT LB 108,0,0,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,262,PCT LB 109,0,0,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,263,PCT LB 110,0,0,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,264,PCT LB 111,0,0,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,265,PCT LB 112,0,0,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,266,PCT LB 113,0,0,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,267,PCT LB 114,0,0,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
