COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Cindy Cash,David K. Setzer,Eusebio (Joe) Trujillo III,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,54,PCT 054,3547,1585,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,55,PCT 055,4130,2101,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,56,PCT 056,3326,1711,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,57,PCT 057,5053,2489,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,58,PCT 058,3704,1844,3,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,59,PCT 059,4025,2078,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,60,PCT 060,2967,1792,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,61,PCT 061,1662,994,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,62,PCT 062,2605,1419,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,63,PCT 063,2039,1365,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,64,PCT 064,2711,1446,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,65,PCT 065,1265,721,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,66,PCT 066,2193,1197,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,67,PCT 067,2878,1486,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,68,PCT 068,2014,930,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,69,PCT 069,3793,2297,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,70,PCT 070,1916,1156,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,71,PCT 071,1815,1111,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,72,PCT 072,1562,919,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,73,PCT 073,1999,906,3,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,74,PCT 074,1930,1069,3,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,75,PCT 075,2308,1334,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,76,PCT 076,3323,1952,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,77,PCT 077,3740,1864,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,78,PCT 078,4724,2246,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,79,PCT 079,2787,1325,9,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,80,PCT 080,3640,1854,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,81,PCT 081,2865,1535,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,82,PCT 082,2983,1390,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,83,PCT 083,4036,2063,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,84,PCT 084,2439,1317,9,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,85,PCT 085,3183,1666,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,86,PCT 086,2972,1728,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,87,PCT 087,3017,1462,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,88,PCT 088,2051,697,7,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,89,PCT 089,3232,1783,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,90,PCT 090,3267,1934,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,91,PCT 091,2319,1384,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,92,PCT 092,4113,1733,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,93,PCT 093,287,157,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,94,PCT 094,4227,2445,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,95,PCT 095,3101,1614,2,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,96,PCT 096,1450,525,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,97,PCT 097,1332,927,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,98,PCT 098,1482,711,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,99,PCT 099,291,126,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,100,PCT 100,29,5,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,101,PCT 101,4006,2022,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,102,PCT 102,2552,1654,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,103,PCT 103,1401,570,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,104,PCT 104,2569,847,4,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,105,PCT 105,33,4,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,106,PCT 106,1937,1003,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,107,PCT 107,3385,1951,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,108,PCT 108,2970,1563,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,109,PCT 109,4577,2453,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,110,PCT 110,2844,1563,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,111,PCT 111,3027,1631,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,112,PCT 112,3135,1872,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,113,PCT 113,3416,1506,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,114,PCT 114,2533,1396,0,124,115,144,0,263,Eusebio (Joe) Trujillo III,Eusebio
COLL,115,PCT 115,3012,1729,10,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,116,PCT 116,4920,2748,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,117,PCT 117,4367,2120,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,118,PCT 118,4315,2281,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,119,PCT 119,2374,1411,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,120,PCT 120,3666,2126,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,121,PCT 121,2837,1545,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,122,PCT 122,5090,3024,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,123,PCT 123,2023,1141,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,124,PCT 124,3253,1634,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,125,PCT 125,5196,2674,1,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,126,PCT 126,4804,2521,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
