COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,REP Antonio Swad,DEM Colin Allred,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2737,1491,0,0,0,0,0,REP Antonio Swad,REP
COLL,2,PCT 002,4654,2084,0,0,0,0,0,REP Antonio Swad,REP
COLL,3,PCT 003,2834,835,0,0,0,0,0,REP Antonio Swad,REP
COLL,4,PCT 004,3016,1694,0,0,0,0,0,REP Antonio Swad,REP
COLL,5,PCT 005,1029,576,0,0,0,0,0,REP Antonio Swad,REP
COLL,6,PCT 006,1616,744,1,0,0,0,0,REP Antonio Swad,REP
COLL,7,PCT 007,1549,790,0,0,0,0,0,REP Antonio Swad,REP
COLL,8,PCT 008,3617,1659,1,0,0,0,0,REP Antonio Swad,REP
COLL,9,PCT 009,3379,1611,0,0,0,0,0,REP Antonio Swad,REP
COLL,10,PCT 010,803,455,0,0,0,0,0,REP Antonio Swad,REP
COLL,11,PCT 011,4555,2291,0,0,0,0,0,REP Antonio Swad,REP
COLL,12,PCT 012,2149,1253,1,0,0,0,0,REP Antonio Swad,REP
COLL,13,PCT 013,2187,1358,0,0,0,0,0,REP Antonio Swad,REP
COLL,14,PCT 014,3268,1576,0,0,0,0,0,REP Antonio Swad,REP
COLL,15,PCT 015,1650,766,0,0,0,0,0,REP Antonio Swad,REP
COLL,16,PCT 016,4631,2465,1,0,0,0,0,REP Antonio Swad,REP
COLL,17,PCT 017,4647,2290,0,0,0,0,0,REP Antonio Swad,REP
COLL,18,PCT 018,937,457,1,0,0,0,0,REP Antonio Swad,REP
COLL,19,PCT 019,1644,1038,0,0,0,0,0,REP Antonio Swad,REP
COLL,20,PCT 020,995,655,0,0,0,0,0,REP Antonio Swad,REP
COLL,21,PCT 021,4296,2537,1,0,0,0,0,REP Antonio Swad,REP
COLL,22,PCT 022,4400,2410,0,0,0,0,0,REP Antonio Swad,REP
COLL,23,PCT 023,3117,1022,1,279,718,0,25,DEM Colin Allred,DEM
