COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Nancy Kennedy,REP Kristina Williams,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2737,1491,0,589,846,0,56,REP Kristina Williams,REP
COLL,2,PCT 002,4654,2084,0,987,1041,0,56,REP Kristina Williams,REP
COLL,3,PCT 003,2834,835,0,542,240,0,53,DEM Nancy Kennedy,DEM
COLL,4,PCT 004,3016,1694,0,484,1167,0,43,REP Kristina Williams,REP
COLL,5,PCT 005,1029,576,0,188,365,0,23,REP Kristina Williams,REP
COLL,6,PCT 006,1616,744,1,400,313,0,31,DEM Nancy Kennedy,DEM
COLL,7,PCT 007,1549,790,0,366,395,0,29,REP Kristina Williams,REP
COLL,8,PCT 008,3617,1659,1,463,1127,0,69,REP Kristina Williams,REP
COLL,9,PCT 009,3379,1611,0,613,939,0,59,REP Kristina Williams,REP
COLL,10,PCT 010,803,455,0,68,374,0,13,REP Kristina Williams,REP
COLL,11,PCT 011,4555,2291,0,411,1793,0,87,REP Kristina Williams,REP
COLL,12,PCT 012,2149,1253,1,434,777,0,42,REP Kristina Williams,REP
COLL,13,PCT 013,2187,1358,0,335,1000,0,23,REP Kristina Williams,REP
COLL,14,PCT 014,3268,1576,0,833,692,0,51,DEM Nancy Kennedy,DEM
COLL,15,PCT 015,1650,766,0,366,360,0,40,DEM Nancy Kennedy,DEM
COLL,16,PCT 016,4631,2465,1,754,1642,0,69,REP Kristina Williams,REP
COLL,17,PCT 017,4647,2290,0,846,1369,0,75,REP Kristina Williams,REP
COLL,18,PCT 018,937,457,1,73,366,0,18,REP Kristina Williams,REP
COLL,19,PCT 019,1644,1038,0,454,535,0,49,REP Kristina Williams,REP
COLL,20,PCT 020,995,655,0,125,501,0,29,REP Kristina Williams,REP
COLL,21,PCT 021,4296,2537,1,1190,1225,0,122,REP Kristina Williams,REP
COLL,22,PCT 022,4400,2410,0,426,1910,0,74,REP Kristina Williams,REP
COLL,23,PCT 023,3117,1022,1,699,277,0,46,DEM Nancy Kennedy,DEM
COLL,24,PCT 024,2375,927,5,574,314,0,39,DEM Nancy Kennedy,DEM
COLL,25,PCT 025,3943,2150,8,998,1067,0,85,REP Kristina Williams,REP
COLL,26,PCT 026,1314,568,0,262,281,0,25,REP Kristina Williams,REP
COLL,27,PCT 027,2741,1317,0,535,723,0,59,REP Kristina Williams,REP
COLL,28,PCT 028,3618,2032,0,940,1000,0,92,REP Kristina Williams,REP
COLL,29,PCT 029,3981,2236,0,616,1551,0,69,REP Kristina Williams,REP
COLL,30,PCT 030,4909,2597,0,987,1517,0,93,REP Kristina Williams,REP
COLL,31,PCT 031,2058,1365,0,572,747,0,46,REP Kristina Williams,REP
COLL,32,PCT 032,2493,1546,0,644,827,0,75,REP Kristina Williams,REP
COLL,33,PCT 033,5001,2743,0,735,1909,0,99,REP Kristina Williams,REP
COLL,34,PCT 034,4438,2448,0,1296,1039,0,113,DEM Nancy Kennedy,DEM
COLL,35,PCT 035,1733,887,0,140,714,0,33,REP Kristina Williams,REP
COLL,36,PCT 036,1985,1296,4,445,797,0,54,REP Kristina Williams,REP
COLL,37,PCT 037,2571,1392,1,182,1156,0,54,REP Kristina Williams,REP
COLL,38,PCT 038,3167,1369,0,704,611,0,54,DEM Nancy Kennedy,DEM
COLL,39,PCT 039,3081,1510,0,819,621,0,70,DEM Nancy Kennedy,DEM
