COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Julia Maldonado,REP Evan Young,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,74,PCT 074,1930,1069,3,493,541,0,35,REP Evan Young,REP
COLL,75,PCT 075,2308,1334,0,507,782,0,45,REP Evan Young,REP
COLL,76,PCT 076,3323,1952,1,804,1067,0,81,REP Evan Young,REP
COLL,77,PCT 077,3740,1864,0,995,816,0,53,DEM Julia Maldonado,DEM
COLL,78,PCT 078,4724,2246,1,1257,920,0,69,DEM Julia Maldonado,DEM
COLL,79,PCT 079,2787,1325,9,609,675,0,41,REP Evan Young,REP
COLL,80,PCT 080,3640,1854,0,864,940,0,50,REP Evan Young,REP
COLL,81,PCT 081,2865,1535,1,770,699,0,66,DEM Julia Maldonado,DEM
COLL,82,PCT 082,2983,1390,0,688,668,0,34,DEM Julia Maldonado,DEM
COLL,83,PCT 083,4036,2063,0,658,1338,0,67,REP Evan Young,REP
COLL,84,PCT 084,2439,1317,9,556,714,0,47,REP Evan Young,REP
COLL,85,PCT 085,3183,1666,0,924,690,0,52,DEM Julia Maldonado,DEM
COLL,86,PCT 086,2972,1728,0,773,904,0,51,REP Evan Young,REP
COLL,87,PCT 087,3017,1462,0,886,536,0,40,DEM Julia Maldonado,DEM
COLL,88,PCT 088,2051,697,7,485,191,0,21,DEM Julia Maldonado,DEM
COLL,89,PCT 089,3232,1783,0,831,899,0,53,REP Evan Young,REP
COLL,90,PCT 090,3267,1934,0,660,1215,0,59,REP Evan Young,REP
COLL,91,PCT 091,2319,1384,0,677,664,0,43,DEM Julia Maldonado,DEM
COLL,92,PCT 092,4113,1733,0,853,830,0,50,DEM Julia Maldonado,DEM
COLL,93,PCT 093,287,157,0,23,124,0,10,REP Evan Young,REP
COLL,94,PCT 094,4227,2445,0,1267,1096,0,82,DEM Julia Maldonado,DEM
COLL,95,PCT 095,3101,1614,2,757,803,0,54,REP Evan Young,REP
COLL,96,PCT 096,1450,525,0,224,286,0,15,REP Evan Young,REP
COLL,97,PCT 097,1332,927,0,246,643,0,38,REP Evan Young,REP
COLL,98,PCT 098,1482,711,0,266,411,0,34,REP Evan Young,REP
COLL,99,PCT 099,291,126,0,80,44,0,2,DEM Julia Maldonado,DEM
COLL,100,PCT 100,29,5,0,2,3,0,0,REP Evan Young,REP
COLL,101,PCT 101,4006,2022,0,929,1037,0,56,REP Evan Young,REP
COLL,102,PCT 102,2552,1654,1,507,1090,0,57,REP Evan Young,REP
COLL,103,PCT 103,1401,570,0,305,243,0,22,DEM Julia Maldonado,DEM
COLL,104,PCT 104,2569,847,4,550,271,0,26,DEM Julia Maldonado,DEM
COLL,105,PCT 105,33,4,0,2,2,0,0,REP Evan Young,REP
COLL,106,PCT 106,1937,1003,0,484,493,0,26,REP Evan Young,REP
COLL,107,PCT 107,3385,1951,0,972,929,0,50,DEM Julia Maldonado,DEM
COLL,108,PCT 108,2970,1563,1,816,693,0,54,DEM Julia Maldonado,DEM
COLL,109,PCT 109,4577,2453,0,1010,1370,0,73,REP Evan Young,REP
COLL,110,PCT 110,2844,1563,1,696,819,0,48,REP Evan Young,REP
COLL,111,PCT 111,3027,1631,0,487,1116,0,28,REP Evan Young,REP
COLL,112,PCT 112,3135,1872,0,834,974,0,64,REP Evan Young,REP
COLL,113,PCT 113,3416,1506,0,721,732,0,53,REP Evan Young,REP
COLL,114,PCT 114,2533,1396,0,478,874,0,44,REP Evan Young,REP
COLL,115,PCT 115,3012,1729,10,868,793,0,68,DEM Julia Maldonado,DEM
COLL,116,PCT 116,4920,2748,0,1129,1520,1,98,REP Evan Young,REP
COLL,117,PCT 117,4367,2120,1,1009,1041,0,70,REP Evan Young,REP
COLL,118,PCT 118,4315,2281,1,932,1278,0,71,REP Evan Young,REP
COLL,119,PCT 119,2374,1411,0,646,719,0,46,REP Evan Young,REP
COLL,120,PCT 120,3666,2126,0,815,1250,0,61,REP Evan Young,REP
COLL,121,PCT 121,2837,1545,0,909,593,0,43,DEM Julia Maldonado,DEM
COLL,122,PCT 122,5090,3024,0,918,2001,0,105,REP Evan Young,REP
COLL,123,PCT 123,2023,1141,0,450,652,0,39,REP Evan Young,REP
COLL,124,PCT 124,3253,1634,0,785,790,0,59,REP Evan Young,REP
COLL,125,PCT 125,5196,2674,1,1417,1184,0,73,DEM Julia Maldonado,DEM
COLL,126,PCT 126,4804,2521,0,1166,1297,0,58,REP Evan Young,REP
COLL,127,PCT 127,3882,1912,0,903,951,0,58,REP Evan Young,REP
COLL,128,PCT 128,3071,1999,0,469,1466,0,64,REP Evan Young,REP
COLL,129,PCT 129,4501,2319,0,1005,1255,0,59,REP Evan Young,REP
COLL,130,PCT 130,3867,2138,0,1043,1015,0,80,DEM Julia Maldonado,DEM
COLL,131,PCT 131,3119,1647,0,557,1042,0,48,REP Evan Young,REP
COLL,132,PCT 132,2834,1605,8,840,712,0,53,DEM Julia Maldonado,DEM
COLL,133,PCT 133,2855,1177,0,484,645,0,48,REP Evan Young,REP
COLL,134,PCT 134,4014,1906,0,993,873,0,40,DEM Julia Maldonado,DEM
COLL,135,PCT 135,4223,2152,2,1115,971,0,66,DEM Julia Maldonado,DEM
COLL,136,PCT 136,2003,1232,1,525,670,0,37,REP Evan Young,REP
COLL,137,PCT 137,2003,1099,0,430,633,0,36,REP Evan Young,REP
COLL,138,PCT 138,2101,1361,1,599,705,0,57,REP Evan Young,REP
COLL,139,PCT 139,4196,2067,0,1112,904,0,51,DEM Julia Maldonado,DEM
COLL,140,PCT 140,4861,2744,0,861,1799,0,84,REP Evan Young,REP
COLL,141,PCT 141,3457,2026,0,962,1003,0,61,REP Evan Young,REP
COLL,142,PCT 142,2873,1741,15,884,799,0,58,DEM Julia Maldonado,DEM
COLL,143,PCT 143,2158,1288,0,522,726,0,40,REP Evan Young,REP
COLL,144,PCT 144,2874,1594,4,649,891,0,54,REP Evan Young,REP
COLL,145,PCT 145,1731,896,1,470,399,0,27,DEM Julia Maldonado,DEM
COLL,146,PCT 146,4877,2371,1,1116,1180,0,75,REP Evan Young,REP
COLL,147,PCT 147,2253,980,0,458,495,0,27,REP Evan Young,REP
