precinct,registered,ballots_cast,blank
palo-pinto:1,540,,
palo-pinto:11,394,,
palo-pinto:12,462,,
palo-pinto:13,691,,
palo-pinto:14,178,,
palo-pinto:15,906,,
palo-pinto:16,421,,
palo-pinto:17,728,,
palo-pinto:18,199,,
palo-pinto:2,31,,
palo-pinto:20,207,,
palo-pinto:21,859,,
palo-pinto:22,1000,,
palo-pinto:23,1648,,
palo-pinto:24,181,,
palo-pinto:25,199,,
palo-pinto:26,105,,
palo-pinto:27,1730,,
palo-pinto:28,1055,,
palo-pinto:29,1132,,
palo-pinto:3,952,,
palo-pinto:30,718,,
palo-pinto:4,465,,
palo-pinto:5,487,,
palo-pinto:6,935,,
palo-pinto:7,594,,
palo-pinto:8,1690,,
palo-pinto:9,368,,
parker:100,4234,3225,
parker:105,2314,1663,
parker:110,1975,1287,
parker:111,1463,993,
parker:115,3029,1963,
parker:120,2323,1587,
parker:125,2932,2072,
parker:130,3726,2452,
parker:135,1793,1295,
parker:140,1398,974,
parker:200,1916,1121,
parker:205,2022,1272,
parker:210,2001,1501,
parker:215,3805,2773,
parker:220,763,563,
parker:225,1394,995,
parker:230,1612,1202,
parker:235,1173,874,
parker:240,1803,1250,
parker:245,1461,1025,
parker:250,1516,1110,
parker:255,2092,1374,
parker:300,1750,1270,
parker:305,2948,2017,
parker:310,1863,1184,
parker:315,4208,2854,
parker:320,2144,1630,
parker:325,1990,1469,
parker:330,1795,1073,
parker:335,4041,3246,
parker:340,965,813,
parker:345,2307,1644,
parker:350,2711,2016,
parker:400,3402,2535,
parker:405,3503,2742,
parker:410,2258,1676,
parker:415,3675,3063,
parker:420,2314,1815,
parker:425,1481,1157,
parker:430,3076,2319,
parker:435,3125,2396,
parker:440,4104,3236,
parker:445,2102,1647,
parker:450,2670,2049,
stephens:1-11,1089,,
stephens:2-11,1273,,
stephens:2-19,198,,
stephens:3-11,780,,
stephens:3-19,467,,
stephens:4-11,665,,
stephens:4-19,879,,
stephens:5-11,304,,
