precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,7,21,2798,1,118,2945,0.24%,0.71%,95.01%,0.03%,4.01%
2,14,11,2043,18,180,2266,0.62%,0.49%,90.16%,0.79%,7.94%
3,4,32,1306,0,124,1447,0.28%,2.21%,90.26%,0.00%,8.57%
4,12,19,2231,2,182,2446,0.49%,0.78%,91.21%,0.08%,7.44%
5,3,4,1165,0,69,1239,0.24%,0.32%,94.03%,0.00%,5.57%
6,9,16,599,0,58,665,1.35%,2.41%,90.08%,0.00%,8.72%
7,7,26,1732,0,160,1925,0.36%,1.35%,89.97%,0.00%,8.31%
8,5,6,1301,1,88,1401,0.36%,0.43%,92.86%,0.07%,6.28%
9,9,20,1425,0,65,1509,0.60%,1.33%,94.43%,0.00%,4.31%
10,0,1,86,8,240,335,0.00%,0.30%,25.67%,2.39%,71.64%
11,141,401,2792,0,502,3832,3.68%,10.46%,72.86%,0.00%,13.10%
12,0,1,133,1,19,154,0.00%,0.65%,86.36%,0.65%,12.34%
