precinct,registered,ballots_cast,blank
103,780,417,0
104,1072,413,0
105,3385,1657,0
106,3446,1911,0
107,1308,739,0
109,635,316,0
110,241,138,0
112,231,34,0
113,1260,528,0
114,1217,452,0
115,371,232,0
116,2672,1392,2
117,2394,1174,0
119,1972,1142,0
120,1279,754,0
125,210,114,0
128,3519,1873,0
129,3161,1561,1
201,624,201,0
203,765,208,0
204,1866,629,0
205,1484,740,0
206,2999,974,0
207,1301,415,0
208,4453,2365,0
209,1072,241,0
211,116,76,0
213,3602,1557,0
214,753,421,0
216,245,142,0
219,106,51,0
226,398,149,0
227,648,358,0
228,786,464,0
230,109,74,0
232,41,28,0
305,4630,2276,0
306,4190,2282,0
307,4932,2376,0
311,3465,1331,1
401,2431,1313,1
404,4350,2068,2
405,2461,1288,0
406,1430,943,0
407,2132,1115,0
408,2013,969,0
409,3101,1430,0
410,174,110,0
413,779,484,0
414,4328,1912,0
415,5534,2343,1
303,1438,766,0
304,4220,2214,0
308,2236,1146,0
309,3947,1868,0
310,2120,842,0
126,36,15,0
412,3640,1629,0
202,1245,384,0
210,876,444,0
212,199,85,0
215,1033,587,0
218,78,30,0
220,84,31,0
221,31,17,0
222,7,0,0
223,279,147,0
224,186,57,0
225,22,11,0
229,168,56,0
231,125,88,0
102,1416,743,0
123,0,1,0
124,3,2,0
127,16,9,0
217,189,67,0
