precinct,registered,ballots_cast,blank
1,1409,,
2,2606,,
3,3579,,
4,2478,,
5,1539,,
6,3582,,
7,765,,
8,4969,,
9,1992,,
10,1128,,
11,628,,
12,1300,,
13,1069,,
14,348,,
15,973,,
16,766,,
17,3072,,
18,3236,,
19,3294,,
20,3052,,
21,435,,
22,422,,
23,2169,,
24,869,,
25,534,,
26,4472,,
27,789,,
28,227,,
29,3237,,
30,244,,
31,623,,
32,2103,,
33,1184,,
34,537,,
35,887,,
36,859,,
37,1374,,
38,468,,
39,599,,
40,4257,,
41,434,,
42,407,,
43,574,,
44,1021,,
45,580,,
46,366,,
47,457,,
48,1435,,
49,1014,,
50,535,,
51,2136,,
52,874,,
53,754,,
54,1384,,
55,1013,,
56,1148,,
57,804,,
58,1171,,
59,1508,,
60,1050,,
61,817,,
62,912,,
63,2317,,
64,863,,
65,3143,,
66,1505,,
67,4038,,
68,1039,,
69,1882,,
70,2698,,
71,1692,,
72,1645,,
73,1440,,
74,1705,,
75,2161,,
76,813,,
77,293,,
78,1630,,
79,1130,,
80,1561,,
81,4273,,
82,671,,
83,1053,,
84,815,,
85,511,,
86,629,,
87,1423,,
88,2311,,
89,692,,
90,851,,
91,3683,,
92,1889,,
93,2814,,
94,2017,,
95,809,,
96,907,,
97,1121,,
98,1692,,
99,586,,
100,1246,,
101,3201,,
102,1484,,
103,2528,,
104,860,,
105,1250,,
106,2265,,
107,4414,,
108,707,,
109,483,,
110,1443,,
111,1036,,
112,2100,,
113,456,,
114,685,,
115,2001,,
116,4202,,
117,3247,,
118,2583,,
119,3078,,
120,2167,,
121,1507,,
122,3659,,
123,2033,,
124,3135,,
125,5678,,
126,3602,,
127,1564,,
