precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
104,125,66,306,13,1109,1619,7.72%,4.08%,18.90%,0.80%,68.50%
108,73,224,820,0,1013,2120,3.44%,10.57%,38.68%,0.00%,47.78%
109,123,96,513,77,2963,3772,3.26%,2.55%,13.60%,2.04%,78.55%
110,242,128,579,100,3856,4905,4.93%,2.61%,11.80%,2.04%,78.61%
111,121,126,728,71,2090,3136,3.86%,4.02%,23.21%,2.26%,66.65%
112,208,148,623,45,1712,2736,7.60%,5.41%,22.77%,1.64%,62.57%
113,432,744,1783,0,2127,5069,8.52%,14.68%,35.17%,0.00%,41.96%
114,44,160,838,9,332,1383,3.18%,11.57%,60.59%,0.65%,24.01%
118,61,344,1357,22,1272,3056,2.00%,11.26%,44.40%,0.72%,41.62%
119,196,677,2612,0,2059,5526,3.55%,12.25%,47.27%,0.00%,37.26%
120,63,128,1952,144,3425,5712,1.10%,2.24%,34.17%,2.52%,59.96%
121,113,172,1094,117,3284,4780,2.36%,3.60%,22.89%,2.45%,68.70%
122,40,243,1200,27,1468,2978,1.34%,8.16%,40.30%,0.91%,49.29%
123,53,194,596,54,1807,2704,1.96%,7.17%,22.04%,2.00%,66.83%
124,51,69,522,65,1682,2389,2.13%,2.89%,21.85%,2.72%,70.41%
125,129,131,677,46,1956,2939,4.39%,4.46%,23.04%,1.57%,66.55%
126,49,175,675,25,1241,2165,2.26%,8.08%,31.18%,1.15%,57.32%
127,137,202,914,72,2602,3927,3.49%,5.14%,23.27%,1.83%,66.26%
128,38,55,368,47,1773,2281,1.67%,2.41%,16.13%,2.06%,77.73%
129,321,359,1268,64,3133,5145,6.24%,6.98%,24.65%,1.24%,60.89%
135,16,21,161,17,447,662,2.42%,3.17%,24.32%,2.57%,67.52%
138,15,20,153,29,490,707,2.12%,2.83%,21.64%,4.10%,69.31%
139,118,48,483,55,1939,2643,4.46%,1.82%,18.27%,2.08%,73.36%
140,172,130,854,57,2527,3740,4.60%,3.48%,22.83%,1.52%,67.57%
141,71,393,1559,58,2244,4325,1.64%,9.09%,36.05%,1.34%,51.88%
142,4,10,92,3,145,254,1.57%,3.94%,36.22%,1.18%,57.09%
151,6,10,344,56,929,1345,0.45%,0.74%,25.58%,4.16%,69.07%
152,196,237,687,64,1672,2856,6.86%,8.30%,24.05%,2.24%,58.54%
153,11,1294,1103,0,172,2534,0.43%,51.07%,43.53%,0.00%,6.79%
154,408,309,1750,95,3599,6161,6.62%,5.02%,28.40%,1.54%,58.42%
155,47,31,501,55,2460,3094,1.52%,1.00%,16.19%,1.78%,79.51%
178,1,17,63,4,295,380,0.26%,4.47%,16.58%,1.05%,77.63%
