precinct,registered,ballots_cast,blank
harris:174,3645,2913,
harris:290,1748,1306,
harris:306,1913,1572,
harris:307,3270,2492,
harris:333,3897,2867,
harris:348,1947,1234,
harris:349,1490,970,
harris:377,3328,2389,
harris:378,1845,1309,
harris:391,2101,1558,
harris:415,2346,1850,
harris:416,4474,2957,
harris:473,1797,1439,
harris:474,3226,2361,
harris:537,3443,2843,
harris:545,4728,3572,
harris:568,3661,2886,
harris:654,5600,3945,
harris:655,4790,3393,
harris:662,4157,3273,
harris:692,3437,2398,
harris:696,2449,1361,
harris:699,2392,1890,
harris:703,2008,1600,
harris:715,1693,1013,
harris:716,2796,1925,
harris:718,5092,4151,
harris:721,2958,2332,
harris:724,1130,1019,
harris:728,938,611,
harris:732,2023,1528,
harris:742,3574,2864,
harris:744,2168,1657,
harris:745,2663,1917,
harris:746,820,507,
harris:748,1710,1033,
harris:750,893,543,
harris:752,1584,1042,
harris:762,3157,2570,
harris:782,2419,1753,
harris:845,254,218,
harris:88,1005,756,
harris:90,4112,3221,
harris:907,227,127,
harris:91,2152,1524,
harris:92,2354,1903,
harris:920,87,71,
harris:941,1012,661,
harris:996,750,551,
