precinct,registered,ballots_cast,blank
103,1385,,
104,1021,,
105,354,,
142,2856,,
144,2683,,
146,3234,,
148,4208,,
150,2586,,
151,3588,,
152,5102,,
159,4853,,
165,5512,,
166,3216,,
167,6279,,
168,2,,
169,1,,
170,3033,,
172,507,,
192,836,,
193,2787,,
197,1007,,
218,3427,,
219,2860,,
220,6545,,
221,2255,,
223,3620,,
224,3703,,
225,3219,,
226,2854,,
227,3371,,
228,3377,,
232,2197,,
258,2560,,
263,8013,,
274,834,,
275,371,,
276,2613,,
277,2787,,
278,2982,,
279,1380,,
280,1230,,
281,217,,
283,3655,,
301,1403,,
306,5609,,
309,140,,
311,1480,,
312,3,,
314,4339,,
315,4271,,
316,2631,,
330,3197,,
331,2604,,
334,1600,,
336,4652,,
338,4022,,
340,712,,
341,1687,,
343,2631,,
345,1144,,
347,1791,,
389,778,,
391,173,,
394,30,,
398,552,,
399,400,,
401,0,,
439,3823,,
453,5647,,
454,4762,,
455,2333,,
456,3593,,
457,4816,,
460,5300,,
461,4001,,
462,5393,,
464,3237,,
471,2676,,
482,187,,
487,6591,,
488,4353,,
490,5171,,
1051,679,,
1651,0,,
2321,0,,
2322,0,,
2323,456,,
2801,0,,
3061,0,,
3301,3,,
3311,369,,
4391,23,,
