Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
bandera:101,868,10,189,1067,0.8134957826,0.0093720712,0.1771321462,Rep,3
bandera:102,1384,22,288,1694,0.8170011806,0.0129870130,0.1700118064,Rep,3
bandera:203,1050,17,290,1357,0.7737656595,0.0125276345,0.2137067060,Rep,3
bandera:204,819,12,224,1055,0.7763033175,0.0113744076,0.2123222749,Rep,3
bandera:305,1319,19,229,1567,0.8417358009,0.0121250798,0.1461391193,Rep,3
bandera:306,815,12,105,932,0.8744635193,0.0128755365,0.1126609442,Rep,3
bandera:407,1417,16,261,1694,0.8364817001,0.0094451004,0.1540731995,Rep,3
bandera:408,144,3,45,192,0.7500000000,0.0156250000,0.2343750000,Rep,3
bandera:409,382,7,96,485,0.7876288660,0.0144329897,0.1979381443,Rep,3
bandera:410,309,3,60,372,0.8306451613,0.0080645161,0.1612903226,Rep,3
crane:1,340,7,36,383,0.8877284595,0.0182767624,0.0939947781,Rep,3
crane:2,260,6,42,308,0.8441558442,0.0194805195,0.1363636364,Rep,3
crane:3,140,6,40,186,0.7526881720,0.0322580645,0.2150537634,Rep,3
crane:4,188,6,25,219,0.8584474886,0.0273972603,0.1141552511,Rep,3
crockett:1,208,12,90,310,0.6709677419,0.0387096774,0.2903225806,Rep,3
crockett:2,258,7,60,325,0.7938461538,0.0215384615,0.1846153846,Rep,3
crockett:3,281,8,53,342,0.8216374269,0.0233918129,0.1549707602,Rep,3
crockett:4,146,14,72,232,0.6293103448,0.0603448276,0.3103448276,Rep,3
edwards:1,112,2,26,140,0.8000000000,0.0142857143,0.1857142857,Rep,3
edwards:2,303,2,38,343,0.8833819242,0.0058309038,0.1107871720,Rep,3
edwards:3,252,3,38,293,0.8600682594,0.0102389078,0.1296928328,Rep,3
edwards:4,135,1,46,182,0.7417582418,0.0054945055,0.2527472527,Rep,3
kerr:101,1762,28,427,2217,0.7947677041,0.0126296797,0.1926026161,Rep,3
kerr:107,612,13,125,750,0.8160000000,0.0173333333,0.1666666667,Rep,3
kerr:109,941,14,201,1156,0.8140138408,0.0121107266,0.1738754325,Rep,3
kerr:113,938,16,310,1264,0.7420886076,0.0126582278,0.2452531646,Rep,3
kerr:118,227,4,109,340,0.6676470588,0.0117647059,0.3205882353,Rep,3
kerr:119,1102,24,447,1573,0.7005721551,0.0152574698,0.2841703751,Rep,3
kerr:202,1492,22,288,1802,0.8279689234,0.0122086570,0.1598224195,Rep,3
kerr:211,650,18,270,938,0.6929637527,0.0191897655,0.2878464819,Rep,3
kerr:215,1816,33,457,2306,0.7875108413,0.0143104944,0.1981786644,Rep,3
kerr:220,1689,19,402,2110,0.8004739336,0.0090047393,0.1905213270,Rep,3
kerr:303,634,8,138,780,0.8128205128,0.0102564103,0.1769230769,Rep,3
kerr:308,324,3,121,448,0.7232142857,0.0066964286,0.2700892857,Rep,3
kerr:312,1932,40,786,2758,0.7005076142,0.0145032632,0.2849891226,Rep,3
kerr:314,815,27,492,1334,0.6109445277,0.0202398801,0.3688155922,Rep,2
kerr:404,710,10,98,818,0.8679706601,0.0122249389,0.1198044010,Rep,3
kerr:405,1048,12,307,1367,0.7666422824,0.0087783467,0.2245793709,Rep,3
kerr:406,1897,28,453,2378,0.7977291842,0.0117746005,0.1904962153,Rep,3
kerr:410,229,2,17,248,0.9233870968,0.0080645161,0.0685483871,Rep,3
kerr:416,1046,12,241,1299,0.8052347960,0.0092378753,0.1855273287,Rep,3
kerr:417,990,17,270,1277,0.7752545027,0.0133124511,0.2114330462,Rep,3
kimble:1,461,5,70,536,0.8600746269,0.0093283582,0.1305970149,Rep,3
kimble:2,245,4,28,277,0.8844765343,0.0144404332,0.1010830325,Rep,3
kimble:3,187,2,19,208,0.8990384615,0.0096153846,0.0913461538,Rep,3
kimble:4,260,1,31,292,0.8904109589,0.0034246575,0.1061643836,Rep,3
kimble:6,224,2,19,245,0.9142857143,0.0081632653,0.0775510204,Rep,3
kimble:7,256,2,23,281,0.9110320285,0.0071174377,0.0818505338,Rep,3
kimble:9,310,4,52,366,0.8469945355,0.0109289617,0.1420765027,Rep,3
llano:101,184,2,37,223,0.8251121076,0.0089686099,0.1659192825,Rep,3
llano:102,348,5,111,464,0.7500000000,0.0107758621,0.2392241379,Rep,3
llano:108,587,10,161,758,0.7744063325,0.0131926121,0.2124010554,Rep,3
llano:109,2272,22,466,2760,0.8231884058,0.0079710145,0.1688405797,Rep,3
llano:203,1277,18,238,1533,0.8330071755,0.0117416830,0.1552511416,Rep,3
llano:204,477,6,93,576,0.8281250000,0.0104166667,0.1614583333,Rep,3
llano:205,394,4,62,460,0.8565217391,0.0086956522,0.1347826087,Rep,3
llano:307,1316,17,296,1629,0.8078575813,0.0104358502,0.1817065684,Rep,3
llano:410,2072,29,425,2526,0.8202692003,0.0114806017,0.1682501979,Rep,3
mason:101,475,5,108,588,0.8078231293,0.0085034014,0.1836734694,Rep,3
mason:210,394,4,88,486,0.8106995885,0.0082304527,0.1810699588,Rep,3
mason:302,540,4,105,649,0.8320493066,0.0061633282,0.1617873652,Rep,3
mason:405,546,4,129,679,0.8041237113,0.0058910162,0.1899852725,Rep,3
mcculloch:101,814,9,113,936,0.8696581197,0.0096153846,0.1207264957,Rep,3
mcculloch:102,106,2,14,122,0.8688524590,0.0163934426,0.1147540984,Rep,3
mcculloch:201,320,5,121,446,0.7174887892,0.0112107623,0.2713004484,Rep,3
mcculloch:202,102,1,15,118,0.8644067797,0.0084745763,0.1271186441,Rep,3
mcculloch:301,636,8,103,747,0.8514056225,0.0107095047,0.1378848728,Rep,3
mcculloch:302,176,2,14,192,0.9166666667,0.0104166667,0.0729166667,Rep,3
mcculloch:401,362,7,52,421,0.8598574822,0.0166270784,0.1235154394,Rep,3
mcculloch:402,229,3,23,255,0.8980392157,0.0117647059,0.0901960784,Rep,3
mcculloch:403,101,1,11,113,0.8938053097,0.0088495575,0.0973451327,Rep,3
medina:1A,906,13,193,1112,0.8147482014,0.0116906475,0.1735611511,Rep,3
medina:1B,1023,24,207,1254,0.8157894737,0.0191387560,0.1650717703,Rep,3
medina:1C,1617,47,669,2333,0.6930990141,0.0201457351,0.2867552508,Rep,3
medina:1D,1326,27,426,1779,0.7453625632,0.0151770658,0.2394603710,Rep,3
medina:2A,1139,54,794,1987,0.5732259688,0.0271766482,0.3995973830,Rep,2
medina:2B,1740,34,528,2302,0.7558644657,0.0147697654,0.2293657689,Rep,3
medina:2C,2025,51,720,2796,0.7242489270,0.0182403433,0.2575107296,Rep,3
medina:3A,548,8,198,754,0.7267904509,0.0106100796,0.2625994695,Rep,3
medina:3B,326,7,86,419,0.7780429594,0.0167064439,0.2052505967,Rep,3
medina:3C,1109,36,545,1690,0.6562130178,0.0213017751,0.3224852071,Rep,3
medina:3D,510,26,648,1184,0.4307432432,0.0219594595,0.5472972973,Dem,2
medina:4A,885,19,270,1174,0.7538330494,0.0161839864,0.2299829642,Rep,3
medina:4B,1703,45,718,2466,0.6905920519,0.0182481752,0.2911597729,Rep,3
medina:4C,586,22,422,1030,0.5689320388,0.0213592233,0.4097087379,Rep,2
menard:1,142,2,49,193,0.7357512953,0.0103626943,0.2538860104,Rep,3
menard:2,185,2,44,231,0.8008658009,0.0086580087,0.1904761905,Rep,3
menard:3,212,2,41,255,0.8313725490,0.0078431373,0.1607843137,Rep,3
menard:4,142,2,35,179,0.7932960894,0.0111731844,0.1955307263,Rep,3
menard:5,41,0,5,46,0.8913043478,0.0000000000,0.1086956522,Rep,3
menard:6,67,1,8,76,0.8815789474,0.0131578947,0.1052631579,Rep,3
pecos:1,640,39,288,967,0.6618407446,0.0403309204,0.2978283351,Rep,3
pecos:2,540,35,321,896,0.6026785714,0.0390625000,0.3582589286,Rep,2
pecos:3,98,2,7,107,0.9158878505,0.0186915888,0.0654205607,Rep,3
pecos:4,235,3,32,270,0.8703703704,0.0111111111,0.1185185185,Rep,3
pecos:5,41,0,1,42,0.9761904762,0.0000000000,0.0238095238,Rep,3
pecos:6,43,1,15,59,0.7288135593,0.0169491525,0.2542372881,Rep,3
pecos:7,440,20,249,709,0.6205923836,0.0282087447,0.3511988717,Rep,2
pecos:9,100,5,15,120,0.8333333333,0.0416666667,0.1250000000,Rep,3
pecos:10,199,18,118,335,0.5940298507,0.0537313433,0.3522388060,Rep,2
real:1,437,9,81,527,0.8292220114,0.0170777989,0.1537001898,Rep,3
real:2,505,9,86,600,0.8416666667,0.0150000000,0.1433333333,Rep,3
real:3,254,4,70,328,0.7743902439,0.0121951220,0.2134146341,Rep,3
real:4,224,1,23,248,0.9032258065,0.0040322581,0.0927419355,Rep,3
real:6,197,6,42,245,0.8040816327,0.0244897959,0.1714285714,Rep,3
schleicher:1,267,5,60,332,0.8042168675,0.0150602410,0.1807228916,Rep,3
schleicher:2,230,3,61,294,0.7823129252,0.0102040816,0.2074829932,Rep,3
schleicher:3,71,2,41,114,0.6228070175,0.0175438596,0.3596491228,Rep,2
schleicher:4,359,3,38,400,0.8975000000,0.0075000000,0.0950000000,Rep,3
sutton:101,219,6,101,326,0.6717791411,0.0184049080,0.3098159509,Rep,3
sutton:201,346,4,51,401,0.8628428928,0.0099750623,0.1271820449,Rep,3
sutton:301,427,5,92,524,0.8148854962,0.0095419847,0.1755725191,Rep,3
sutton:401,211,4,73,288,0.7326388889,0.0138888889,0.2534722222,Rep,3
upton:1,304,9,25,338,0.8994082840,0.0266272189,0.0739644970,Rep,3
upton:2,187,8,27,222,0.8423423423,0.0360360360,0.1216216216,Rep,3
upton:3,129,5,34,168,0.7678571429,0.0297619048,0.2023809524,Rep,3
upton:4,233,9,40,282,0.8262411348,0.0319148936,0.1418439716,Rep,3
