precinct,dem_voters,canvassed_share,canvassed_voters,generated_on
1,834,0.7714,643,2026-07-05
2,1831,0.7726,1415,2026-07-05
3,1869,0.8302,1552,2026-07-05
4,748,0.9012,674,2026-07-05
5,213,1.0000,213,2026-07-05
6,721,0.9454,682,2026-07-05
7,547,0.9682,530,2026-07-05
8,1111,0.1750,194,2026-07-05
9,1309,0.4071,533,2026-07-05
10,52,0.0000,0,2026-07-05
11,479,0.5322,255,2026-07-05
12,477,0.3367,161,2026-07-05
13,529,0.0000,0,2026-07-05
14,1560,0.5838,911,2026-07-05
15,643,0.8854,569,2026-07-05
16,1189,0.9714,1155,2026-07-05
17,1324,0.7091,939,2026-07-05
18,70,0.5000,35,2026-07-05
19,482,0.9647,465,2026-07-05
20,332,0.9714,323,2026-07-05
21,1623,1.0000,1623,2026-07-05
22,459,0.0263,12,2026-07-05
23,2216,0.1226,272,2026-07-05
24,1408,0.8065,1136,2026-07-05
25,1572,0.7625,1199,2026-07-05
26,516,0.6957,359,2026-07-05
27,840,0.0032,3,2026-07-05
28,1363,0.8178,1115,2026-07-05
29,929,0.3278,305,2026-07-05
30,1284,0.3963,509,2026-07-05
31,622,0.3962,246,2026-07-05
32,772,0.6503,502,2026-07-05
33,1270,0.0060,8,2026-07-05
34,1990,1.0000,1990,2026-07-05
35,162,,,2026-07-05
36,472,0.6515,308,2026-07-05
37,136,0.0000,0,2026-07-05
38,1489,0.7598,1131,2026-07-05
39,1310,0.9974,1307,2026-07-05
40,845,0.5702,482,2026-07-05
41,1073,0.5373,577,2026-07-05
42,306,0.0000,0,2026-07-05
43,1384,0.5940,822,2026-07-05
44,588,0.9711,571,2026-07-05
45,897,0.4017,360,2026-07-05
46,1541,0.8618,1328,2026-07-05
47,983,0.5567,547,2026-07-05
48,1524,0.9449,1440,2026-07-05
49,747,0.4425,331,2026-07-05
50,1708,0.4308,736,2026-07-05
51,983,0.5179,509,2026-07-05
52,2459,0.0823,202,2026-07-05
53,720,0.8389,604,2026-07-05
54,1805,0.9747,1759,2026-07-05
55,2177,0.0426,93,2026-07-05
56,969,0.0000,0,2026-07-05
57,1553,0.7070,1098,2026-07-05
58,1569,0.5889,924,2026-07-05
59,1074,0.9694,1041,2026-07-05
60,723,0.1200,87,2026-07-05
61,530,0.3478,184,2026-07-05
62,1054,0.6144,648,2026-07-05
63,603,0.8532,514,2026-07-05
64,1082,0.9716,1051,2026-07-05
65,456,0.0000,0,2026-07-05
66,799,0.6502,520,2026-07-05
67,1091,0.3043,332,2026-07-05
68,812,0.2269,184,2026-07-05
69,1372,0.4520,620,2026-07-05
70,562,0.5055,284,2026-07-05
71,632,0.8532,539,2026-07-05
72,538,0.3766,203,2026-07-05
73,1042,0.8496,885,2026-07-05
74,625,0.8037,502,2026-07-05
75,703,0.9432,663,2026-07-05
76,1098,0.3713,408,2026-07-05
77,1632,0.5311,867,2026-07-05
78,2301,0.0000,0,2026-07-05
79,1095,0.6200,679,2026-07-05
80,1199,0.7793,934,2026-07-05
81,1196,0.8000,957,2026-07-05
82,1124,0.9482,1066,2026-07-05
83,882,0.0000,0,2026-07-05
84,855,0.5410,463,2026-07-05
85,1427,0.7646,1091,2026-07-05
86,1091,0.1204,131,2026-07-05
87,1695,0.2466,418,2026-07-05
88,1275,0.5763,735,2026-07-05
89,1129,0.9664,1091,2026-07-05
90,747,0.0080,6,2026-07-05
91,841,0.4651,391,2026-07-05
92,1575,0.0052,8,2026-07-05
93,5,1.0000,5,2026-07-05
94,1828,0.9904,1810,2026-07-05
95,1139,0.9613,1095,2026-07-05
96,555,0.8172,454,2026-07-05
97,212,1.0000,212,2026-07-05
98,426,0.1905,81,2026-07-05
99,182,0.5000,91,2026-07-05
100,10,,,2026-07-05
101,1339,0.3746,502,2026-07-05
102,496,0.9326,463,2026-07-05
103,618,0.3270,202,2026-07-05
104,1642,0.3968,652,2026-07-05
105,42,,,2026-07-05
106,641,0.9941,637,2026-07-05
107,1303,0.7395,964,2026-07-05
108,1250,0.0000,0,2026-07-05
109,1395,0.3988,556,2026-07-05
110,964,0.5116,493,2026-07-05
111,595,0.4595,273,2026-07-05
112,1074,0.0484,52,2026-07-05
113,1195,0.7288,871,2026-07-05
114,980,0.0000,0,2026-07-05
115,1151,0.7677,884,2026-07-05
116,1586,0.0000,0,2026-07-05
117,1563,0.4492,702,2026-07-05
118,1039,0.3116,324,2026-07-05
119,852,0.9904,844,2026-07-05
120,940,0.3702,348,2026-07-05
121,1517,0.4292,651,2026-07-05
122,915,0.4118,377,2026-07-05
123,641,0.9552,612,2026-07-05
124,1246,0.6147,766,2026-07-05
125,2416,0.0302,73,2026-07-05
126,1561,0.5463,853,2026-07-05
127,1270,0.6597,838,2026-07-05
128,371,0.0000,0,2026-07-05
129,1559,1.0000,1559,2026-07-05
130,1585,0.0288,46,2026-07-05
131,674,0.1596,108,2026-07-05
132,1330,0.5990,797,2026-07-05
133,964,0.0000,0,2026-07-05
134,1687,0.3532,596,2026-07-05
135,1802,0.9696,1747,2026-07-05
136,715,0.7547,540,2026-07-05
