precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
101,48,162,792,50,2744,3796,1.26%,4.27%,20.86%,1.32%,72.29%
105,21,93,426,48,1839,2427,0.87%,3.83%,17.55%,1.98%,75.77%
109,6,10,32,5,341,394,1.52%,2.54%,8.12%,1.27%,86.55%
113,24,327,908,61,2606,3926,0.61%,8.33%,23.13%,1.55%,66.38%
202,17,194,720,67,1546,2544,0.67%,7.63%,28.30%,2.63%,60.77%
204,58,434,1395,61,1723,3671,1.58%,11.82%,38.00%,1.66%,46.94%
212,0,17,125,27,816,985,0.00%,1.73%,12.69%,2.74%,82.84%
214,4,14,77,38,979,1112,0.36%,1.26%,6.92%,3.42%,88.04%
215,0,10,9,10,275,304,0.00%,3.29%,2.96%,3.29%,90.46%
303,34,130,598,64,1502,2328,1.46%,5.58%,25.69%,2.75%,64.52%
306,57,57,364,80,2211,2769,2.06%,2.06%,13.15%,2.89%,79.85%
307,7,12,138,19,731,907,0.77%,1.32%,15.21%,2.09%,80.60%
308,5,5,55,33,617,715,0.70%,0.70%,7.69%,4.62%,86.29%
316,3,3,27,5,252,290,1.03%,1.03%,9.31%,1.72%,86.90%
318,34,61,438,105,2093,2731,1.24%,2.23%,16.04%,3.84%,76.64%
410,30,133,639,123,2682,3607,0.83%,3.69%,17.72%,3.41%,74.36%
411,21,151,1068,41,1336,2617,0.80%,5.77%,40.81%,1.57%,51.05%
417,13,68,400,112,2379,2972,0.44%,2.29%,13.46%,3.77%,80.05%
