precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,40,473,138,75,1629,2355,1.70%,20.08%,5.86%,3.18%,69.17%
2,54,365,410,214,6622,7665,0.70%,4.76%,5.35%,2.79%,86.39%
3,1,5,38,7,784,835,0.12%,0.60%,4.55%,0.84%,93.89%
4,9,7,34,37,1081,1168,0.77%,0.60%,2.91%,3.17%,92.55%
5,5,16,25,11,818,875,0.57%,1.83%,2.86%,1.26%,93.49%
6,95,96,602,263,6991,8047,1.18%,1.19%,7.48%,3.27%,86.88%
7,4,20,27,31,988,1070,0.37%,1.87%,2.52%,2.90%,92.34%
8,5,8,56,41,962,1072,0.47%,0.75%,5.22%,3.82%,89.74%
9,60,591,185,73,3061,3970,1.51%,14.89%,4.66%,1.84%,77.10%
10,25,1394,199,52,1790,3460,0.72%,40.29%,5.75%,1.50%,51.73%
11,5,39,78,100,1390,1612,0.31%,2.42%,4.84%,6.20%,86.23%
12,4,86,57,23,1202,1372,0.29%,6.27%,4.15%,1.68%,87.61%
13,67,57,298,108,3470,4000,1.68%,1.43%,7.45%,2.70%,86.75%
14,10,59,117,85,1555,1826,0.55%,3.23%,6.41%,4.65%,85.16%
15,44,144,218,124,2443,2973,1.48%,4.84%,7.33%,4.17%,82.17%
16,33,53,289,159,3146,3680,0.90%,1.44%,7.85%,4.32%,85.49%
17,10,18,65,53,1474,1620,0.62%,1.11%,4.01%,3.27%,90.99%
18,118,93,426,204,6123,6964,1.69%,1.34%,6.12%,2.93%,87.92%
19,19,35,155,53,1405,1667,1.14%,2.10%,9.30%,3.18%,84.28%
