precinct,registered,ballots_cast,blank
fort-bend:1002,671,,
fort-bend:1010,4396,,
fort-bend:1015,1461,,
fort-bend:1018,2298,,
fort-bend:1021,742,,
fort-bend:1024,1132,,
fort-bend:1068,475,,
fort-bend:1087,1986,,
fort-bend:1097,5138,,
fort-bend:1109,1006,,
fort-bend:1118,6980,,
fort-bend:1120,3124,,
fort-bend:1128,3498,,
fort-bend:1152,1577,,
fort-bend:2016,4060,,
fort-bend:2043,894,,
fort-bend:3004,3729,,
fort-bend:3006,9927,,
fort-bend:3009,3034,,
fort-bend:3014,6459,,
fort-bend:3019,1047,,
fort-bend:3038,5967,,
fort-bend:3053,10,,
fort-bend:3069,458,,
fort-bend:3122,3850,,
fort-bend:3130,5423,,
fort-bend:3133,3901,,
fort-bend:3142,4301,,
fort-bend:3143,6682,,
fort-bend:3144,4308,,
fort-bend:3145,2908,,
fort-bend:3146,6524,,
fort-bend:3148,10042,,
fort-bend:3149,5182,,
fort-bend:3156,2448,,
fort-bend:3159,2904,,
fort-bend:4011,1605,,
fort-bend:4020,3147,,
fort-bend:4027,0,,
fort-bend:4029,1879,,
fort-bend:4042,1109,,
fort-bend:4046,3381,,
fort-bend:4064,1148,,
fort-bend:4107,1988,,
fort-bend:4111,1442,,
fort-bend:4119,3306,,
fort-bend:4129,6892,,
fort-bend:4131,1897,,
fort-bend:4140,3194,,
waller:311,818,,
waller:312,1719,,
waller:313,827,,
waller:418,2964,,
waller:419,829,,
waller:420,1946,,
wharton:101,2452,,
wharton:102,2391,,
wharton:103,2104,,
wharton:201,2763,,
wharton:202,934,,
wharton:203,3126,,
wharton:301,2359,,
wharton:302,2381,,
wharton:303,2082,,
wharton:401,2729,,
wharton:402,1533,,
wharton:403,762,,
