precinct,registered,ballots_cast,blank
1,2066,,
2,5334,,
3,1008,,
4,1779,,
5,1793,,
6,1019,,
7,1763,,
8,1767,,
9,1537,,
10,4017,,
11,3148,,
12,4324,,
13,2363,,
14,2842,,
15,3188,,
16,1412,,
17,3332,,
18,575,,
19,377,,
20,3682,,
21,1477,,
22,425,,
23,83,,
24,2295,,
25,1078,,
26,3410,,
27,3286,,
28,415,,
29,846,,
30,2476,,
31,4677,,
32,2,,
33,1599,,
34,4844,,
35,7197,,
36,4111,,
37,162,,
38,389,,
39,4699,,
40,4950,,
41,4758,,
42,0,,
43,47,,
44,128,,
45,151,,
46,364,,
47,471,,
48,230,,
49,346,,
50,2,,
51,0,,
52,16,,
53,117,,
56,22,,
57,324,,
58,889,,
59,30,,
60,92,,
61,55,,
62,0,,
63,5213,,
64,0,,
65,212,,
67,353,,
68,0,,
69,5156,,
70,1190,,
71,118,,
72,40,,
74,312,,
77,546,,
78,231,,
79,85,,
80,3700,,
81,62,,
82,337,,
83,0,,
84,2,,
85,3,,
86,0,,
87,0,,
88,0,,
89,0,,
90,29,,
91,9,,
92,0,,
93,0,,
94,0,,
95,0,,
96,1,,
97,0,,
98,4,,
99,2,,
100,1,,
101,49,,
102,0,,
103,0,,
104,0,,
