Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
1,1024,852,714,2590,0.3953667954,0.328957529,0.2756756757,Rep,1
2,1271,1778,1573,4622,0.2749891822,0.3846819559,0.340328862,Mod,1
3,293,829,1620,2742,0.1068563093,0.3023340627,0.590809628,Dem,3
4,2123,893,725,3741,0.5674953221,0.2387062283,0.1937984496,Rep,3
5,501,301,187,989,0.5065722952,0.3043478261,0.1890798787,Rep,2
6,311,620,638,1569,0.1982154238,0.3951561504,0.4066284257,Dem,2
7,420,562,486,1468,0.2861035422,0.3828337875,0.3310626703,Mod,1
8,2236,1771,996,5003,0.4469318409,0.3539876074,0.1990805517,Rep,2
9,1183,1395,1009,3587,0.329802063,0.3889043769,0.2812935601,Mod,1
10,812,117,51,980,0.8285714286,0.1193877551,0.0520408163,Rep,3
11,3316,919,387,4622,0.7174383384,0.1988316746,0.083729987,Rep,3
12,955,707,446,2108,0.4530360531,0.3353889943,0.2115749526,Rep,2
13,1780,721,458,2959,0.6015545792,0.2436633998,0.154782021,Rep,3
14,674,1042,1416,3132,0.2151979566,0.3326947637,0.4521072797,Dem,2
15,401,534,594,1529,0.2622629169,0.3492478744,0.3884892086,Dem,1
16,1202,758,486,2446,0.4914145544,0.309893704,0.1986917416,Rep,2
17,1548,1474,990,4012,0.3858424726,0.3673978066,0.2467597208,Rep,1
18,823,151,69,1043,0.7890699904,0.1447746884,0.0661553212,Rep,3
19,616,415,497,1528,0.4031413613,0.2715968586,0.3252617801,Rep,2
20,1298,561,402,2261,0.5740822645,0.2481203008,0.1777974348,Rep,3
21,1430,1165,1582,4177,0.3423509696,0.2789083074,0.378740723,Dem,1
22,3279,783,437,4499,0.7288286286,0.1740386753,0.0971326962,Rep,3
23,322,1022,1867,3211,0.1002802865,0.3182809094,0.5814388041,Dem,3
24,272,554,1059,1885,0.1442970822,0.2938992042,0.5618037135,Dem,3
25,949,1578,1393,3920,0.2420918367,0.4025510204,0.3553571429,Mod,2
26,322,413,466,1201,0.2681099084,0.3438800999,0.3880099917,Dem,1
27,856,1054,706,2616,0.3272171254,0.4029051988,0.2698776758,Mod,2
28,1029,1202,1198,3429,0.3000874891,0.3505395159,0.349372995,Mod,1
29,1811,912,563,3286,0.551125989,0.2775410834,0.1713329276,Rep,3
30,386,347,226,959,0.4025026069,0.361835245,0.2356621481,Rep,2
31,828,565,593,1986,0.416918429,0.2844914401,0.2985901309,Rep,2
32,955,741,687,2383,0.4007553504,0.3109525808,0.2882920688,Rep,2
33,1810,964,721,3495,0.5178826896,0.2758226037,0.2062947067,Rep,2
34,923,1506,1736,4165,0.2216086435,0.3615846339,0.4168067227,Dem,2
35,1274,318,141,1733,0.7351413733,0.1834968263,0.0813618003,Rep,3
36,986,448,473,1907,0.5170424751,0.2349239643,0.2480335606,Rep,2
37,2263,328,107,2698,0.8387694589,0.1215715345,0.0396590067,Rep,3
38,760,1643,1317,3720,0.2043010753,0.4416666667,0.3540322581,Mod,2
39,635,1076,1113,2824,0.2248583569,0.38101983,0.394121813,Dem,1
40,1621,1076,741,3438,0.4714950553,0.3129726585,0.2155322862,Rep,2
41,916,498,409,1823,0.5024684586,0.2731760834,0.224355458,Rep,2
42,1418,525,308,2251,0.6299422479,0.2332296757,0.1368280764,Rep,3
43,723,1367,1139,3229,0.2239083308,0.4233508826,0.3527407866,Mod,2
44,384,702,448,1534,0.2503259452,0.4576271186,0.2920469361,Mod,2
45,1457,1056,764,3277,0.4446139762,0.3222459567,0.2331400671,Rep,2
46,546,1044,1345,2935,0.1860306644,0.3557069847,0.4582623509,Dem,2
47,669,927,876,2472,0.270631068,0.375,0.354368932,Mod,1
48,1052,1216,1279,3547,0.2965886665,0.3428249225,0.3605864111,Dem,1
49,948,643,724,2315,0.4095032397,0.2777537797,0.3127429806,Rep,2
50,415,1185,1451,3051,0.1360209767,0.3883972468,0.4755817765,Dem,2
51,282,591,833,1706,0.1652989449,0.3464243845,0.4882766706,Dem,2
52,646,1677,2110,4433,0.1457252425,0.3782991202,0.4759756373,Dem,2
53,817,658,688,2163,0.377716135,0.3042071197,0.3180767453,Rep,1
54,647,1126,1636,3409,0.1897917278,0.3303021414,0.4799061308,Dem,2
55,798,1185,1729,3712,0.2149784483,0.3192349138,0.4657866379,Dem,2
56,1375,1135,838,3348,0.410692951,0.3390083632,0.2502986858,Rep,2
57,489,584,410,1483,0.3297370196,0.3937963587,0.2764666217,Mod,1
58,862,1127,1417,3406,0.2530827951,0.3308866706,0.4160305344,Dem,2
59,1387,1478,943,3808,0.3642331933,0.3881302521,0.2476365546,Mod,1
60,1539,1012,669,3220,0.4779503106,0.3142857143,0.2077639752,Rep,2
61,682,454,477,1613,0.4228146311,0.2814631122,0.2957222567,Rep,2
