precinct,year,dem_ballots,rep_ballots
43,2024,179,295
43,2022,182,300
44,2026,184,166
44,2024,66,169
44,2022,77,162
45,2026,388,673
45,2024,168,675
45,2022,181,533
46,2026,551,281
46,2024,188,266
46,2022,159,219
47,2026,496,329
47,2024,181,382
47,2022,186,329
48,2026,682,482
48,2024,307,512
48,2022,276,492
49,2026,408,421
49,2024,171,439
49,2022,198,395
50,2026,446,213
50,2024,152,211
50,2022,169,178
51,2026,262,143
51,2024,83,137
51,2022,109,92
52,2026,565,680
52,2024,540,368
52,2022,296,269
53,2026,360,355
53,2024,147,392
53,2022,178,398
54,2026,590,272
54,2024,202,259
54,2022,222,237
55,2026,747,315
55,2024,307,348
55,2022,259,322
56,2026,388,501
56,2024,145,459
56,2022,141,341
57,2026,172,181
57,2024,253,723
57,2022,224,637
58,2026,536,393
58,2024,236,418
58,2022,226,391
59,2026,497,587
59,2024,169,590
59,2022,172,520
60,2026,372,729
60,2024,144,722
60,2022,143,543
61,2026,268,352
61,2024,130,367
61,2022,112,316
62,2026,455,330
62,2024,249,347
62,2022,241,314
63,2026,287,438
63,2024,154,435
63,2022,175,420
64,2026,368,354
64,2024,146,357
64,2022,191,358
65,2026,172,163
65,2024,93,177
65,2022,100,178
66,2026,313,279
66,2024,114,286
66,2022,135,281
67,2026,463,389
67,2024,177,401
67,2022,208,340
68,2026,334,236
68,2024,135,241
68,2022,128,238
69,2026,609,663
69,2024,322,712
69,2022,317,673
70,2026,285,323
70,2024,136,339
70,2022,148,321
71,2026,316,290
71,2024,121,261
71,2022,168,284
72,2026,235,285
72,2024,108,289
72,2022,100,256
73,2026,297,145
73,2024,126,146
73,2022,159,131
74,2026,256,276
74,2024,138,297
74,2022,166,260
75,2026,302,375
75,2024,133,449
75,2022,138,396
76,2026,490,563
76,2024,192,544
76,2022,211,566
77,2026,569,417
77,2024,224,415
77,2022,288,379
78,2026,761,432
78,2024,308,462
78,2022,304,401
79,2026,340,302
79,2024,161,303
79,2022,178,280
80,2026,497,489
80,2024,209,483
80,2022,224,381
81,2026,466,344
81,2024,188,355
81,2022,228,312
82,2026,414,310
82,2024,137,301
82,2022,180,290
83,2026,440,724
83,2024,167,663
83,2022,178,515
84,2026,377,385
84,2024,161,320
84,2022,182,300
85,2026,591,361
85,2024,237,355
85,2022,275,340
86,2026,444,479
86,2024,178,527
