precinct,registered,ballots_cast,blank
1,842,320,0
2,374,235,0
3,1639,411,2
4,1785,964,1
1A,2395,942,0
1M,2391,1079,0
1T,2206,1180,0
2E,2598,1206,0
2M,767,288,0
3B,2954,1643,0
3C,2108,1170,0
3M,1664,849,0
3N,1213,666,0
4A,1113,342,0
4B,1826,826,0
4W,1153,610,0
1CR,2177,1164,0
1MN,1521,720,0
1TC,2939,1399,0
3CS,1931,1135,0
3NW,769,419,0
3WS,1543,695,0
4LP,3058,1473,0
4MS,1215,610,0
4SE,3557,2079,0
2GBN,2855,1243,0
2GBS,2629,995,0
2PSN,2524,1083,0
2PSS,2974,1432,1
4NLP,1605,946,0
