precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
fort-bend:3144,2366,392,1346,132,3425,7661,30.88%,5.12%,17.57%,1.72%,44.71%
fort-bend:3145,1391,653,1407,83,2213,5747,24.20%,11.36%,24.48%,1.44%,38.51%
fort-bend:3146,4104,1231,2741,155,4847,13078,31.38%,9.41%,20.96%,1.19%,37.06%
fort-bend:3148,3273,2445,4407,261,9052,19438,16.84%,12.58%,22.67%,1.34%,46.57%
fort-bend:3149,222,333,707,166,5185,6613,3.36%,5.04%,10.69%,2.51%,78.41%
fort-bend:3156,293,169,420,100,2270,3252,9.01%,5.20%,12.92%,3.08%,69.80%
fort-bend:3159,2667,673,1311,69,1956,6676,39.95%,10.08%,19.64%,1.03%,29.30%
fort-bend:4011,636,137,257,14,1010,2054,30.96%,6.67%,12.51%,0.68%,49.17%
fort-bend:4020,676,302,1026,59,2269,4332,15.60%,6.97%,23.68%,1.36%,52.38%
fort-bend:4027,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
fort-bend:4029,260,134,434,30,1522,2380,10.92%,5.63%,18.24%,1.26%,63.95%
fort-bend:4042,224,95,149,31,927,1426,15.71%,6.66%,10.45%,2.17%,65.01%
fort-bend:4046,1731,506,750,0,1787,4771,36.28%,10.61%,15.72%,0.00%,37.46%
fort-bend:4064,506,121,388,14,756,1785,28.35%,6.78%,21.74%,0.78%,42.35%
fort-bend:4107,881,112,172,26,1164,2355,37.41%,4.76%,7.30%,1.10%,49.43%
fort-bend:4111,583,239,378,22,901,2123,27.46%,11.26%,17.80%,1.04%,42.44%
fort-bend:4119,1521,124,293,48,1996,3982,38.20%,3.11%,7.36%,1.21%,50.13%
fort-bend:4129,7614,922,858,61,2913,12368,61.56%,7.45%,6.94%,0.49%,23.55%
fort-bend:4131,800,271,386,20,1090,2567,31.16%,10.56%,15.04%,0.78%,42.46%
fort-bend:4140,1491,398,452,47,1782,4170,35.76%,9.54%,10.84%,1.13%,42.73%
harris:95,775,1186,1174,48,3030,6213,12.47%,19.09%,18.90%,0.77%,48.77%
harris:116,447,54,428,69,3231,4229,10.57%,1.28%,10.12%,1.63%,76.40%
harris:119,429,853,4141,169,4958,10550,4.07%,8.09%,39.25%,1.60%,47.00%
harris:121,22,267,1587,23,837,2736,0.80%,9.76%,58.00%,0.84%,30.59%
harris:129,984,1479,2236,68,5109,9876,9.96%,14.98%,22.64%,0.69%,51.73%
harris:130,341,228,449,0,2075,3092,11.03%,7.37%,14.52%,0.00%,67.11%
harris:135,533,390,662,116,3395,5096,10.46%,7.65%,12.99%,2.28%,66.62%
harris:165,291,315,2727,33,1928,5294,5.50%,5.95%,51.51%,0.62%,36.42%
harris:178,356,222,342,10,2003,2933,12.14%,7.57%,11.66%,0.34%,68.29%
harris:217,467,141,447,46,2572,3673,12.71%,3.84%,12.17%,1.25%,70.02%
harris:227,174,24,171,7,1763,2139,8.13%,1.12%,7.99%,0.33%,82.42%
harris:234,568,328,735,61,4209,5901,9.63%,5.56%,12.46%,1.03%,71.33%
harris:262,732,751,9068,0,2953,13486,5.43%,5.57%,67.24%,0.00%,21.90%
harris:269,201,162,333,48,2243,2987,6.73%,5.42%,11.15%,1.61%,75.09%
harris:274,381,302,676,37,2308,3704,10.29%,8.15%,18.25%,1.00%,62.31%
harris:303,442,216,453,86,3652,4849,9.12%,4.45%,9.34%,1.77%,75.31%
harris:310,249,199,970,10,1193,2621,9.50%,7.59%,37.01%,0.38%,45.52%
harris:312,2065,2124,2881,0,3546,10599,19.48%,20.04%,27.18%,0.00%,33.46%
harris:356,531,1386,2162,14,2668,6761,7.85%,20.50%,31.98%,0.21%,39.46%
harris:362,682,598,2191,131,4532,8134,8.38%,7.35%,26.94%,1.61%,55.72%
harris:385,337,57,246,36,2020,2696,12.50%,2.11%,9.12%,1.34%,74.93%
harris:395,194,160,392,32,1644,2422,8.01%,6.61%,16.18%,1.32%,67.88%
harris:400,1925,633,1153,58,2506,6275,30.68%,10.09%,18.37%,0.92%,39.94%
harris:428,4167,2837,3866,0,663,11489,36.27%,24.69%,33.65%,0.00%,5.77%
harris:434,279,258,441,24,1379,2381,11.72%,10.84%,18.52%,1.01%,57.92%
harris:435,606,296,747,73,3330,5052,12.00%,5.86%,14.79%,1.44%,65.91%
harris:436,1130,741,1234,122,3788,7015,16.11%,10.56%,17.59%,1.74%,54.00%
harris:437,446,544,833,31,2413,4267,10.45%,12.75%,19.52%,0.73%,56.55%
harris:438,497,555,1040,81,3859,6032,8.24%,9.20%,17.24%,1.34%,63.98%
harris:443,79,25,90,12,610,816,9.68%,3.06%,11.03%,1.47%,74.75%
harris:444,504,418,4183,20,2251,7376,6.83%,5.67%,56.71%,0.27%,30.52%
harris:445,314,414,2808,9,1501,5046,6.22%,8.20%,55.65%,0.18%,29.75%
harris:461,1890,949,1245,95,3785,7964,23.73%,11.92%,15.63%,1.19%,47.53%
harris:488,670,1016,2902,0,424,4962,13.50%,20.48%,58.48%,0.00%,8.54%
harris:491,1035,763,1112,76,2793,5779,17.91%,13.20%,19.24%,1.32%,48.33%
harris:492,378,2123,1670,0,1778,5873,6.44%,36.15%,28.44%,0.00%,30.27%
harris:504,254,118,535,61,2035,3003,8.46%,3.93%,17.82%,2.03%,67.77%
