Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
2,466,13,166,645,0.7224806202,0.0201550388,0.2573643411,Rep,3
3,361,13,370,744,0.4852150538,0.0174731183,0.4973118280,Dem,1
4,1126,14,316,1456,0.7733516484,0.0096153846,0.2170329670,Rep,3
5,347,3,45,395,0.8784810127,0.0075949367,0.1139240506,Rep,3
6,246,1,45,292,0.8424657534,0.0034246575,0.1541095890,Rep,3
7,341,3,56,400,0.8525000000,0.0075000000,0.1400000000,Rep,3
8,198,1,31,230,0.8608695652,0.0043478261,0.1347826087,Rep,3
9,273,6,76,355,0.7690140845,0.0169014085,0.2140845070,Rep,3
10,940,15,288,1243,0.7562349155,0.0120675784,0.2316975060,Rep,3
12,505,5,64,574,0.8797909408,0.0087108014,0.1114982578,Rep,3
13,1523,17,250,1790,0.8508379888,0.0094972067,0.1396648045,Rep,3
14,716,8,81,805,0.8894409938,0.0099378882,0.1006211180,Rep,3
15,247,2,34,283,0.8727915194,0.0070671378,0.1201413428,Rep,3
16,180,2,37,219,0.8219178082,0.0091324201,0.1689497717,Rep,3
18,121,1,9,131,0.9236641221,0.0076335878,0.0687022901,Rep,3
19,235,2,46,283,0.8303886926,0.0070671378,0.1625441696,Rep,3
20,650,10,93,753,0.8632138114,0.0132802125,0.1235059761,Rep,3
21,1066,8,184,1258,0.8473767886,0.0063593005,0.1462639110,Rep,3
22,922,14,180,1116,0.8261648746,0.0125448029,0.1612903226,Rep,3
23,259,4,60,323,0.8018575851,0.0123839009,0.1857585139,Rep,3
24,585,6,153,744,0.7862903226,0.0080645161,0.2056451613,Rep,3
27,488,2,70,560,0.8714285714,0.0035714286,0.1250000000,Rep,3
