precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,20,75,880,47,1333,2355,0.85%,3.18%,37.37%,2.00%,56.60%
2,1,1,53,8,105,168,0.60%,0.60%,31.55%,4.76%,62.50%
3,24,55,799,48,1301,2227,1.08%,2.47%,35.88%,2.16%,58.42%
4,3,28,368,1,385,784,0.38%,3.57%,46.94%,0.13%,49.11%
5,2,1,35,5,181,224,0.89%,0.45%,15.62%,2.23%,80.80%
6,0,1,39,8,132,180,0.00%,0.56%,21.67%,4.44%,73.33%
7,2,49,422,19,825,1317,0.15%,3.72%,32.04%,1.44%,62.64%
8,6,24,223,20,706,979,0.61%,2.45%,22.78%,2.04%,72.11%
9,6,16,447,3,691,1163,0.52%,1.38%,38.44%,0.26%,59.42%
10,1,2,88,9,403,503,0.20%,0.40%,17.50%,1.79%,80.12%
