precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,27,39,574,92,2109,2841,0.95%,1.37%,20.20%,3.24%,74.23%
2,87,129,1717,111,3618,5662,1.54%,2.28%,30.32%,1.96%,63.90%
3,11,10,130,31,945,1127,0.98%,0.89%,11.54%,2.75%,83.85%
4,0,3,46,14,349,412,0.00%,0.73%,11.17%,3.40%,84.71%
5,16,40,638,146,2279,3119,0.51%,1.28%,20.46%,4.68%,73.07%
6,42,135,884,124,2371,3556,1.18%,3.80%,24.86%,3.49%,66.68%
7,44,46,490,73,1652,2305,1.91%,2.00%,21.26%,3.17%,71.67%
8,33,49,459,129,2645,3315,1.00%,1.48%,13.85%,3.89%,79.79%
9,33,46,323,139,2744,3285,1.00%,1.40%,9.83%,4.23%,83.53%
10,4,6,121,24,657,812,0.49%,0.74%,14.90%,2.96%,80.91%
11,4,9,119,30,795,957,0.42%,0.94%,12.43%,3.13%,83.07%
12,13,34,414,78,2124,2663,0.49%,1.28%,15.55%,2.93%,79.76%
13,29,25,895,80,1305,2334,1.24%,1.07%,38.35%,3.43%,55.91%
14,34,63,1569,87,2197,3950,0.86%,1.59%,39.72%,2.20%,55.62%
15,13,26,182,45,1482,1748,0.74%,1.49%,10.41%,2.57%,84.78%
16,30,41,478,153,2983,3685,0.81%,1.11%,12.97%,4.15%,80.95%
17,17,52,493,194,3663,4419,0.38%,1.18%,11.16%,4.39%,82.89%
18,14,156,917,37,1139,2263,0.62%,6.89%,40.52%,1.63%,50.33%
19,3,8,88,24,584,707,0.42%,1.13%,12.45%,3.39%,82.60%
20,7,23,181,77,1487,1775,0.39%,1.30%,10.20%,4.34%,83.77%
22,11,22,239,49,1333,1654,0.67%,1.33%,14.45%,2.96%,80.59%
23,14,45,463,180,2524,3226,0.43%,1.39%,14.35%,5.58%,78.24%
24,107,186,1423,271,4340,6327,1.69%,2.94%,22.49%,4.28%,68.59%
25,1,1,4,3,122,131,0.76%,0.76%,3.05%,2.29%,93.13%
27,50,67,847,347,5048,6359,0.79%,1.05%,13.32%,5.46%,79.38%
