precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,26,546,345,134,3275,4326,0.60%,12.62%,7.98%,3.10%,75.71%
2,29,606,1704,206,4558,7103,0.41%,8.53%,23.99%,2.90%,64.17%
3,5,190,55,22,833,1105,0.45%,17.19%,4.98%,1.99%,75.38%
4,15,39,87,30,908,1079,1.39%,3.61%,8.06%,2.78%,84.15%
5,23,105,1581,144,2314,4167,0.55%,2.52%,37.94%,3.46%,55.53%
6,14,220,108,103,2030,2475,0.57%,8.89%,4.36%,4.16%,82.02%
7,22,364,120,79,1961,2546,0.86%,14.30%,4.71%,3.10%,77.02%
8,25,153,125,51,1297,1651,1.51%,9.27%,7.57%,3.09%,78.56%
9,2,6,61,9,628,706,0.28%,0.85%,8.64%,1.27%,88.95%
10,8,19,524,17,682,1250,0.64%,1.52%,41.92%,1.36%,54.56%
11,7,164,112,27,684,994,0.70%,16.50%,11.27%,2.72%,68.81%
