precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,0,36,4,6,84,130,0.00%,27.69%,3.08%,4.62%,64.62%
2,8,300,62,21,606,997,0.80%,30.09%,6.22%,2.11%,60.78%
3,19,617,129,29,780,1574,1.21%,39.20%,8.20%,1.84%,49.56%
4,17,541,169,23,730,1480,1.15%,36.55%,11.42%,1.55%,49.32%
5,8,44,78,75,1350,1555,0.51%,2.83%,5.02%,4.82%,86.82%
7,4,24,25,22,308,383,1.04%,6.27%,6.53%,5.74%,80.42%
9,1,10,23,12,347,393,0.25%,2.54%,5.85%,3.05%,88.30%
10,1,6,16,4,278,305,0.33%,1.97%,5.25%,1.31%,91.15%
11,0,5,7,6,187,205,0.00%,2.44%,3.41%,2.93%,91.22%
13,5,88,43,34,1042,1212,0.41%,7.26%,3.55%,2.81%,85.97%
14,3,10,15,13,264,305,0.98%,3.28%,4.92%,4.26%,86.56%
17,3,13,17,15,242,290,1.03%,4.48%,5.86%,5.17%,83.45%
18,4,11,9,16,220,260,1.54%,4.23%,3.46%,6.15%,84.62%
19,3,15,33,11,470,532,0.56%,2.82%,6.20%,2.07%,88.35%
20,3,49,38,0,123,211,1.42%,23.22%,18.01%,0.00%,58.29%
21,0,31,4,11,143,189,0.00%,16.40%,2.12%,5.82%,75.66%
24,1,12,16,6,185,220,0.45%,5.45%,7.27%,2.73%,84.09%
27,10,17,19,9,475,530,1.89%,3.21%,3.58%,1.70%,89.62%
28,5,42,34,9,187,277,1.81%,15.16%,12.27%,3.25%,67.51%
29,0,10,9,1,149,169,0.00%,5.92%,5.33%,0.59%,88.17%
30,2,14,12,3,178,209,0.96%,6.70%,5.74%,1.44%,85.17%
31,0,0,4,6,151,161,0.00%,0.00%,2.48%,3.73%,93.79%
