COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Harper Weaver,Nancy C. Humphrey,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,1,PCT 001,2645,717,0,0,0,0,0,Harper Weaver,Harper
COLLI,2,PCT 002,4804,609,0,0,0,0,0,Harper Weaver,Harper
COLLI,3,PCT 003,2814,274,0,0,0,0,0,Harper Weaver,Harper
COLLI,4,PCT 004,3879,314,0,0,0,0,0,Harper Weaver,Harper
COLLI,5,PCT 005,1006,64,0,0,0,0,0,Harper Weaver,Harper
COLLI,6,PCT 006,1614,58,0,0,0,0,0,Harper Weaver,Harper
COLLI,7,PCT 007,1505,57,0,0,0,0,0,Harper Weaver,Harper
COLLI,8,PCT 008,5251,32,0,0,0,0,0,Harper Weaver,Harper
COLLI,9,PCT 009,3777,32,0,0,0,0,0,Harper Weaver,Harper
COLLI,10,PCT 010,872,33,0,0,0,0,0,Harper Weaver,Harper
COLLI,11,PCT 011,4758,46,0,0,0,0,0,Harper Weaver,Harper
COLLI,12,PCT 012,2154,434,0,0,0,0,0,Harper Weaver,Harper
COLLI,13,PCT 013,3107,200,0,0,0,0,0,Harper Weaver,Harper
COLLI,14,PCT 014,3240,238,0,0,0,0,0,Harper Weaver,Harper
COLLI,15,PCT 015,1574,164,0,52,76,0,36,Nancy C. Humphrey,Nancy
COLLI,16,PCT 016,2548,274,0,0,0,0,0,Harper Weaver,Harper
COLLI,17,PCT 017,4191,253,0,0,0,0,0,Harper Weaver,Harper
COLLI,18,PCT 018,991,32,0,0,0,0,0,Harper Weaver,Harper
COLLI,19,PCT 019,1567,235,0,64,132,0,39,Nancy C. Humphrey,Nancy
COLLI,20,PCT 020,2395,190,0,0,0,0,0,Harper Weaver,Harper
COLLI,21,PCT 021,4259,606,0,162,366,0,78,Nancy C. Humphrey,Nancy
COLLI,22,PCT 022,4651,807,0,0,0,0,0,Harper Weaver,Harper
COLLI,23,PCT 023,3381,146,0,24,93,0,29,Nancy C. Humphrey,Nancy
COLLI,24,PCT 024,1955,108,0,24,55,0,29,Nancy C. Humphrey,Nancy
COLLI,25,PCT 025,4058,904,0,183,503,0,218,Nancy C. Humphrey,Nancy
COLLI,26,PCT 026,1241,96,0,23,63,0,10,Nancy C. Humphrey,Nancy
COLLI,27,PCT 027,2693,182,0,0,0,0,0,Harper Weaver,Harper
COLLI,28,PCT 028,3495,361,0,91,215,0,55,Nancy C. Humphrey,Nancy
COLLI,29,PCT 029,3425,348,0,0,0,0,0,Harper Weaver,Harper
COLLI,30,PCT 030,988,160,0,0,0,0,0,Harper Weaver,Harper
COLLI,31,PCT 031,2015,350,0,104,193,0,53,Nancy C. Humphrey,Nancy
COLLI,32,PCT 032,2414,345,0,87,200,0,58,Nancy C. Humphrey,Nancy
COLLI,33,PCT 033,3653,166,0,0,0,0,0,Harper Weaver,Harper
COLLI,34,PCT 034,4258,593,0,105,388,0,100,Nancy C. Humphrey,Nancy
COLLI,35,PCT 035,1782,46,0,0,0,0,0,Harper Weaver,Harper
COLLI,36,PCT 036,1946,356,0,75,154,0,127,Nancy C. Humphrey,Nancy
COLLI,37,PCT 037,2768,357,0,0,0,0,0,Harper Weaver,Harper
COLLI,38,PCT 038,3922,225,0,0,0,0,0,Harper Weaver,Harper
COLLI,39,PCT 039,2890,266,0,71,161,0,34,Nancy C. Humphrey,Nancy
COLLI,40,PCT 040,3503,192,0,0,0,0,0,Harper Weaver,Harper
