COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Jonathan Cocks,LIB Edward Kless,REP Angela Paxton,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,52,PCT 052,4417,1789,0,1027,39,671,0,52,DEM Jonathan Cocks,DEM
COLL,53,PCT 053,2230,1413,0,644,48,673,0,48,REP Angela Paxton,REP
COLL,54,PCT 054,3547,1585,1,898,50,583,0,54,DEM Jonathan Cocks,DEM
COLL,55,PCT 055,4130,2101,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,56,PCT 056,3326,1711,0,618,42,985,0,66,REP Angela Paxton,REP
COLL,57,PCT 057,1514,746,0,312,21,391,0,21,REP Angela Paxton,REP
COLL,58,PCT 058,3704,1844,3,961,46,774,0,63,DEM Jonathan Cocks,DEM
COLL,59,PCT 059,4025,2078,0,829,66,1131,0,52,REP Angela Paxton,REP
COLL,60,PCT 060,2967,1792,0,610,51,1067,0,64,REP Angela Paxton,REP
COLL,61,PCT 061,1662,994,0,413,26,529,0,26,REP Angela Paxton,REP
COLL,62,PCT 062,2543,1385,1,740,51,548,0,47,DEM Jonathan Cocks,DEM
COLL,63,PCT 063,2039,1365,1,586,45,690,0,44,REP Angela Paxton,REP
COLL,64,PCT 064,2711,1446,0,736,47,613,0,50,DEM Jonathan Cocks,DEM
COLL,65,PCT 065,1265,721,0,340,17,343,0,21,REP Angela Paxton,REP
COLL,66,PCT 066,2193,1197,0,574,50,534,0,39,DEM Jonathan Cocks,DEM
COLL,67,PCT 067,2878,1486,0,727,40,667,0,52,DEM Jonathan Cocks,DEM
COLL,68,PCT 068,2014,930,1,445,40,415,0,30,DEM Jonathan Cocks,DEM
COLL,69,PCT 069,3793,2297,0,1040,74,1105,0,78,REP Angela Paxton,REP
COLL,70,PCT 070,1916,1156,0,496,33,595,0,32,REP Angela Paxton,REP
COLL,71,PCT 071,1815,1111,0,533,25,510,0,43,DEM Jonathan Cocks,DEM
COLL,72,PCT 072,1562,919,0,405,31,455,0,28,REP Angela Paxton,REP
COLL,73,PCT 073,1999,906,3,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,74,PCT 074,1930,1069,3,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,75,PCT 075,2308,1334,0,518,31,734,0,51,REP Angela Paxton,REP
COLL,76,PCT 076,3323,1952,1,817,54,1004,0,77,REP Angela Paxton,REP
COLL,77,PCT 077,3696,1842,0,1003,47,741,0,50,DEM Jonathan Cocks,DEM
COLL,78,PCT 078,4724,2246,1,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,79,PCT 079,2787,1325,9,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,80,PCT 080,3640,1854,0,857,56,889,0,52,REP Angela Paxton,REP
COLL,81,PCT 081,2865,1535,1,787,54,631,0,63,DEM Jonathan Cocks,DEM
COLL,82,PCT 082,2983,1390,0,682,48,630,0,30,DEM Jonathan Cocks,DEM
COLL,83,PCT 083,4036,2063,0,636,56,1306,0,65,REP Angela Paxton,REP
COLL,84,PCT 084,2439,1317,9,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,85,PCT 085,3209,1679,0,936,32,658,0,52,DEM Jonathan Cocks,DEM
COLL,86,PCT 086,2972,1728,0,788,50,833,0,57,REP Angela Paxton,REP
COLL,87,PCT 087,3017,1462,0,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,88,PCT 088,2051,697,7,0,0,0,0,0,DEM Jonathan Cocks,DEM
COLL,89,PCT 089,3232,1783,0,856,41,840,0,46,DEM Jonathan Cocks,DEM
