COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Debby Gowen,Eusebio (Joe) Trujillo III,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,66,PCT 066,2197,1497,0,0,0,0,0,pct_int,pct_int,66
COLL,67,PCT 067,3003,1995,1,0,0,0,0,pct_int,pct_int,67
COLL,68,PCT 068,2042,1285,1,0,0,0,0,pct_int,pct_int,68
COLL,69,PCT 069,3878,2831,0,0,0,0,0,pct_int,pct_int,69
COLL,70,PCT 070,1912,1416,0,0,0,0,0,pct_int,pct_int,70
COLL,71,PCT 071,1812,1314,0,0,0,0,0,pct_int,pct_int,71
COLL,72,PCT 072,1732,1249,2,0,0,0,0,pct_int,pct_int,72
COLL,73,PCT 073,1936,1122,6,0,0,0,0,pct_int,pct_int,73
COLL,74,PCT 074,1988,1373,9,0,0,0,0,pct_int,pct_int,74
COLL,75,PCT 075,2381,1701,0,0,0,0,0,pct_int,pct_int,75
COLL,76,PCT 076,3331,2363,4,0,0,0,0,pct_int,pct_int,76
COLL,77,PCT 077,3677,2432,0,0,0,0,0,pct_int,pct_int,76
COLL,78,PCT 078,4899,3053,2,0,0,0,0,pct_int,pct_int,78
COLL,79,PCT 079,2773,1660,17,0,0,0,0,pct_int,pct_int,79
COLL,80,PCT 080,3657,2509,0,0,0,0,0,pct_int,pct_int,80
COLL,81,PCT 081,2973,2031,1,0,0,0,0,pct_int,pct_int,81
COLL,82,PCT 082,3005,1870,0,0,0,0,0,pct_int,pct_int,82
COLL,83,PCT 083,4265,2914,1,0,0,0,0,pct_int,pct_int,83
COLL,84,PCT 084,2541,1705,11,0,0,0,0,pct_int,pct_int,84
COLL,85,PCT 085,3423,2301,1,0,0,0,0,pct_int,pct_int,85
COLL,86,PCT 086,3050,2194,0,0,0,0,0,pct_int,pct_int,86
COLL,87,PCT 087,3486,2531,0,0,0,0,0,pct_int,pct_int,87
COLL,88,PCT 088,1661,726,7,0,0,0,0,pct_int,pct_int,88
COLL,89,PCT 089,3267,2264,0,0,0,0,0,pct_int,pct_int,89
COLL,90,PCT 090,3268,2400,0,0,0,0,0,pct_int,pct_int,90
COLL,91,PCT 091,2325,1659,1,0,0,0,0,pct_int,pct_int,91
COLL,92,PCT 092,4619,2877,0,0,0,0,0,pct_int,pct_int,92
COLL,93,PCT 093,297,222,1,0,0,0,0,pct_int,pct_int,93
COLL,94,PCT 094,4318,3088,0,0,0,0,0,pct_int,pct_int,94
COLL,95,PCT 095,3171,2237,0,0,0,0,0,pct_int,pct_int,95
COLL,96,PCT 096,1509,782,0,0,0,0,0,pct_int,pct_int,96
COLL,97,PCT 097,1344,1070,0,0,0,0,0,pct_int,pct_int,97
COLL,98,PCT 098,1618,1019,0,0,0,0,0,pct_int,pct_int,98
COLL,99,PCT 099,403,257,0,0,0,0,0,pct_int,pct_int,99
COLL,100,PCT 100,1545,1024,0,0,1,0,0,pct_int,pct_int,2
COLL,101,PCT 101,4300,2865,0,0,0,0,0,pct_int,pct_int,101
COLL,102,PCT 102,2555,1957,0,0,0,0,0,pct_int,pct_int,102
COLL,103,PCT 103,1419,810,0,0,0,0,0,pct_int,pct_int,103
COLL,104,PCT 104,2426,1167,4,0,0,0,0,pct_int,pct_int,104
COLL,105,PCT 105,173,115,0,0,0,0,0,pct_int,pct_int,105
COLL,106,PCT 106,1869,1255,1,0,0,0,0,pct_int,pct_int,106
COLL,107,PCT 107,3373,2417,0,0,0,0,0,pct_int,pct_int,107
COLL,108,PCT 108,2997,2047,1,0,0,0,0,pct_int,pct_int,108
COLL,109,PCT 109,4859,3312,0,0,0,0,0,pct_int,pct_int,109
COLL,110,PCT 110,2816,1947,1,0,0,0,0,pct_int,pct_int,110
COLL,111,PCT 111,3096,2183,0,0,0,0,0,pct_int,pct_int,111
COLL,112,PCT 112,3166,2322,0,0,0,0,0,pct_int,pct_int,112
COLL,113,PCT 113,3351,2087,0,0,0,0,0,pct_int,pct_int,113
COLL,114,PCT 114,4252,3062,0,167,177,0,63,Eusebio (Joe) Trujillo III,Eusebio,114
COLL,115,PCT 115,2995,2123,15,0,0,0,0,pct_int,pct_int,115
COLL,116,PCT 116,5006,3553,1,0,0,0,0,pct_int,pct_int,116
COLL,117,PCT 117,4426,2934,2,0,0,0,0,pct_int,pct_int,117
COLL,118,PCT 118,4297,2996,0,0,0,0,0,pct_int,pct_int,118
COLL,119,PCT 119,2398,1696,2,0,0,0,0,pct_int,pct_int,119
COLL,120,PCT 120,3653,2693,0,0,0,0,0,pct_int,pct_int,120
COLL,121,PCT 121,2892,1952,1,0,0,0,0,pct_int,pct_int,121
COLL,122,PCT 122,4972,3708,1,0,0,0,0,pct_int,pct_int,122
COLL,123,PCT 123,2078,1458,0,0,0,0,0,pct_int,pct_int,123
COLL,124,PCT 124,3288,2171,1,0,0,0,0,pct_int,pct_int,124
COLL,125,PCT 125,2250,1532,0,0,0,0,0,pct_int,pct_int,53
COLL,126,PCT 126,4969,3443,0,0,0,0,0,pct_int,pct_int,126
COLL,127,PCT 127,3929,2671,1,0,0,0,0,pct_int,pct_int,127
