COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Lindsey Wynne,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,1148,0,778,Rep Lindsey Wynne,Rep
COLL,2,PCT 002,4987,2989,0,1681,0,1308,Rep Lindsey Wynne,Rep
COLL,3,PCT 003,2976,1371,2,562,0,809,Rep Lindsey Wynne,Rep
COLL,4,PCT 004,3793,2858,2,1978,0,880,Rep Lindsey Wynne,Rep
COLL,5,PCT 005,1043,733,3,485,0,248,Rep Lindsey Wynne,Rep
COLL,6,PCT 006,1650,1109,0,622,0,487,Rep Lindsey Wynne,Rep
COLL,7,PCT 007,1580,1035,0,579,0,456,Rep Lindsey Wynne,Rep
COLL,8,PCT 008,4685,3105,0,2008,0,1096,Rep Lindsey Wynne,Rep
COLL,9,PCT 009,3563,2363,1,1478,0,885,Rep Lindsey Wynne,Rep
COLL,10,PCT 010,997,715,0,567,0,148,Rep Lindsey Wynne,Rep
COLL,11,PCT 011,4854,3314,1,2526,0,787,Rep Lindsey Wynne,Rep
COLL,12,PCT 012,2195,1618,0,1068,0,550,Rep Lindsey Wynne,Rep
COLL,13,PCT 013,2981,2319,0,1710,0,609,Rep Lindsey Wynne,Rep
COLL,14,PCT 014,3407,2279,0,1210,0,1069,Rep Lindsey Wynne,Rep
COLL,15,PCT 015,1670,981,3,509,0,472,Rep Lindsey Wynne,Rep
COLL,16,PCT 016,2517,1840,0,1256,0,583,Rep Lindsey Wynne,Rep
COLL,17,PCT 017,4072,2717,0,1797,0,921,Rep Lindsey Wynne,Rep
COLL,18,PCT 018,1088,731,0,566,0,165,Rep Lindsey Wynne,Rep
COLL,19,PCT 019,1611,1208,0,680,0,528,Rep Lindsey Wynne,Rep
COLL,20,PCT 020,2184,1684,2,1177,0,507,Rep Lindsey Wynne,Rep
COLL,21,PCT 021,4375,3105,2,1679,0,1426,Rep Lindsey Wynne,Rep
COLL,22,PCT 022,4553,3315,0,2553,0,763,Rep Lindsey Wynne,Rep
COLL,23,PCT 023,3580,1874,3,757,0,1117,Rep Lindsey Wynne,Rep
COLL,24,PCT 024,2229,1201,11,533,0,668,Rep Lindsey Wynne,Rep
COLL,25,PCT 025,4119,2900,1,1571,0,1329,Rep Lindsey Wynne,Rep
COLL,26,PCT 026,1280,739,0,418,0,321,Rep Lindsey Wynne,Rep
COLL,27,PCT 027,2812,1880,0,1159,0,721,Rep Lindsey Wynne,Rep
COLL,28,PCT 028,3641,2445,0,1342,0,1103,Rep Lindsey Wynne,Rep
COLL,29,PCT 029,3332,2504,1,1771,0,732,Rep Lindsey Wynne,Rep
COLL,30,PCT 030,1024,704,0,433,0,271,Rep Lindsey Wynne,Rep
COLL,31,PCT 031,2067,1577,0,940,0,637,Rep Lindsey Wynne,Rep
COLL,32,PCT 032,2504,1865,0,1083,0,782,Rep Lindsey Wynne,Rep
COLL,33,PCT 033,3396,2414,1,1661,0,754,Rep Lindsey Wynne,Rep
