COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Holly Taylor,Rep David J. Schenck,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,1,PCT 001,2782,1926,0,770,1051,0,105,Rep David J. Schenck,Rep,1
COLL,2,PCT 002,4987,2989,0,1315,1488,0,186,Rep David J. Schenck,Rep,2
COLL,3,PCT 003,2976,1371,2,798,449,0,124,Dem Holly Taylor,Dem,103
COLL,4,PCT 004,3793,2858,2,869,1845,0,144,Rep David J. Schenck,Rep,4
COLL,5,PCT 005,1043,733,3,218,465,0,50,Rep David J. Schenck,Rep,5
COLL,6,PCT 006,1650,1109,0,547,502,0,60,Dem Holly Taylor,Dem,6
COLL,7,PCT 007,1580,1035,0,419,539,0,77,Rep David J. Schenck,Rep,7
COLL,8,PCT 008,4685,3105,0,1021,1888,0,196,Rep David J. Schenck,Rep,6
COLL,9,PCT 009,3563,2363,1,922,1306,0,135,Rep David J. Schenck,Rep,7
COLL,10,PCT 010,997,715,0,98,581,0,36,Rep David J. Schenck,Rep,208
COLL,11,PCT 011,4854,3314,1,658,2477,0,179,Rep David J. Schenck,Rep,11
COLL,12,PCT 012,2195,1618,0,533,1005,0,80,Rep David J. Schenck,Rep,12
COLL,13,PCT 013,2981,2319,0,625,1621,0,73,Rep David J. Schenck,Rep,12
COLL,14,PCT 014,3407,2279,0,1120,1017,0,142,Dem Holly Taylor,Dem,14
COLL,15,PCT 015,1670,981,3,464,446,0,71,Dem Holly Taylor,Dem,15
COLL,16,PCT 016,2517,1840,0,578,1168,0,93,Rep David J. Schenck,Rep,7
COLL,17,PCT 017,4072,2717,0,955,1634,0,129,Rep David J. Schenck,Rep,12
COLL,18,PCT 018,1088,731,0,129,571,0,31,Rep David J. Schenck,Rep,206
COLL,19,PCT 019,1611,1208,0,503,648,0,57,Rep David J. Schenck,Rep,19
COLL,20,PCT 020,2184,1684,2,497,1101,0,86,Rep David J. Schenck,Rep,20
COLL,21,PCT 021,4375,3105,2,1438,1508,0,159,Rep David J. Schenck,Rep,21
COLL,22,PCT 022,4553,3315,0,626,2524,0,165,Rep David J. Schenck,Rep,20
COLL,23,PCT 023,3580,1874,3,1179,566,0,129,Dem Holly Taylor,Dem,23
COLL,24,PCT 024,2229,1201,11,745,406,0,50,Dem Holly Taylor,Dem,24
COLL,25,PCT 025,4119,2900,1,1257,1383,0,260,Rep David J. Schenck,Rep,25
COLL,26,PCT 026,1280,739,0,328,381,0,30,Rep David J. Schenck,Rep,26
COLL,27,PCT 027,2812,1880,0,719,1041,0,120,Rep David J. Schenck,Rep,27
COLL,28,PCT 028,3641,2445,0,1137,1180,0,128,Rep David J. Schenck,Rep,28
COLL,29,PCT 029,3332,2504,1,726,1658,0,121,Rep David J. Schenck,Rep,18
COLL,30,PCT 030,1024,704,0,269,398,0,37,Rep David J. Schenck,Rep,6
COLL,31,PCT 031,2067,1577,0,636,879,0,62,Rep David J. Schenck,Rep,31
COLL,32,PCT 032,2504,1865,0,780,983,0,102,Rep David J. Schenck,Rep,32
COLL,33,PCT 033,3396,2414,1,744,1540,0,131,Rep David J. Schenck,Rep,17
COLL,34,PCT 034,4401,3041,2,1526,1351,0,164,Dem Holly Taylor,Dem,34
COLL,35,PCT 035,1861,1293,0,210,1006,0,77,Rep David J. Schenck,Rep,35
COLL,36,PCT 036,1966,1503,14,476,957,0,70,Rep David J. Schenck,Rep,36
COLL,37,PCT 037,2779,1966,0,284,1591,0,91,Rep David J. Schenck,Rep,37
COLL,38,PCT 038,3899,2387,0,1134,1109,0,144,Dem Holly Taylor,Dem,38
COLL,39,PCT 039,3035,1905,1,987,799,0,119,Dem Holly Taylor,Dem,39
COLL,40,PCT 040,3639,2556,0,859,1564,0,133,Rep David J. Schenck,Rep,40
COLL,41,PCT 041,1869,1386,0,436,891,0,59,Rep David J. Schenck,Rep,15
COLL,42,PCT 042,2302,1548,0,367,1102,0,79,Rep David J. Schenck,Rep,42
COLL,43,PCT 043,3543,2121,0,1018,981,0,122,Dem Holly Taylor,Dem,43
COLL,44,PCT 044,1697,924,1,416,439,0,69,Rep David J. Schenck,Rep,44
COLL,45,PCT 045,3501,2475,0,880,1463,0,132,Rep David J. Schenck,Rep,45
COLL,46,PCT 046,3182,1797,1,960,718,0,119,Dem Holly Taylor,Dem,46
COLL,47,PCT 047,2634,1822,1,912,825,0,85,Dem Holly Taylor,Dem,47
COLL,48,PCT 048,3837,2712,0,1344,1245,0,123,Dem Holly Taylor,Dem,48
COLL,49,PCT 049,2425,1806,0,740,959,0,107,Rep David J. Schenck,Rep,49
COLL,50,PCT 050,3289,1773,1,976,643,0,154,Dem Holly Taylor,Dem,50
COLL,51,PCT 051,1854,1006,0,530,399,0,77,Dem Holly Taylor,Dem,51
COLL,52,PCT 052,4768,2909,2,1419,1123,0,367,Dem Holly Taylor,Dem,52
COLL,53,PCT 053,2224,1662,0,743,854,0,65,Rep David J. Schenck,Rep,53
COLL,54,PCT 054,3726,2254,1,1240,890,0,124,Dem Holly Taylor,Dem,54
COLL,55,PCT 055,4272,2791,0,1631,928,0,232,Dem Holly Taylor,Dem,55
COLL,56,PCT 056,3558,2429,2,850,1419,0,160,Rep David J. Schenck,Rep,56
COLL,57,PCT 057,1581,1035,0,420,551,0,64,Rep David J. Schenck,Rep,17
COLL,58,PCT 058,3671,2397,3,1188,1065,0,144,Dem Holly Taylor,Dem,58
COLL,59,PCT 059,4034,2725,0,1031,1521,0,173,Rep David J. Schenck,Rep,59
COLL,60,PCT 060,3282,2489,0,816,1525,0,148,Rep David J. Schenck,Rep,60
COLL,61,PCT 061,1688,1214,0,496,665,0,53,Rep David J. Schenck,Rep,61
COLL,62,PCT 062,2524,1721,1,861,753,0,106,Dem Holly Taylor,Dem,61
COLL,63,PCT 063,2074,1604,0,621,906,0,77,Rep David J. Schenck,Rep,63
COLL,64,PCT 064,2695,1840,0,833,894,0,113,Rep David J. Schenck,Rep,64
COLL,65,PCT 065,1249,847,1,390,418,0,39,Rep David J. Schenck,Rep,65
COLL,66,PCT 066,2197,1497,0,701,725,0,71,Rep David J. Schenck,Rep,66
COLL,67,PCT 067,3003,1995,1,931,943,0,121,Rep David J. Schenck,Rep,67
COLL,68,PCT 068,2042,1285,1,626,591,0,68,Dem Holly Taylor,Dem,68
COLL,69,PCT 069,3878,2831,0,1234,1463,0,134,Rep David J. Schenck,Rep,69
COLL,70,PCT 070,1912,1416,0,578,772,0,66,Rep David J. Schenck,Rep,70
COLL,71,PCT 071,1812,1314,0,594,662,0,58,Rep David J. Schenck,Rep,71
COLL,72,PCT 072,1732,1249,2,523,668,0,58,Rep David J. Schenck,Rep,72
COLL,73,PCT 073,1936,1122,6,613,445,0,64,Dem Holly Taylor,Dem,73
COLL,74,PCT 074,1988,1373,9,542,748,0,83,Rep David J. Schenck,Rep,74
COLL,75,PCT 075,2381,1701,0,651,952,0,98,Rep David J. Schenck,Rep,75
COLL,76,PCT 076,3331,2363,4,953,1269,0,141,Rep David J. Schenck,Rep,76
COLL,77,PCT 077,3677,2432,0,1247,1052,0,132,Dem Holly Taylor,Dem,76
COLL,78,PCT 078,4899,3053,2,1661,1217,0,175,Dem Holly Taylor,Dem,78
COLL,79,PCT 079,2773,1660,17,690,855,0,115,Rep David J. Schenck,Rep,79
COLL,80,PCT 080,3657,2509,0,1086,1274,0,149,Rep David J. Schenck,Rep,80
COLL,81,PCT 081,2973,2031,1,992,922,0,117,Dem Holly Taylor,Dem,81
COLL,82,PCT 082,3005,1870,0,891,878,0,101,Dem Holly Taylor,Dem,82
COLL,83,PCT 083,4265,2914,1,949,1833,0,132,Rep David J. Schenck,Rep,83
COLL,84,PCT 084,2541,1705,11,731,889,0,85,Rep David J. Schenck,Rep,84
COLL,85,PCT 085,3423,2301,1,1223,945,0,133,Dem Holly Taylor,Dem,85
COLL,86,PCT 086,3050,2194,0,945,1142,0,107,Rep David J. Schenck,Rep,86
COLL,87,PCT 087,3486,2531,0,1226,1113,0,192,Dem Holly Taylor,Dem,87
COLL,88,PCT 088,1661,726,7,440,242,0,44,Dem Holly Taylor,Dem,88
COLL,89,PCT 089,3267,2264,0,1029,1095,0,140,Rep David J. Schenck,Rep,89
COLL,90,PCT 090,3268,2400,0,796,1476,0,128,Rep David J. Schenck,Rep,90
COLL,91,PCT 091,2325,1659,1,790,789,0,80,Dem Holly Taylor,Dem,91
COLL,92,PCT 092,4619,2877,0,1341,1354,0,182,Rep David J. Schenck,Rep,92
COLL,93,PCT 093,297,222,1,23,189,0,10,Rep David J. Schenck,Rep,93
COLL,94,PCT 094,4318,3088,0,1461,1436,0,191,Dem Holly Taylor,Dem,94
COLL,95,PCT 095,3171,2237,0,971,1112,0,154,Rep David J. Schenck,Rep,95
COLL,96,PCT 096,1509,782,0,319,417,0,46,Rep David J. Schenck,Rep,96
COLL,97,PCT 097,1344,1070,0,272,747,0,51,Rep David J. Schenck,Rep,97
COLL,98,PCT 098,1618,1019,0,404,559,0,56,Rep David J. Schenck,Rep,98
COLL,99,PCT 099,403,257,0,132,102,0,23,Dem Holly Taylor,Dem,99
COLL,100,PCT 100,1545,1024,0,337,623,0,64,Rep David J. Schenck,Rep,2
COLL,101,PCT 101,4300,2865,0,1231,1491,0,143,Rep David J. Schenck,Rep,101
COLL,102,PCT 102,2555,1957,0,597,1279,0,81,Rep David J. Schenck,Rep,102
COLL,103,PCT 103,1419,810,0,398,354,0,58,Dem Holly Taylor,Dem,103
