COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,Dem Kamala D. Harris/Tim Walz,Grn Jill Stein/Rudolph Ware,Lib Chase Oliver/Mike ter Maat,Rep Donald J. Trump/JD Vance,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,64,PCT 064,2695,1840,0,19,896,66,9,838,0,12,Dem Kamala D. Harris/Tim Walz,Dem,64
COLL,65,PCT 065,1249,847,1,3,426,4,4,406,0,4,Dem Kamala D. Harris/Tim Walz,Dem,65
COLL,66,PCT 066,2197,1497,0,6,749,10,12,712,0,8,Dem Kamala D. Harris/Tim Walz,Dem,66
COLL,67,PCT 067,3003,1995,1,12,1021,15,17,914,0,16,Dem Kamala D. Harris/Tim Walz,Dem,67
COLL,68,PCT 068,2042,1285,1,3,664,9,13,591,0,5,Dem Kamala D. Harris/Tim Walz,Dem,68
COLL,69,PCT 069,3878,2831,0,20,1324,55,20,1393,0,19,Rep Donald J. Trump/JD Vance,Rep,69
COLL,70,PCT 070,1912,1416,0,5,637,7,8,749,0,10,Rep Donald J. Trump/JD Vance,Rep,70
COLL,71,PCT 071,1812,1314,0,5,657,15,8,626,0,3,Dem Kamala D. Harris/Tim Walz,Dem,71
COLL,72,PCT 072,1732,1249,2,9,587,10,10,621,0,12,Rep Donald J. Trump/JD Vance,Rep,72
COLL,73,PCT 073,1936,1122,6,7,661,12,4,434,0,4,Dem Kamala D. Harris/Tim Walz,Dem,73
COLL,74,PCT 074,1988,1373,9,7,593,12,10,738,0,13,Rep Donald J. Trump/JD Vance,Rep,74
COLL,75,PCT 075,2381,1701,0,14,755,9,7,903,0,13,Rep Donald J. Trump/JD Vance,Rep,75
COLL,76,PCT 076,3331,2363,4,16,1009,83,18,1222,0,15,Rep Donald J. Trump/JD Vance,Rep,76
COLL,77,PCT 077,3677,2432,0,18,1296,71,20,1023,0,4,Dem Kamala D. Harris/Tim Walz,Dem,76
COLL,78,PCT 078,4899,3053,2,20,1754,57,20,1187,0,15,Dem Kamala D. Harris/Tim Walz,Dem,78
COLL,79,PCT 079,2773,1660,17,9,767,15,11,848,0,10,Rep Donald J. Trump/JD Vance,Rep,79
COLL,80,PCT 080,3657,2509,0,7,1157,35,15,1284,0,11,Rep Donald J. Trump/JD Vance,Rep,80
COLL,81,PCT 081,2973,2031,1,9,1076,20,15,897,0,14,Dem Kamala D. Harris/Tim Walz,Dem,81
COLL,82,PCT 082,3005,1870,0,3,929,26,14,889,0,9,Dem Kamala D. Harris/Tim Walz,Dem,82
COLL,83,PCT 083,4265,2914,1,5,1011,35,23,1826,0,14,Rep Donald J. Trump/JD Vance,Rep,83
COLL,84,PCT 084,2541,1705,11,6,834,11,8,830,0,16,Dem Kamala D. Harris/Tim Walz,Dem,84
COLL,85,PCT 085,3423,2301,1,12,1281,36,23,939,0,10,Dem Kamala D. Harris/Tim Walz,Dem,85
COLL,86,PCT 086,3050,2194,0,17,1047,48,14,1048,0,20,Rep Donald J. Trump/JD Vance,Rep,86
COLL,87,PCT 087,3486,2531,0,6,1186,135,15,1182,0,7,Dem Kamala D. Harris/Tim Walz,Dem,87
COLL,88,PCT 088,1661,726,7,1,480,8,3,232,0,2,Dem Kamala D. Harris/Tim Walz,Dem,88
COLL,89,PCT 089,3267,2264,0,17,1093,67,15,1061,0,11,Dem Kamala D. Harris/Tim Walz,Dem,89
COLL,90,PCT 090,3268,2400,0,28,921,37,14,1378,0,22,Rep Donald J. Trump/JD Vance,Rep,90
COLL,91,PCT 091,2325,1659,1,15,866,16,18,737,0,7,Dem Kamala D. Harris/Tim Walz,Dem,91
COLL,92,PCT 092,4619,2877,0,12,1431,27,19,1378,0,10,Dem Kamala D. Harris/Tim Walz,Dem,92
COLL,93,PCT 093,297,222,1,1,26,0,0,193,0,2,Rep Donald J. Trump/JD Vance,Rep,93
COLL,94,PCT 094,4318,3088,0,13,1590,152,28,1281,0,24,Dem Kamala D. Harris/Tim Walz,Dem,94
COLL,95,PCT 095,3171,2237,0,15,1056,55,21,1074,0,16,Rep Donald J. Trump/JD Vance,Rep,95
COLL,96,PCT 096,1509,782,0,4,329,6,6,436,0,1,Rep Donald J. Trump/JD Vance,Rep,96
COLL,97,PCT 097,1344,1070,0,4,325,4,9,722,0,6,Rep Donald J. Trump/JD Vance,Rep,97
COLL,98,PCT 098,1618,1019,0,3,457,2,5,547,0,5,Rep Donald J. Trump/JD Vance,Rep,98
COLL,99,PCT 099,403,257,0,3,143,6,3,101,0,1,Dem Kamala D. Harris/Tim Walz,Dem,99
COLL,100,PCT 100,1545,1024,0,3,356,8,6,649,0,2,Rep Donald J. Trump/JD Vance,Rep,2
COLL,101,PCT 101,4300,2865,0,10,1338,41,19,1435,0,22,Rep Donald J. Trump/JD Vance,Rep,101
COLL,102,PCT 102,2555,1957,0,10,705,6,12,1213,0,11,Rep Donald J. Trump/JD Vance,Rep,102
COLL,103,PCT 103,1419,810,0,4,424,18,7,355,0,2,Dem Kamala D. Harris/Tim Walz,Dem,103
COLL,104,PCT 104,2426,1167,4,5,762,12,5,383,0,0,Dem Kamala D. Harris/Tim Walz,Dem,104
COLL,105,PCT 105,173,115,0,0,67,1,0,46,0,1,pct_int,pct_int,105
