COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,Dem Kamala D. Harris/Tim Walz,Grn Jill Stein/Rudolph Ware,Lib Chase Oliver/Mike ter Maat,Rep Donald J. Trump/JD Vance,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,222,PCT 222,3965,2870,1,17,1331,112,16,1375,0,19,Rep Donald J. Trump/JD Vance,Rep,222
COLL,223,PCT 223,2501,1839,0,16,879,35,8,890,0,11,Rep Donald J. Trump/JD Vance,Rep,223
COLL,224,PCT 224,3351,2568,1,13,660,27,12,1844,0,12,Rep Donald J. Trump/JD Vance,Rep,224
COLL,225,PCT 225,3945,2807,2,9,1358,78,16,1338,0,8,Dem Kamala D. Harris/Tim Walz,Dem,225
COLL,226,PCT 226,4404,2945,0,6,1428,35,19,1444,0,13,Rep Donald J. Trump/JD Vance,Rep,226
COLL,227,PCT 227,4468,3160,0,23,1419,41,22,1640,0,15,Rep Donald J. Trump/JD Vance,Rep,227
COLL,228,PCT 228,4845,3037,1,8,1388,32,27,1575,0,7,Rep Donald J. Trump/JD Vance,Rep,180
COLL,229,PCT 229,2259,1494,0,4,739,19,8,717,0,7,Dem Kamala D. Harris/Tim Walz,Dem,229
COLL,230,PCT 230,4953,3021,0,13,1478,72,13,1436,0,9,Dem Kamala D. Harris/Tim Walz,Dem,230
COLL,231,PCT 231,3938,2850,0,10,1248,40,17,1528,0,7,Rep Donald J. Trump/JD Vance,Rep,231
COLL,232,PCT 232,3850,2755,0,7,1098,33,17,1596,0,4,Rep Donald J. Trump/JD Vance,Rep,232
COLL,233,PCT 233,2089,1443,0,3,549,15,10,862,0,4,Rep Donald J. Trump/JD Vance,Rep,233
COLL,234,PCT 234,3351,2585,0,7,1320,79,14,1151,0,14,Dem Kamala D. Harris/Tim Walz,Dem,234
COLL,235,PCT 235,1916,1332,3,6,682,44,14,577,0,9,Dem Kamala D. Harris/Tim Walz,Dem,235
COLL,236,PCT 236,3015,2217,1,12,821,29,19,1320,0,16,Rep Donald J. Trump/JD Vance,Rep,236
COLL,237,PCT 237,2345,1522,3,7,655,67,8,777,0,8,Rep Donald J. Trump/JD Vance,Rep,237
COLL,238,PCT 238,4043,2583,0,11,1291,39,18,1213,0,11,Dem Kamala D. Harris/Tim Walz,Dem,238
COLL,239,PCT 239,4293,3051,0,15,874,39,33,2080,0,10,Rep Donald J. Trump/JD Vance,Rep,239
COLL,240,PCT 240,4358,3212,0,19,928,17,24,2211,0,13,Rep Donald J. Trump/JD Vance,Rep,240
COLL,241,PCT 241,1549,1115,0,6,457,97,15,536,0,4,Rep Donald J. Trump/JD Vance,Rep,241
COLL,242,PCT 242,3578,2604,0,11,1143,74,19,1343,0,14,Rep Donald J. Trump/JD Vance,Rep,242
COLL,243,PCT 243,1684,1272,0,10,387,41,1,825,0,8,Rep Donald J. Trump/JD Vance,Rep,243
COLL,244,PCT 244,3235,2337,0,12,968,57,11,1266,0,23,Rep Donald J. Trump/JD Vance,Rep,244
COLL,245,PCT 245,2764,1651,0,10,748,23,7,861,0,2,Rep Donald J. Trump/JD Vance,Rep,245
COLL,246,PCT 246,2859,2137,1,13,989,58,12,1049,0,16,Rep Donald J. Trump/JD Vance,Rep,246
COLL,247,PCT 247,2436,1876,0,9,574,10,11,1264,0,8,Rep Donald J. Trump/JD Vance,Rep,247
COLL,248,PCT 248,2328,1645,0,10,703,47,10,871,0,4,Rep Donald J. Trump/JD Vance,Rep,248
COLL,249,PCT 249,4743,3053,0,19,1087,11,23,1908,0,5,Rep Donald J. Trump/JD Vance,Rep,249
COLL,250,PCT 250,3886,3025,0,14,1342,161,14,1479,0,15,Rep Donald J. Trump/JD Vance,Rep,250
COLL,251,PCT 251,2568,1852,0,7,610,9,13,1207,0,6,Rep Donald J. Trump/JD Vance,Rep,251
COLL,252,PCT 252,3149,2338,0,6,700,17,12,1594,0,9,Rep Donald J. Trump/JD Vance,Rep,252
COLL,253,PCT 253,3111,2203,1,7,1032,90,13,1053,0,7,Rep Donald J. Trump/JD Vance,Rep,123
COLL,254,PCT 254,1286,806,0,2,368,9,7,418,0,2,Rep Donald J. Trump/JD Vance,Rep,48
COLL,255,PCT 255,3292,2440,1,8,843,34,19,1529,0,8,Rep Donald J. Trump/JD Vance,Rep,26
COLL,256,PCT 256,767,540,0,1,131,2,3,402,0,1,Rep Donald J. Trump/JD Vance,Rep,30
COLL,257,PCT 257,1342,890,1,3,366,6,5,508,0,2,Rep Donald J. Trump/JD Vance,Rep,2
COLL,258,PCT 258,3045,2073,1,7,1011,184,21,837,0,14,Dem Kamala D. Harris/Tim Walz,Dem,72
COLL,259,PCT 259,3698,2420,0,9,1045,36,18,1306,0,6,Rep Donald J. Trump/JD Vance,Rep,40
COLL,260,PCT 260,438,319,0,1,68,1,2,246,0,1,Rep Donald J. Trump/JD Vance,Rep,2
COLL,261,PCT 261,3221,2306,0,13,876,13,10,1382,0,12,Rep Donald J. Trump/JD Vance,Rep,135
COLL,262,PCT 262,3038,2081,0,12,1108,51,15,880,0,16,Dem Kamala D. Harris/Tim Walz,Dem,97
COLL,263,PCT 263,2055,1544,1,6,501,15,8,1011,0,3,Rep Donald J. Trump/JD Vance,Rep,11
COLL,264,PCT 264,3994,2746,0,19,1129,36,18,1528,0,16,Rep Donald J. Trump/JD Vance,Rep,24
COLL,265,PCT 265,0,0,0,0,0,0,0,0,0,0,Dem Kamala D. Harris/Tim Walz,Dem,0
COLL,266,PCT 266,62,42,0,0,23,0,0,18,0,0,Dem Kamala D. Harris/Tim Walz,Dem,1
COLL,267,PCT 267,19,13,0,0,7,0,0,5,0,0,Dem Kamala D. Harris/Tim Walz,Dem,0
COLL,268,PCT 268,0,0,0,0,0,0,0,0,0,0,Dem Kamala D. Harris/Tim Walz,Dem,0
COLL,269,PCT 269,0,0,0,0,0,0,0,0,0,0,Dem Kamala D. Harris/Tim Walz,Dem,0
COLL,270,PCT 270,2,1,0,0,0,0,0,1,0,0,Rep Donald J. Trump/JD Vance,Rep,0
COLL,271,PCT 271,1035,750,0,0,283,19,3,444,0,3,Rep Donald J. Trump/JD Vance,Rep,179
COLL,272,PCT 272,1,1,0,0,0,0,0,0,0,0,Dem Kamala D. Harris/Tim Walz,Dem,0
COLL,273,PCT 273,260,202,0,0,60,1,1,139,0,1,Rep Donald J. Trump/JD Vance,Rep,1
