COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Rochelle Mercedes Garza,LIB Mark Ash,REP Ken Paxton,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,208,PCT 208,3375,2140,0,752,87,1264,0,37,REP Ken Paxton,REP,208
COLL,209,PCT 209,169,87,0,34,3,50,0,0,REP Ken Paxton,REP,30
COLL,210,PCT 210,1661,914,1,481,28,381,0,24,DEM Rochelle Mercedes Garza,DEM,210
COLL,211,PCT 211,3302,1758,1,737,75,917,0,29,REP Ken Paxton,REP,211
COLL,212,PCT 212,5564,2799,1,1498,72,1175,0,54,DEM Rochelle Mercedes Garza,DEM,212
COLL,213,PCT 213,3612,1848,0,908,41,871,0,28,DEM Rochelle Mercedes Garza,DEM,213
COLL,214,PCT 214,3473,2130,0,482,55,1563,0,31,REP Ken Paxton,REP,168
COLL,215,PCT 215,2543,1056,0,322,43,669,0,22,REP Ken Paxton,REP,215
COLL,216,PCT 216,6210,3332,0,1048,118,2111,0,55,REP Ken Paxton,REP,216
COLL,217,PCT 217,2919,1550,0,592,56,881,0,21,REP Ken Paxton,REP,217
COLL,218,PCT 218,4110,2281,1,1118,73,1053,0,37,DEM Rochelle Mercedes Garza,DEM,218
COLL,219,PCT 219,4072,2234,0,1109,52,1043,0,30,DEM Rochelle Mercedes Garza,DEM,219
COLL,220,PCT 220,2051,981,0,524,19,423,0,14,DEM Rochelle Mercedes Garza,DEM,97
COLL,221,PCT 221,2000,1119,0,391,46,662,0,20,REP Ken Paxton,REP,86
COLL,222,PCT 222,3575,1933,0,944,44,914,0,31,DEM Rochelle Mercedes Garza,DEM,222
COLL,223,PCT 223,2154,1196,0,559,37,587,0,13,REP Ken Paxton,REP,223
COLL,224,PCT 224,3036,1808,0,443,57,1282,0,26,REP Ken Paxton,REP,224
COLL,225,PCT 225,3815,1819,0,934,41,813,0,31,DEM Rochelle Mercedes Garza,DEM,225
COLL,226,PCT 226,4365,2250,0,1110,70,1035,0,35,DEM Rochelle Mercedes Garza,DEM,226
COLL,227,PCT 227,4310,2285,1,1067,96,1077,0,45,REP Ken Paxton,REP,227
COLL,228,PCT 228,4161,1703,0,820,47,808,0,28,DEM Rochelle Mercedes Garza,DEM,180
COLL,229,PCT 229,1738,866,0,401,26,424,0,15,REP Ken Paxton,REP,229
COLL,230,PCT 230,4826,2039,0,1044,63,903,0,29,DEM Rochelle Mercedes Garza,DEM,230
COLL,231,PCT 231,3247,1754,0,712,76,937,0,29,REP Ken Paxton,REP,231
COLL,232,PCT 232,3600,1991,0,780,67,1099,0,45,REP Ken Paxton,REP,232
COLL,233,PCT 233,1922,968,0,377,39,536,0,16,REP Ken Paxton,REP,233
COLL,234,PCT 234,2546,1484,0,787,35,645,0,17,DEM Rochelle Mercedes Garza,DEM,234
COLL,235,PCT 235,1874,966,0,495,21,427,0,23,DEM Rochelle Mercedes Garza,DEM,235
COLL,236,PCT 236,2889,1678,0,588,60,997,0,33,REP Ken Paxton,REP,236
COLL,237,PCT 237,2253,1011,0,476,31,474,0,30,DEM Rochelle Mercedes Garza,DEM,237
COLL,238,PCT 238,3923,1715,0,918,54,719,0,24,DEM Rochelle Mercedes Garza,DEM,238
COLL,239,PCT 239,4257,2284,0,658,59,1531,0,36,REP Ken Paxton,REP,239
COLL,240,PCT 240,6041,3348,0,926,76,2311,0,35,REP Ken Paxton,REP,240
COLL,241,PCT 241,1507,870,3,391,40,419,0,20,REP Ken Paxton,REP,241
COLL,242,PCT 242,3356,1912,0,823,65,989,0,35,REP Ken Paxton,REP,242
COLL,243,PCT 243,1517,915,0,264,36,596,0,19,REP Ken Paxton,REP,243
COLL,244,PCT 244,3107,1762,0,779,67,876,0,40,REP Ken Paxton,REP,244
COLL,245,PCT 245,2774,1151,0,540,38,557,0,16,REP Ken Paxton,REP,245
COLL,246,PCT 246,2832,1691,0,794,68,805,0,24,REP Ken Paxton,REP,246
COLL,247,PCT 247,2148,1364,0,374,51,913,0,26,REP Ken Paxton,REP,247
COLL,248,PCT 248,2116,1087,0,481,29,563,0,14,REP Ken Paxton,REP,248
COLL,249,PCT LB 96,0,380,0,218,14,143,0,5,pct_int,pct_int,249
COLL,250,PCT LB 97,0,188,0,110,1,73,0,4,pct_int,pct_int,250
COLL,251,PCT LB 98,0,9,0,3,1,5,0,0,pct_int,pct_int,251
COLL,252,PCT LB 99,0,0,0,0,0,0,0,0,pct_int,pct_int,252
COLL,253,PCT 253,2590,1238,0,662,25,535,0,17,DEM Rochelle Mercedes Garza,DEM,123
COLL,254,PCT 254,1104,452,0,218,13,214,0,7,DEM Rochelle Mercedes Garza,DEM,48
COLL,255,PCT 255,2764,1623,0,533,53,1014,0,24,REP Ken Paxton,REP,26
COLL,256,PCT 256,535,289,0,64,10,211,0,4,REP Ken Paxton,REP,30
COLL,257,PCT 257,924,441,0,173,18,245,0,4,REP Ken Paxton,REP,2
COLL,258,PCT 258,2989,1538,1,837,59,617,0,26,DEM Rochelle Mercedes Garza,DEM,72
COLL,259,PCT 259,3539,1743,0,745,62,908,0,28,REP Ken Paxton,REP,40
COLL,260,PCT 260,386,211,0,40,8,161,0,3,REP Ken Paxton,REP,2
COLL,261,PCT 261,3138,1755,0,614,71,1038,0,32,REP Ken Paxton,REP,135
COLL,262,PCT 262,2934,1541,0,864,48,598,0,31,DEM Rochelle Mercedes Garza,DEM,97
COLL,263,PCT 263,1519,853,0,255,20,570,0,8,REP Ken Paxton,REP,11
COLL,264,PCT 264,3907,2067,0,819,84,1125,0,38,REP Ken Paxton,REP,24
COLL,265,PCT 265,0,0,0,0,0,0,0,0,DEM Rochelle Mercedes Garza,DEM,0
COLL,266,PCT 266,62,34,0,19,2,13,0,1,DEM Rochelle Mercedes Garza,DEM,1
COLL,267,PCT 267,18,9,0,5,0,4,0,0,DEM Rochelle Mercedes Garza,DEM,0
COLL,268,PCT 268,0,0,0,0,0,0,0,0,DEM Rochelle Mercedes Garza,DEM,0
COLL,269,PCT 269,0,0,0,0,0,0,0,0,DEM Rochelle Mercedes Garza,DEM,0
COLL,270,PCT 270,1,1,0,0,0,1,0,0,REP Ken Paxton,REP,0
COLL,271,PCT 271,1017,526,0,203,20,302,0,2,REP Ken Paxton,REP,179
COLL,272,PCT 272,1,1,0,0,0,0,0,0,DEM Rochelle Mercedes Garza,DEM,0
COLL,273,PCT 273,176,109,0,29,3,77,0,1,REP Ken Paxton,REP,1
