COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Rochelle Mercedes Garza,LIB Mark Ash,REP Ken Paxton,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,1,PCT 001,2737,1491,0,643,63,761,0,24,REP Ken Paxton,REP,1
COLL,2,PCT 002,4654,2084,0,991,77,980,0,36,DEM Rochelle Mercedes Garza,DEM,2
COLL,3,PCT 003,2863,840,0,537,38,231,0,34,DEM Rochelle Mercedes Garza,DEM,103
COLL,4,PCT 004,3016,1694,0,508,51,1110,0,25,REP Ken Paxton,REP,4
COLL,5,PCT 005,1029,576,0,195,24,341,0,16,REP Ken Paxton,REP,5
COLL,6,PCT 006,1616,744,1,403,31,301,0,9,DEM Rochelle Mercedes Garza,DEM,6
COLL,7,PCT 007,1549,790,0,385,34,353,0,18,DEM Rochelle Mercedes Garza,DEM,7
COLL,8,PCT 008,2720,1247,1,363,41,820,0,24,REP Ken Paxton,REP,6
COLL,9,PCT 009,2455,1170,0,461,49,649,0,12,REP Ken Paxton,REP,7
COLL,10,PCT 010,927,520,0,72,14,429,0,5,REP Ken Paxton,REP,208
COLL,11,PCT 011,4412,2219,0,416,79,1687,0,37,REP Ken Paxton,REP,11
COLL,12,PCT 012,2149,1253,1,452,49,722,0,30,REP Ken Paxton,REP,12
COLL,13,PCT 013,2011,1249,0,329,33,877,0,9,REP Ken Paxton,REP,12
COLL,14,PCT 014,3268,1576,0,858,44,650,0,24,DEM Rochelle Mercedes Garza,DEM,14
COLL,15,PCT 015,1650,766,0,387,27,336,0,16,DEM Rochelle Mercedes Garza,DEM,15
COLL,16,PCT 016,1986,1057,0,333,41,665,0,18,REP Ken Paxton,REP,7
COLL,17,PCT 017,3236,1595,0,591,54,914,0,36,REP Ken Paxton,REP,12
COLL,18,PCT 018,1001,498,1,85,20,384,0,9,REP Ken Paxton,REP,206
COLL,19,PCT 019,1644,1038,0,455,48,510,0,25,REP Ken Paxton,REP,19
COLL,20,PCT 020,995,655,0,140,22,484,0,9,REP Ken Paxton,REP,20
COLL,21,PCT 021,4296,2537,1,1256,99,1136,0,46,DEM Rochelle Mercedes Garza,DEM,21
COLL,22,PCT 022,4014,2199,0,420,79,1670,0,29,REP Ken Paxton,REP,20
COLL,23,PCT 023,3117,1022,1,706,30,262,0,24,DEM Rochelle Mercedes Garza,DEM,23
COLL,24,PCT 024,2375,927,5,587,35,290,0,15,DEM Rochelle Mercedes Garza,DEM,24
COLL,25,PCT 025,3943,2150,8,1041,111,951,0,47,DEM Rochelle Mercedes Garza,DEM,25
COLL,26,PCT 026,1314,568,0,274,28,256,0,10,DEM Rochelle Mercedes Garza,DEM,26
COLL,27,PCT 027,2741,1317,0,543,51,699,0,24,REP Ken Paxton,REP,27
COLL,28,PCT 028,3618,2032,0,1015,72,909,0,36,DEM Rochelle Mercedes Garza,DEM,28
COLL,29,PCT 029,2462,1383,0,413,32,924,0,14,REP Ken Paxton,REP,18
COLL,30,PCT 030,1002,530,0,210,22,289,0,10,REP Ken Paxton,REP,6
COLL,31,PCT 031,2058,1365,0,620,49,675,0,21,REP Ken Paxton,REP,31
COLL,32,PCT 032,2493,1546,0,683,63,773,0,27,REP Ken Paxton,REP,32
COLL,33,PCT 033,2508,1376,0,383,51,920,0,22,REP Ken Paxton,REP,17
COLL,34,PCT 034,4438,2448,0,1340,77,969,0,62,DEM Rochelle Mercedes Garza,DEM,34
COLL,35,PCT 035,1733,887,0,157,22,687,0,21,REP Ken Paxton,REP,35
COLL,36,PCT 036,1985,1296,4,514,41,719,0,22,REP Ken Paxton,REP,36
COLL,37,PCT 037,2571,1392,1,193,54,1116,0,29,REP Ken Paxton,REP,37
COLL,38,PCT 038,3167,1369,0,728,44,574,0,23,DEM Rochelle Mercedes Garza,DEM,38
COLL,39,PCT 039,3081,1510,0,839,50,594,0,27,DEM Rochelle Mercedes Garza,DEM,39
COLL,40,PCT 040,3635,2040,1,748,96,1161,0,35,REP Ken Paxton,REP,40
COLL,41,PCT 041,1570,922,0,302,30,576,0,13,REP Ken Paxton,REP,15
COLL,42,PCT 042,1914,979,0,219,32,714,0,14,REP Ken Paxton,REP,42
COLL,43,PCT 043,3484,1467,0,743,78,619,0,27,DEM Rochelle Mercedes Garza,DEM,43
COLL,44,PCT 044,1722,664,0,310,31,307,0,16,DEM Rochelle Mercedes Garza,DEM,44
COLL,45,PCT 045,3462,1910,0,721,64,1080,0,45,REP Ken Paxton,REP,45
COLL,46,PCT 046,3160,1253,1,705,39,478,0,31,DEM Rochelle Mercedes Garza,DEM,46
COLL,47,PCT 047,2594,1391,0,724,53,596,0,18,DEM Rochelle Mercedes Garza,DEM,47
COLL,48,PCT 048,3780,2160,0,1163,84,891,0,22,DEM Rochelle Mercedes Garza,DEM,48
COLL,49,PCT 049,2367,1482,0,662,57,730,0,33,REP Ken Paxton,REP,49
COLL,50,PCT 050,3099,1174,0,690,29,430,0,25,DEM Rochelle Mercedes Garza,DEM,50
COLL,51,PCT 051,1727,645,0,370,24,237,0,14,DEM Rochelle Mercedes Garza,DEM,51
COLL,52,PCT 052,4417,1789,0,1050,43,662,0,34,DEM Rochelle Mercedes Garza,DEM,52
COLL,53,PCT 053,2230,1413,0,666,58,661,0,28,DEM Rochelle Mercedes Garza,DEM,53
COLL,54,PCT 054,3547,1585,1,927,48,579,0,31,DEM Rochelle Mercedes Garza,DEM,54
COLL,55,PCT 055,4130,2101,0,1347,77,615,0,62,DEM Rochelle Mercedes Garza,DEM,55
COLL,56,PCT 056,3326,1711,0,657,51,971,0,32,REP Ken Paxton,REP,56
COLL,57,PCT 057,1514,746,0,318,27,389,0,12,REP Ken Paxton,REP,17
COLL,58,PCT 058,3704,1844,3,988,59,766,0,31,DEM Rochelle Mercedes Garza,DEM,58
COLL,59,PCT 059,4025,2078,0,837,83,1117,0,41,REP Ken Paxton,REP,59
COLL,60,PCT 060,2967,1792,0,625,67,1065,0,35,REP Ken Paxton,REP,60
COLL,61,PCT 061,1662,994,0,418,47,508,0,21,REP Ken Paxton,REP,61
COLL,62,PCT 062,2543,1385,1,756,68,538,0,22,DEM Rochelle Mercedes Garza,DEM,61
COLL,63,PCT 063,2039,1365,1,607,55,672,0,31,REP Ken Paxton,REP,63
COLL,64,PCT 064,2711,1446,0,753,56,607,0,30,DEM Rochelle Mercedes Garza,DEM,64
COLL,65,PCT 065,1265,721,0,354,23,333,0,11,DEM Rochelle Mercedes Garza,DEM,65
COLL,66,PCT 066,2193,1197,0,591,56,528,0,22,DEM Rochelle Mercedes Garza,DEM,66
COLL,67,PCT 067,2878,1486,0,742,54,659,0,31,DEM Rochelle Mercedes Garza,DEM,67
COLL,68,PCT 068,2014,930,1,451,40,416,0,23,DEM Rochelle Mercedes Garza,DEM,68
COLL,69,PCT 069,3793,2297,0,1076,89,1087,0,45,REP Ken Paxton,REP,69
COLL,70,PCT 070,1916,1156,0,506,45,579,0,26,REP Ken Paxton,REP,70
COLL,71,PCT 071,1815,1111,0,545,31,505,0,30,DEM Rochelle Mercedes Garza,DEM,71
COLL,72,PCT 072,1562,919,0,424,36,441,0,18,REP Ken Paxton,REP,72
COLL,73,PCT 073,1999,906,3,569,29,292,0,16,DEM Rochelle Mercedes Garza,DEM,73
COLL,74,PCT 074,1930,1069,3,510,36,503,0,20,DEM Rochelle Mercedes Garza,DEM,74
COLL,75,PCT 075,2308,1334,0,554,43,703,0,34,REP Ken Paxton,REP,75
COLL,76,PCT 076,3323,1952,1,862,58,992,0,40,REP Ken Paxton,REP,76
COLL,77,PCT 077,3696,1842,0,1026,61,725,0,30,DEM Rochelle Mercedes Garza,DEM,76
COLL,78,PCT 078,4724,2246,1,1302,73,834,0,37,DEM Rochelle Mercedes Garza,DEM,78
COLL,79,PCT 079,2787,1325,9,627,42,628,0,28,REP Ken Paxton,REP,79
COLL,80,PCT 080,3640,1854,0,887,63,880,0,24,DEM Rochelle Mercedes Garza,DEM,80
COLL,81,PCT 081,2865,1535,1,819,55,627,0,34,DEM Rochelle Mercedes Garza,DEM,81
COLL,82,PCT 082,2983,1390,0,689,47,636,0,18,DEM Rochelle Mercedes Garza,DEM,82
COLL,83,PCT 083,4036,2063,0,679,62,1283,0,39,REP Ken Paxton,REP,83
COLL,84,PCT 084,2439,1317,9,615,33,642,0,27,REP Ken Paxton,REP,84
COLL,85,PCT 085,3209,1679,0,946,49,653,0,30,DEM Rochelle Mercedes Garza,DEM,85
COLL,86,PCT 086,2972,1728,0,815,60,815,0,38,DEM Rochelle Mercedes Garza,DEM,86
COLL,87,PCT 087,3017,1462,0,878,22,534,0,28,DEM Rochelle Mercedes Garza,DEM,87
COLL,88,PCT 088,2051,697,7,495,23,171,0,8,DEM Rochelle Mercedes Garza,DEM,88
COLL,89,PCT 089,3232,1783,0,876,53,823,0,31,DEM Rochelle Mercedes Garza,DEM,89
COLL,90,PCT 090,3267,1934,0,767,67,1041,0,59,REP Ken Paxton,REP,90
COLL,91,PCT 091,2319,1384,0,719,39,600,0,26,DEM Rochelle Mercedes Garza,DEM,91
COLL,92,PCT 092,4113,1733,0,876,58,777,0,22,DEM Rochelle Mercedes Garza,DEM,92
COLL,93,PCT 093,287,157,0,26,4,125,0,2,REP Ken Paxton,REP,93
COLL,94,PCT 094,4227,2445,0,1335,64,996,0,50,DEM Rochelle Mercedes Garza,DEM,94
COLL,95,PCT 095,3101,1614,2,770,50,759,0,35,DEM Rochelle Mercedes Garza,DEM,95
COLL,96,PCT 096,1450,525,0,221,19,272,0,13,REP Ken Paxton,REP,96
COLL,97,PCT 097,1332,927,0,283,29,587,0,28,REP Ken Paxton,REP,97
COLL,98,PCT 098,1482,711,0,279,34,378,0,20,REP Ken Paxton,REP,98
COLL,99,PCT 099,291,126,0,79,6,40,0,1,pct_int,pct_int,99
COLL,100,PCT 100,897,412,0,120,13,270,0,8,REP Ken Paxton,REP,2
COLL,101,PCT 101,4006,2022,0,960,66,964,0,32,REP Ken Paxton,REP,101
COLL,102,PCT 102,2552,1654,1,547,70,1004,0,33,REP Ken Paxton,REP,102
COLL,103,PCT 103,1401,570,0,294,25,242,0,9,DEM Rochelle Mercedes Garza,DEM,103
COLL,104,PCT 104,2569,847,4,561,25,251,0,10,DEM Rochelle Mercedes Garza,DEM,104
COLL,105,PCT 105,33,4,0,2,0,2,0,0,pct_int,pct_int,105
COLL,106,PCT 106,1937,1003,0,484,51,450,0,18,DEM Rochelle Mercedes Garza,DEM,106
COLL,107,PCT 107,3385,1951,0,1015,71,815,0,50,DEM Rochelle Mercedes Garza,DEM,107
COLL,108,PCT 108,2970,1563,1,844,52,635,0,32,DEM Rochelle Mercedes Garza,DEM,108
COLL,109,PCT 109,4577,2453,0,1081,75,1245,0,52,REP Ken Paxton,REP,109
COLL,110,PCT 110,2844,1563,1,736,63,741,0,23,REP Ken Paxton,REP,110
COLL,111,PCT 111,3027,1631,0,524,51,1027,0,29,REP Ken Paxton,REP,111
COLL,112,PCT 112,3135,1872,0,922,61,859,0,30,DEM Rochelle Mercedes Garza,DEM,112
COLL,113,PCT 113,3416,1506,0,741,69,673,0,23,DEM Rochelle Mercedes Garza,DEM,113
COLL,114,PCT 114,2533,1396,0,477,49,843,0,27,REP Ken Paxton,REP,114
COLL,115,PCT 115,3012,1729,10,930,71,687,0,41,DEM Rochelle Mercedes Garza,DEM,115
COLL,116,PCT 116,4920,2748,0,1220,94,1371,0,63,REP Ken Paxton,REP,116
COLL,117,PCT 117,4367,2120,1,1040,63,982,0,35,DEM Rochelle Mercedes Garza,DEM,117
COLL,118,PCT 118,4315,2281,1,962,82,1198,0,39,REP Ken Paxton,REP,118
COLL,119,PCT 119,2374,1411,0,675,48,660,0,28,DEM Rochelle Mercedes Garza,DEM,119
COLL,120,PCT 120,3666,2126,0,872,70,1129,0,55,REP Ken Paxton,REP,120
COLL,121,PCT 121,2837,1545,0,927,36,549,0,33,DEM Rochelle Mercedes Garza,DEM,121
COLL,122,PCT 122,5090,3024,0,1023,120,1814,0,67,REP Ken Paxton,REP,122
COLL,123,PCT 123,2023,1141,0,480,45,593,0,23,REP Ken Paxton,REP,123
COLL,124,PCT 124,3253,1634,0,836,55,706,0,37,DEM Rochelle Mercedes Garza,DEM,124
COLL,125,PCT 125,2207,1136,0,618,43,455,0,19,DEM Rochelle Mercedes Garza,DEM,53
COLL,126,PCT 126,4804,2521,0,1187,97,1190,0,47,REP Ken Paxton,REP,126
COLL,127,PCT 127,3882,1912,0,927,64,887,0,34,DEM Rochelle Mercedes Garza,DEM,127
COLL,128,PCT 128,3071,1999,0,535,76,1345,0,43,REP Ken Paxton,REP,128
COLL,129,PCT 129,4501,2319,0,1028,82,1166,0,43,REP Ken Paxton,REP,129
COLL,130,PCT 130,3867,2138,0,1071,86,935,0,46,DEM Rochelle Mercedes Garza,DEM,130
COLL,131,PCT 131,3119,1647,0,594,60,950,0,43,REP Ken Paxton,REP,131
COLL,132,PCT 132,2834,1605,8,889,52,635,0,29,DEM Rochelle Mercedes Garza,DEM,132
COLL,133,PCT 133,2855,1177,0,493,52,599,0,33,REP Ken Paxton,REP,133
COLL,134,PCT 134,4014,1906,0,993,58,826,0,29,DEM Rochelle Mercedes Garza,DEM,134
COLL,135,PCT 135,4223,2152,2,1151,62,890,0,49,DEM Rochelle Mercedes Garza,DEM,135
COLL,136,PCT 136,2003,1232,1,561,42,601,0,28,REP Ken Paxton,REP,136
COLL,137,PCT 137,2003,1099,0,470,33,568,0,28,REP Ken Paxton,REP,137
COLL,138,PCT 138,2101,1361,1,667,41,613,0,40,DEM Rochelle Mercedes Garza,DEM,138
COLL,139,PCT 139,4196,2067,0,1150,66,812,0,39,DEM Rochelle Mercedes Garza,DEM,139
COLL,140,PCT 140,4861,2744,0,927,112,1654,0,51,REP Ken Paxton,REP,140
COLL,141,PCT 141,3457,2026,0,1019,80,885,0,42,DEM Rochelle Mercedes Garza,DEM,141
COLL,142,PCT 142,2873,1741,15,956,61,698,0,26,DEM Rochelle Mercedes Garza,DEM,142
COLL,143,PCT 143,2158,1288,0,564,63,633,0,28,REP Ken Paxton,REP,143
COLL,144,PCT 144,2874,1594,4,681,60,822,0,31,REP Ken Paxton,REP,144
COLL,145,PCT 145,1731,896,1,467,37,371,0,21,DEM Rochelle Mercedes Garza,DEM,145
COLL,146,PCT 146,4877,2371,1,1127,82,1123,0,39,DEM Rochelle Mercedes Garza,DEM,146
COLL,147,PCT 147,2253,980,0,481,20,468,0,11,DEM Rochelle Mercedes Garza,DEM,147
COLL,148,PCT 148,661,405,1,154,11,235,0,5,REP Ken Paxton,REP,148
COLL,149,PCT 149,4476,2460,0,995,81,1343,0,41,REP Ken Paxton,REP,354
COLL,150,PCT 150,1145,781,0,260,32,480,0,9,REP Ken Paxton,REP,62
COLL,151,PCT 151,1772,893,0,436,41,401,0,15,DEM Rochelle Mercedes Garza,DEM,151
COLL,152,PCT 152,187,92,0,65,3,24,0,0,pct_int,pct_int,152
COLL,153,PCT 153,1135,575,1,242,22,298,0,14,REP Ken Paxton,REP,35
COLL,154,PCT 154,1938,1157,0,229,21,892,0,15,REP Ken Paxton,REP,154
COLL,155,PCT 155,2911,1553,0,643,56,832,0,22,REP Ken Paxton,REP,155
COLL,156,PCT 156,3726,1870,0,822,76,938,0,34,REP Ken Paxton,REP,156
COLL,157,PCT 157,4029,2164,0,1067,69,997,0,31,DEM Rochelle Mercedes Garza,DEM,157
COLL,158,PCT 158,2781,1427,0,770,42,584,0,31,DEM Rochelle Mercedes Garza,DEM,158
COLL,159,PCT 159,3284,1445,1,692,49,658,0,46,DEM Rochelle Mercedes Garza,DEM,159
COLL,160,PCT 160,434,283,0,34,10,235,0,4,REP Ken Paxton,REP,160
COLL,161,PCT 161,292,152,0,44,4,103,0,1,pct_int,pct_int,161
COLL,162,PCT 162,328,229,0,45,7,173,0,4,REP Ken Paxton,REP,162
COLL,163,PCT 163,2180,1028,0,420,33,557,0,18,REP Ken Paxton,REP,163
COLL,164,PCT 164,2052,1392,100,671,46,625,0,50,DEM Rochelle Mercedes Garza,DEM,164
COLL,165,PCT 165,934,557,0,191,23,334,0,9,REP Ken Paxton,REP,165
COLL,166,PCT 166,4174,2127,5,937,67,1071,0,52,REP Ken Paxton,REP,166
COLL,167,PCT 167,2117,1112,0,624,35,431,0,22,DEM Rochelle Mercedes Garza,DEM,70
COLL,168,PCT 168,1923,1113,1,323,51,701,0,38,REP Ken Paxton,REP,168
COLL,169,PCT 169,3342,1772,0,897,57,790,0,28,DEM Rochelle Mercedes Garza,DEM,169
COLL,170,PCT 170,1882,1007,3,378,47,558,0,24,REP Ken Paxton,REP,170
COLL,171,PCT 171,2490,1222,1,577,33,591,0,21,REP Ken Paxton,REP,171
COLL,172,PCT 172,6178,2987,0,980,129,1821,0,57,REP Ken Paxton,REP,172
COLL,173,PCT 173,650,389,0,117,16,254,0,2,REP Ken Paxton,REP,173
COLL,174,PCT 174,4497,2129,1,862,81,1150,0,36,REP Ken Paxton,REP,174
COLL,175,PCT 175,1978,1116,0,431,38,622,0,25,REP Ken Paxton,REP,175
COLL,176,PCT 176,4032,1467,0,827,49,572,0,19,DEM Rochelle Mercedes Garza,DEM,176
COLL,177,PCT 177,3203,1500,0,564,35,883,0,18,REP Ken Paxton,REP,177
COLL,178,PCT 178,3002,1556,0,392,52,1082,0,30,REP Ken Paxton,REP,178
COLL,179,PCT 179,4634,3237,0,909,118,2143,0,67,REP Ken Paxton,REP,179
COLL,180,PCT 180,3313,1580,0,752,54,744,0,30,DEM Rochelle Mercedes Garza,DEM,180
COLL,181,PCT 181,2563,1147,0,392,38,697,0,20,REP Ken Paxton,REP,181
COLL,182,PCT 182,3909,2004,0,924,72,974,0,34,REP Ken Paxton,REP,182
COLL,183,PCT 183,163,68,0,20,1,44,0,3,pct_int,pct_int,368
COLL,184,PCT 184,3232,1307,1,678,45,563,0,21,DEM Rochelle Mercedes Garza,DEM,184
COLL,185,PCT 185,2645,1408,1,443,55,886,0,24,REP Ken Paxton,REP,9
COLL,186,PCT 186,719,405,0,45,11,345,0,4,pct_int,pct_int,373
COLL,187,PCT 187,830,409,0,152,14,234,0,9,REP Ken Paxton,REP,3
COLL,188,PCT 188,581,286,0,106,10,164,0,6,REP Ken Paxton,REP,2
COLL,189,PCT 189,1074,554,1,82,22,441,0,9,REP Ken Paxton,REP,379
COLL,190,PCT 190,954,586,0,133,15,429,0,8,REP Ken Paxton,REP,46
COLL,191,PCT 191,603,227,0,50,10,165,0,2,pct_int,pct_int,191
COLL,192,PCT 192,2869,1552,1,346,51,1131,0,24,REP Ken Paxton,REP,162
COLL,193,PCT 193,1224,621,0,130,24,458,0,9,REP Ken Paxton,REP,387
COLL,194,PCT 194,2493,1367,0,381,51,914,0,21,REP Ken Paxton,REP,16
COLL,195,PCT 195,916,541,0,128,23,385,0,5,REP Ken Paxton,REP,195
COLL,196,PCT 196,1904,994,0,404,36,541,0,13,REP Ken Paxton,REP,196
COLL,197,PCT 197,1283,681,0,397,18,252,0,14,DEM Rochelle Mercedes Garza,DEM,197
COLL,198,PCT 198,1643,1121,0,373,46,689,0,13,REP Ken Paxton,REP,88
COLL,199,PCT 199,3269,1928,0,538,57,1315,0,18,REP Ken Paxton,REP,199
COLL,200,PCT 200,1943,991,1,256,39,676,0,20,REP Ken Paxton,REP,200
COLL,201,PCT 201,0,0,0,0,0,0,0,0,pct_int,pct_int,201
COLL,202,PCT 202,2,2,0,2,0,0,0,0,pct_int,pct_int,202
COLL,203,PCT 203,3150,1853,0,671,90,1051,0,41,REP Ken Paxton,REP,203
COLL,204,PCT 204,349,230,0,70,11,143,0,6,pct_int,pct_int,204
COLL,205,PCT 205,3804,1928,5,810,72,1000,0,45,REP Ken Paxton,REP,118
COLL,206,PCT 206,1781,996,0,397,32,546,0,21,REP Ken Paxton,REP,206
COLL,207,PCT 207,3993,2125,1,787,74,1228,0,36,REP Ken Paxton,REP,207
