COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Simon Cardell,Rep Pat Fallon,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,72,PCT 072,1732,1249,2,520,672,0,57,Rep Pat Fallon,Rep
COLL,73,PCT 073,1936,1122,6,629,440,0,53,Dem Simon Cardell,Dem
COLL,74,PCT 074,1988,1373,9,561,742,0,70,Rep Pat Fallon,Rep
COLL,75,PCT 075,2381,1701,0,666,952,0,83,Rep Pat Fallon,Rep
COLL,76,PCT 076,3331,2363,4,0,0,0,0,Dem Simon Cardell,Dem
COLL,77,PCT 077,3677,2432,0,1266,1045,0,121,Dem Simon Cardell,Dem
COLL,78,PCT 078,4899,3053,2,0,0,0,0,Dem Simon Cardell,Dem
COLL,79,PCT 079,2773,1660,17,700,850,0,110,Rep Pat Fallon,Rep
COLL,80,PCT 080,3657,2509,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,81,PCT 081,2973,2031,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,82,PCT 082,3005,1870,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,83,PCT 083,4265,2914,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,84,PCT 084,2541,1705,11,742,882,0,81,Rep Pat Fallon,Rep
COLL,85,PCT 085,3423,2301,1,1223,959,0,119,Dem Simon Cardell,Dem
COLL,86,PCT 086,3050,2194,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,87,PCT 087,3486,2531,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,88,PCT 088,1661,726,7,449,237,0,40,Dem Simon Cardell,Dem
COLL,89,PCT 089,3267,2264,0,1036,1109,0,119,Rep Pat Fallon,Rep
COLL,90,PCT 090,3268,2400,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,91,PCT 091,2325,1659,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,92,PCT 092,4619,2877,0,1338,1384,0,155,Rep Pat Fallon,Rep
COLL,93,PCT 093,297,222,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,94,PCT 094,4318,3088,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,95,PCT 095,3171,2237,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,96,PCT 096,1509,782,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,97,PCT 097,1344,1070,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,98,PCT 098,1618,1019,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,99,PCT 099,403,257,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,100,PCT 100,1545,1024,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,101,PCT 101,4300,2865,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,102,PCT 102,2555,1957,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,103,PCT 103,1419,810,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,104,PCT 104,2426,1167,4,721,396,0,50,Dem Simon Cardell,Dem
COLL,105,PCT 105,173,115,0,66,44,0,5,Dem Simon Cardell,Dem
COLL,106,PCT 106,1869,1255,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,107,PCT 107,3373,2417,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,108,PCT 108,2997,2047,1,1023,906,0,118,Dem Simon Cardell,Dem
COLL,109,PCT 109,4859,3312,0,1293,1864,0,155,Rep Pat Fallon,Rep
COLL,110,PCT 110,2816,1947,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,111,PCT 111,3096,2183,0,663,1436,0,84,Rep Pat Fallon,Rep
COLL,112,PCT 112,3166,2322,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,113,PCT 113,3351,2087,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,114,PCT 114,4252,3062,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,115,PCT 115,2995,2123,15,1018,985,0,120,Dem Simon Cardell,Dem
COLL,116,PCT 116,5006,3553,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,117,PCT 117,4426,2934,2,0,0,0,0,Dem Simon Cardell,Dem
COLL,118,PCT 118,4297,2996,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,119,PCT 119,2398,1696,2,0,0,0,0,Dem Simon Cardell,Dem
COLL,120,PCT 120,3653,2693,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,121,PCT 121,2892,1952,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,122,PCT 122,4972,3708,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,123,PCT 123,2078,1458,0,600,802,0,56,Rep Pat Fallon,Rep
COLL,124,PCT 124,3288,2171,1,1013,1044,0,114,Rep Pat Fallon,Rep
COLL,125,PCT 125,2250,1532,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,126,PCT 126,4969,3443,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,127,PCT 127,3929,2671,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,128,PCT 128,3137,2395,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,129,PCT 129,4643,3072,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,130,PCT 130,3972,2813,1,0,0,0,0,Dem Simon Cardell,Dem
COLL,131,PCT 131,3151,2136,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,132,PCT 132,2874,2016,6,1064,862,0,90,Dem Simon Cardell,Dem
COLL,133,PCT 133,2939,1791,0,0,0,0,0,Dem Simon Cardell,Dem
COLL,134,PCT 134,4149,2771,0,1309,1309,0,153,Dem Simon Cardell,Dem
