COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Graeson Lynskey,REP Justin Holland,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,143,PCT 143,2158,1288,0,0,0,0,0,pct_int,pct_int,143
COLL,144,PCT 144,2874,1594,4,636,903,0,55,REP Justin Holland,REP,144
COLL,145,PCT 145,1731,896,1,0,0,0,0,pct_int,pct_int,145
COLL,146,PCT 146,4877,2371,1,0,0,0,0,pct_int,pct_int,146
COLL,147,PCT 147,2253,980,0,0,0,0,0,pct_int,pct_int,147
COLL,148,PCT 148,661,405,1,145,234,0,26,REP Justin Holland,REP,148
COLL,149,PCT 149,4476,2460,0,0,0,0,0,pct_int,pct_int,354
COLL,150,PCT 150,1145,781,0,0,0,0,0,pct_int,pct_int,62
COLL,151,PCT 151,1772,893,0,0,0,0,0,pct_int,pct_int,151
COLL,152,PCT 152,187,92,0,0,0,0,0,pct_int,pct_int,152
COLL,153,PCT 153,1135,575,1,228,324,0,24,REP Justin Holland,REP,35
COLL,154,PCT 154,1938,1157,0,0,0,0,0,pct_int,pct_int,154
COLL,155,PCT 155,2911,1553,0,0,0,0,0,pct_int,pct_int,155
COLL,156,PCT 156,3726,1870,0,0,0,0,0,pct_int,pct_int,156
COLL,157,PCT 157,4029,2164,0,0,0,0,0,pct_int,pct_int,157
COLL,158,PCT 158,2781,1427,0,0,0,0,0,pct_int,pct_int,158
COLL,159,PCT 159,3284,1445,1,0,0,0,0,pct_int,pct_int,159
COLL,160,PCT 160,434,283,0,0,0,0,0,pct_int,pct_int,160
COLL,161,PCT 161,292,152,0,0,0,0,0,pct_int,pct_int,161
COLL,162,PCT 162,328,229,0,0,0,0,0,pct_int,pct_int,162
COLL,163,PCT 163,2180,1028,0,0,0,0,0,pct_int,pct_int,163
COLL,164,PCT 164,2052,1392,100,0,0,0,0,pct_int,pct_int,164
COLL,165,PCT 165,934,557,0,0,0,0,0,pct_int,pct_int,165
COLL,166,PCT 166,4174,2127,5,0,0,0,0,pct_int,pct_int,166
COLL,167,PCT 167,2117,1112,0,0,0,0,0,pct_int,pct_int,70
COLL,168,PCT 168,1923,1113,1,0,0,0,0,pct_int,pct_int,168
COLL,169,PCT 169,3342,1772,0,0,0,0,0,pct_int,pct_int,169
COLL,170,PCT 170,1882,1007,3,342,611,0,54,REP Justin Holland,REP,170
COLL,171,PCT 171,2490,1222,1,0,0,0,0,pct_int,pct_int,171
COLL,172,PCT 172,6178,2987,0,0,0,0,0,pct_int,pct_int,172
COLL,173,PCT 173,650,389,0,0,0,0,0,pct_int,pct_int,173
COLL,174,PCT 174,4497,2129,1,0,0,0,0,pct_int,pct_int,174
COLL,175,PCT 175,1978,1116,0,0,0,0,0,pct_int,pct_int,175
COLL,176,PCT 176,4032,1467,0,0,0,0,0,pct_int,pct_int,176
COLL,177,PCT 177,3203,1500,0,0,0,0,0,pct_int,pct_int,177
COLL,178,PCT 178,3002,1556,0,0,0,0,0,pct_int,pct_int,178
COLL,179,PCT 179,4634,3237,0,0,0,0,0,pct_int,pct_int,179
COLL,180,PCT 180,3313,1580,0,0,0,0,0,pct_int,pct_int,180
COLL,181,PCT 181,2563,1147,0,0,0,0,0,pct_int,pct_int,181
COLL,182,PCT 182,3909,2004,0,0,0,0,0,pct_int,pct_int,182
COLL,183,PCT 183,163,68,0,0,0,0,0,pct_int,pct_int,368
COLL,184,PCT 184,3232,1307,1,0,0,0,0,pct_int,pct_int,184
COLL,185,PCT 185,2645,1408,1,0,0,0,0,pct_int,pct_int,9
COLL,186,PCT 186,719,405,0,0,0,0,0,pct_int,pct_int,373
COLL,187,PCT 187,830,409,0,0,0,0,0,pct_int,pct_int,3
COLL,188,PCT 188,581,286,0,0,0,0,0,pct_int,pct_int,2
COLL,189,PCT 189,1074,554,1,0,0,0,0,pct_int,pct_int,379
COLL,190,PCT 190,954,586,0,0,0,0,0,pct_int,pct_int,46
COLL,191,PCT 191,603,227,0,0,0,0,0,pct_int,pct_int,191
COLL,192,PCT 192,2869,1552,1,0,0,0,0,pct_int,pct_int,162
COLL,193,PCT 193,1224,621,0,0,0,0,0,pct_int,pct_int,387
COLL,194,PCT 194,2493,1367,0,0,0,0,0,pct_int,pct_int,16
COLL,195,PCT 195,916,541,0,0,0,0,0,pct_int,pct_int,195
COLL,196,PCT 196,1904,994,0,0,0,0,0,pct_int,pct_int,196
COLL,197,PCT 197,1283,681,0,0,0,0,0,pct_int,pct_int,197
COLL,198,PCT 198,1643,1121,0,0,0,0,0,pct_int,pct_int,88
COLL,199,PCT 199,3269,1928,0,0,0,0,0,pct_int,pct_int,199
COLL,200,PCT 200,1943,991,1,0,0,0,0,pct_int,pct_int,200
COLL,201,PCT 201,0,0,0,0,0,0,0,pct_int,pct_int,201
COLL,202,PCT 202,2,2,0,0,0,0,0,pct_int,pct_int,202
COLL,203,PCT 203,3150,1853,0,0,0,0,0,pct_int,pct_int,203
COLL,204,PCT 204,349,230,0,0,0,0,0,pct_int,pct_int,204
COLL,205,PCT 205,3804,1928,5,762,1084,0,81,REP Justin Holland,REP,118
COLL,206,PCT 206,1781,996,0,0,0,0,0,pct_int,pct_int,206
COLL,207,PCT 207,3993,2125,1,0,0,0,0,pct_int,pct_int,207
COLL,208,PCT 208,3375,2140,0,0,0,0,0,pct_int,pct_int,208
COLL,209,PCT 209,169,87,0,0,0,0,0,pct_int,pct_int,30
COLL,210,PCT 210,1661,914,1,0,0,0,0,pct_int,pct_int,210
COLL,211,PCT 211,3302,1758,1,0,0,0,0,pct_int,pct_int,211
COLL,212,PCT 212,5564,2799,1,0,0,0,0,pct_int,pct_int,212
COLL,213,PCT 213,3612,1848,0,0,0,0,0,pct_int,pct_int,213
COLL,214,PCT 214,3473,2130,0,0,0,0,0,pct_int,pct_int,168
COLL,215,PCT 215,2543,1056,0,0,0,0,0,pct_int,pct_int,215
COLL,216,PCT 216,6210,3332,0,0,0,0,0,pct_int,pct_int,216
COLL,217,PCT 217,2919,1550,0,569,928,0,53,REP Justin Holland,REP,217
COLL,218,PCT 218,4110,2281,1,0,0,0,0,pct_int,pct_int,218
COLL,219,PCT 219,4072,2234,0,0,0,0,0,pct_int,pct_int,219
COLL,220,PCT 220,2051,981,0,0,0,0,0,pct_int,pct_int,97
COLL,221,PCT 221,2000,1119,0,0,0,0,0,pct_int,pct_int,86
COLL,222,PCT 222,3575,1933,0,0,0,0,0,pct_int,pct_int,222
COLL,223,PCT 223,2154,1196,0,0,0,0,0,pct_int,pct_int,223
COLL,224,PCT 224,3036,1808,0,0,0,0,0,pct_int,pct_int,224
COLL,225,PCT 225,3815,1819,0,0,0,0,0,pct_int,pct_int,225
COLL,226,PCT 226,4365,2250,0,0,0,0,0,pct_int,pct_int,226
COLL,227,PCT 227,4310,2285,1,0,0,0,0,pct_int,pct_int,227
COLL,228,PCT 228,4161,1703,0,0,0,0,0,pct_int,pct_int,180
COLL,229,PCT 229,1738,866,0,0,0,0,0,pct_int,pct_int,229
